"","gene_id","S00AXZ11","S00AYX11","S00B0N11","S00B1L11","S00B2J11","S00GPR11","S01FG411"
"1","ENSG00000000003.13",1,0,3,3,3,0,0
"2","ENSG00000000005.5",0,0,0,0,0,0,0
"3","ENSG00000000419.11",408,894,1049,804,566,708,734
"4","ENSG00000000457.12",392,702,511,1143,955,297,457
"5","ENSG00000000460.15",504,483,412,706,490,264,263
"6","ENSG00000000938.11",7753,10636,7754,6882,6134,3634,5081
"7","ENSG00000000971.14",7.71,29,12,28,14,2,71
"8","ENSG00000001036.12",258,418,411,706,380,273,365
"9","ENSG00000001084.9",1533,4042,3864,3095,2686,1173,1802
"10","ENSG00000001167.13",1640,1568,2437,2164,1411,1078,1183
"11","ENSG00000001460.16",106,261,93,207,212,18,68
"12","ENSG00000001461.15",897,1517,1599,1767,1683,497,781
"13","ENSG00000001497.15",1660,1973,1887,1842,1549,1423,1508
"14","ENSG00000001561.6",667,2857,2383,2047,1087,1444,1700
"15","ENSG00000001617.10",0,5,2,2,1,2,1
"16","ENSG00000001626.13",0,0,1,0,0,0,0
"17","ENSG00000001629.8",3020,4760,5391,5800,3998,3440,3813
"18","ENSG00000001630.14",766.82,1809.58,2070.74,5113.65,952.24,1192.48,1054.41
"19","ENSG00000001631.13",2534.27,3151.34,3317.55,3504.93,3025.88,1995.04,2997.91
"20","ENSG00000002016.15",725.11,516,334.07,310.68,262.72,518.66,352
"21","ENSG00000002079.11",0,1,1,0,0,0,0
"22","ENSG00000002330.12",129,272,315,406,242,156,190
"23","ENSG00000002549.11",903,1271,961,1483,845,546,932
"24","ENSG00000002586.16",785,1602,2468,3963,2160,1650,1702
"25","ENSG00000002587.8",255,427,1588,2687,254,615,171
"26","ENSG00000002726.18",1,0,1,0,0,0,4
"27","ENSG00000002745.11",78,292,612,543,104,122,32
"28","ENSG00000002746.13",3,0,0,1,0,6,0
"29","ENSG00000002822.14",3305,2243,2142,2377,1736,856,1161
"30","ENSG00000002834.16",3174,6328,8287,7829,4028,3733,5165
"31","ENSG00000002919.13",478,1434,607,686,680,538,547
"32","ENSG00000002933.6",82,15,4,1,20,9,61
"33","ENSG00000003056.6",2324,4338,3600,5508,3364,2821,2720
"34","ENSG00000003096.12",0,5,2.41,0,4,0,0
"35","ENSG00000003137.7",1,1,1,1,0,0,2
"36","ENSG00000003147.16",4,8,19,15,7,4,10
"37","ENSG00000003249.12",77,91,68,752,12,22,44
"38","ENSG00000003393.13",482,1125,1027,1138,848,511,1005
"39","ENSG00000003400.13",135,398,730,151,105,14,133
"40","ENSG00000003402.18",13825.43,17712.25,26086.42,41116.87,13295.1,13028,14956
"41","ENSG00000003436.13",2,6,1,1,3,6,6
"42","ENSG00000003509.14",746,1010,1063,773,958,616,751
"43","ENSG00000003756.15",14733,12540.18,17070.34,11842.46,12755.65,11068.83,10644
"44","ENSG00000003987.12",0,0,0,0,6,3,1
"45","ENSG00000003989.15",0,0,0,0,0,0,0
"46","ENSG00000004059.9",840.67,1926.26,1956.78,1979.01,1299.94,1276.46,1413.73
"47","ENSG00000004139.12",1312,2752.11,3072.75,2143.69,1707,1250.83,1921.57
"48","ENSG00000004142.10",579,1315,1200,1654,819,841,828
"49","ENSG00000004399.11",1756,1306,1041,3568,903,2196,2193
"50","ENSG00000004455.15",2408.49,3422.74,3023.34,4537.33,2990.98,1816.68,2281.86
"51","ENSG00000004468.11",161,304,1409,186,48,92,61
"52","ENSG00000004478.7",592,978,1130,1762,919,917,739
"53","ENSG00000004487.14",1792,2200,2724,2880,2294,1881,2446
"54","ENSG00000004534.13",9540,8613.82,7481.66,7734.54,6466.35,5723.17,5621
"55","ENSG00000004660.13",217,668,436,306,207,164,358
"56","ENSG00000004700.14",1243,2960,2921,3151,2280,2383,2237
"57","ENSG00000004766.14",1367,1489,1380,1573,1817,1495,1496
"58","ENSG00000004776.10",0,1,1,0,0,0,0
"59","ENSG00000004777.17",587,456,414,546,117,90,164
"60","ENSG00000004779.8",186,492,477,554,334,218,188
"61","ENSG00000004799.7",56,593,485,567,146,1311,862
"62","ENSG00000004809.12",7,4,1,0,1,0,6
"63","ENSG00000004838.12",19,22,9,39,16,29,23
"64","ENSG00000004846.15",0,1,0,0,0,0,0
"65","ENSG00000004848.6",0,0,0,0,0,1,0
