"","gene_id","S00CWT11","S00D1D11","S00D2B11","S00D3911","S00D4711","S00D5511","S00XUN11"
"1","ENSG00000000003.13",1,11,39,43,1,0,14
"2","ENSG00000000005.5",0,0,0,0,0,0,0
"3","ENSG00000000419.11",994,942,642,808,1110,593,533
"4","ENSG00000000457.12",1284,579,1104,1834,1038,1028,896
"5","ENSG00000000460.15",746,519,612,736,809,626,648
"6","ENSG00000000938.11",245,13086,526,553,7413,657,255
"7","ENSG00000000971.14",119.8,167,3057,2637,1203,651,6
"8","ENSG00000001036.12",1255,1738,1055,1137,1076,920,739
"9","ENSG00000001084.9",3699,1928,2204,1980,2737,2298,1729
"10","ENSG00000001167.13",3205,1584,2424,2885,2447,1545,2467
"11","ENSG00000001460.16",160,105,161,222,152,230,303
"12","ENSG00000001461.15",2363,1227,1504,1730,1562,3209,2776
"13","ENSG00000001497.15",1719,1126,1374,1198,1257,1789,1215
"14","ENSG00000001561.6",1153,718,2955,2618,245,78,341
"15","ENSG00000001617.10",3,66,4,7,1,2,4
"16","ENSG00000001626.13",0,0,0,1,0,0,0
"17","ENSG00000001629.8",5218,3348,3636,4063,4280,3303,4035
"18","ENSG00000001630.14",1706.14,2243.94,1116.03,1829.43,4402.38,1810,2711.75
"19","ENSG00000001631.13",3450.16,1882.81,2168.91,2733.99,2795.39,2718.62,2836.95
"20","ENSG00000002016.15",843.63,367.83,508.97,642.99,539.51,1105.06,1097.48
"21","ENSG00000002079.11",0,0,0,2,0,1,0
"22","ENSG00000002330.12",192,324,181,313,429,438,432
"23","ENSG00000002549.11",1724,8283,1463,1679,6041,2126,1840
"24","ENSG00000002586.16",8374,5073,13096,16932,5636,9740,16842
"25","ENSG00000002587.8",2,4,0,0,33,4,5
"26","ENSG00000002726.18",23,79,157,311,22,10,41
"27","ENSG00000002745.11",5,1,0,0,1,0,1
"28","ENSG00000002746.13",0,0,0,2,0,0,0
"29","ENSG00000002822.14",861,1244,521,552,1336,1922,924
"30","ENSG00000002834.16",5669,5301,3006,3452,4406,6235,6703
"31","ENSG00000002919.13",557,781,530,518,978,668,520
"32","ENSG00000002933.6",10,847,25,14,824,3,114
"33","ENSG00000003056.6",7380,9187,4525,4995,7643,6125,6780
"34","ENSG00000003096.12",1702.91,112,545.26,430.31,298.49,35,479.42
