""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000250850.2"	8.22333647250961	-2.26419384743331	51.7402577038592	2.11248467489785e-17	1.27769410591847e-12	27.6005184707569
"ENSG00000268157.1"	6.98473915620939	-2.89284771665433	46.3033739571958	9.92380497708029e-17	3.00110748214374e-12	26.0701836948655
"ENSG00000258879.1"	8.18774867752936	-2.28980397790716	40.0471898426773	7.47714336604364e-16	1.50746687402806e-11	25.2744820538666
"ENSG00000185483.10"	11.9904414238398	0.388264639476648	34.1574947570015	6.79971610669405e-15	1.02816807320294e-10	23.5284191041924
"ENSG00000007952.16"	6.51344279549574	-3.11914476069259	33.4513271393317	9.0817136813569e-15	1.09857857717902e-10	22.9201420279233
"ENSG00000275418.1"	5.53736107261046	-3.61179573764441	32.9858154103763	1.10265750181821e-14	1.11153389470784e-10	22.4424130762839
"ENSG00000213083.3"	-7.62917116365704	-2.44501302750854	-30.3605728676848	3.47182936707709e-14	2.62483319511154e-10	22.2148469176471
"ENSG00000239345.2"	5.18183309944724	-3.78510681088129	31.9542747743301	1.71157392765191e-14	1.47887322665958e-10	22.0200885126358
"ENSG00000074219.12"	11.2094229671361	-0.0278775676938209	29.6419623871159	4.833081332698e-14	3.24799175828415e-10	21.9212310682555
"ENSG00000264660.2"	7.80363133043038	-2.26483525502988	29.1607322974048	6.05808061657927e-14	3.66410889932564e-10	21.7218074844116
"ENSG00000107566.12"	-4.85775038571906	4.66180103108219	-27.2227366958981	1.56314435694027e-13	7.87863834506819e-10	21.3269989974705
"ENSG00000259888.1"	6.18215194895965	-3.29011282240246	27.6563679430379	1.25742187955212e-13	6.91387704917733e-10	20.8247427402063
"ENSG00000232125.2"	-7.51152152684583	-2.50527058848077	-26.1945306603186	2.65492516765963e-13	1.23521414550429e-09	20.4930604928661
"ENSG00000162894.10"	7.25212024574024	5.01471131786109	25.4165315870475	4.01768951953175e-13	1.73572796578456e-09	20.4023299935848
"ENSG00000228835.1"	8.71470328791316	-1.79933639922097	25.0820220739907	4.81913142775022e-13	1.94317017429744e-09	20.0735360488844
"ENSG00000107742.11"	6.04005947884298	6.13435821339892	23.8757066406487	9.47261120484388e-13	3.37018790295631e-09	19.7016065865667
"ENSG00000270343.1"	-6.5795612192264	-2.96793334646825	-24.2608498520443	7.60764005840965e-13	2.87583058532994e-09	19.4388079318039
"ENSG00000232366.1"	7.22103065443331	-2.76278087350383	23.5579140079409	1.13801899239211e-12	3.82393348426956e-09	19.1744739199046
"ENSG00000118804.8"	-7.34536626767745	-2.59620454017475	-23.2744940200039	1.34301501619995e-12	4.27524090656954e-09	19.0484666974338
"ENSG00000136810.11"	-3.50609254269698	4.64355300081708	-22.7776965637341	1.80386470506228e-12	4.60695212785497e-09	19.0410966760432
"ENSG00000173988.11"	-7.85582391586442	-1.92205069438054	-22.5309831446225	2.09325331020757e-12	5.06424959845138e-09	18.6389029471187
"ENSG00000277427.1"	7.8024024680344	-2.45494487235454	22.4018969036884	2.26412113717727e-12	5.26695533614973e-09	18.628407627099
"ENSG00000118473.20"	-5.09935329319836	-3.71204633583604	-22.8272826599609	1.75104364167152e-12	4.60695212785497e-09	18.4762998537665
"ENSG00000231424.2"	9.65926741109418	-1.53997462112718	21.9258472254466	3.03532060795518e-12	6.55661772610546e-09	18.4762172637357
"ENSG00000188039.12"	5.15630123645582	-3.79622579683732	22.8382034823768	1.73963414121599e-12	4.60695212785497e-09	18.4756923424956
"ENSG00000137225.11"	-8.15807640912798	-2.17481473465627	-21.8413436448826	3.1994537730137e-12	6.67284698459268e-09	18.3408771304519
"ENSG00000105699.15"	8.19160156610756	0.772788908740543	23.0310006201572	1.55077441981362e-12	4.60695212785497e-09	18.2995206934963
"ENSG00000109586.10"	-2.60675057137549	5.48134653138649	-21.3888572240153	4.25584601284626e-12	8.09061517836476e-09	18.2142014473476
"ENSG00000273203.1"	7.73728312166847	-2.19844058332276	21.7008965953639	3.49360968697951e-12	7.04346648991939e-09	18.1686471653553
"ENSG00000169224.11"	-9.53706008522737	0.709956449740513	-22.7554948131482	1.82806492846782e-12	4.60695212785497e-09	18.1202917782975
"ENSG00000180044.4"	-10.3570493176382	-1.07767192158932	-21.2517151999154	4.64547982267247e-12	8.5143198822636e-09	18.0860843758055
"ENSG00000107554.14"	3.94295519831788	6.29345032171708	20.7348161570166	6.49434917308415e-12	1.09110478065458e-08	17.7782542290726
"ENSG00000171435.12"	11.6237875298858	-0.361840728147432	20.7351343583468	6.49299422053092e-12	1.09110478065458e-08	17.7681332300327
"ENSG00000153898.11"	9.23003822587294	2.47932087733024	21.3797752982782	4.28053644342497e-12	8.09061517836476e-09	17.7331055628118
"ENSG00000280832.1"	-5.99917607142302	-0.835486609657335	-22.3137427557036	2.38934584645896e-12	5.3524001789399e-09	17.720364623171
"ENSG00000198825.10"	4.06482562897899	6.86989439445395	20.6322524531775	6.94724407465265e-12	1.13564909018167e-08	17.6901943833288
"ENSG00000157554.17"	-10.9493735415731	1.22758327709504	-20.9333434836105	5.70493837102654e-12	1.01485819851411e-08	17.261682147092
"ENSG00000256061.6"	-7.4503878003886	-2.03585011856004	-20.0822539024833	1.00272464015328e-11	1.48266304431271e-08	17.1948277246927
"ENSG00000197880.7"	7.23526239654413	-2.0908185796943	20.234667614059	9.04922754633691e-12	1.40339597355153e-08	17.1810870423746
"ENSG00000237438.5"	9.2072395443964	-0.562597601644764	20.2416851996192	9.00672605721115e-12	1.40339597355153e-08	17.1035606024678
"ENSG00000250686.2"	6.5836285457715	-2.85231276652023	20.0009482797154	1.05946751948722e-11	1.48266304431271e-08	17.0786953648987
"ENSG00000275801.1"	5.52171339068893	-3.62975918048534	20.068561537252	1.01204830045558e-11	1.48266304431271e-08	17.012512726229
"ENSG00000137502.8"	8.03124595355695	3.78031943360281	19.7185652075576	1.28477867244439e-11	1.5858626213358e-08	16.9954084619568
"ENSG00000159958.4"	9.22721743209866	3.61813045583059	19.8059668182684	1.21001323489929e-11	1.5858626213358e-08	16.9798100129089
"ENSG00000100307.11"	5.19548623048413	4.71482947981487	19.5159188464598	1.47780462901354e-11	1.752589360326e-08	16.9725216879928
"ENSG00000224565.1"	7.00513973181283	-2.64558581643118	19.7277519007043	1.2766927741007e-11	1.5858626213358e-08	16.9455665548991
"ENSG00000238063.1"	5.81982286590454	-3.45946472511322	19.7613621870392	1.24757029688547e-11	1.5858626213358e-08	16.8665413661546
"ENSG00000198205.6"	2.16573481073766	4.73977287353846	19.3175850696914	1.69701382426846e-11	1.90074976172647e-08	16.8360265563315
"ENSG00000234174.1"	4.63929790268319	-4.05060512587837	19.915076806294	1.1231431748018e-11	1.50957930314527e-08	16.8139586799449
"ENSG00000165914.13"	-5.43245172985366	1.60109112912994	-19.5574743608339	1.43583168078404e-11	1.73686815097722e-08	16.7244654548014
"ENSG00000198128.3"	-6.70317531087865	-2.91017309538841	-19.3618722198872	1.64521488371078e-11	1.87750060021658e-08	16.7087884901907
"ENSG00000213089.4"	8.15521558483734	-1.96414290887018	19.2715635552603	1.75269309847644e-11	1.92742066682092e-08	16.7054891722445
"ENSG00000260244.1"	-9.44353362787133	0.569212843629795	-19.9745743759033	1.07860347452605e-11	1.48266304431271e-08	16.6839870208165
"ENSG00000217159.2"	-5.57440047744484	-3.27071844317268	-19.4591675450573	1.53725749331161e-11	1.78803740323012e-08	16.6544785233939
"ENSG00000232891.1"	8.63935497088181	-1.58420339101729	19.1367227823096	1.92737217707021e-11	2.06043919402015e-08	16.622368559743
"ENSG00000135925.7"	7.69704002749697	-0.359160434211759	20.0007102575576	1.05963858772446e-11	1.48266304431271e-08	16.6064264990688
"ENSG00000124243.16"	6.72980456804711	4.21172576354855	18.8674797204527	2.33435418535006e-11	2.35314573654213e-08	16.4936471186274
"ENSG00000224227.2"	-7.21610856025587	-2.65506088422811	-18.9703187680746	2.16899226831246e-11	2.22351117566682e-08	16.4885916682065
"ENSG00000245849.5"	2.35776532401561	4.09587354061856	18.8036481598527	2.44373268727162e-11	2.4230210512172e-08	16.4750945174502
"ENSG00000235670.1"	4.87130786651027	-3.94053132640957	19.1261852822288	1.94178585816095e-11	2.06043919402015e-08	16.3626578950633
"ENSG00000253891.1"	5.02747948530377	-3.85711464471872	19.0705428926162	2.01983083962655e-11	2.10630049436436e-08	16.3468183606603
"ENSG00000183255.10"	-2.25118521236181	6.40970472835175	-18.5555257868334	2.92386304727991e-11	2.72210092024758e-08	16.2276570241835
"ENSG00000224610.1"	8.83862065148182	-1.62071383482997	18.5131898068494	3.0154053478926e-11	2.72210092024758e-08	16.2192143797578
"ENSG00000228651.1"	-6.65035383799591	-2.9317181271308	-18.6008929269769	2.82905338390926e-11	2.71602596538069e-08	16.2021387586303
"ENSG00000213231.11"	7.84808189075393	-2.44583940388828	18.3993815035057	3.27701522979459e-11	2.83148160205237e-08	16.1293346657729
"ENSG00000237285.1"	7.58306189781163	-2.34430925472645	18.4219754850187	3.22321080783255e-11	2.83148160205237e-08	16.1199535825325
"ENSG00000269553.1"	7.01972490788914	-2.19214142314279	18.5234945028037	2.9928451680541e-11	2.72210092024758e-08	16.0822835504559
"ENSG00000243488.3"	5.10621235794413	-3.82405468163605	18.5160466329433	3.00913271746371e-11	2.72210092024758e-08	15.9981719425603
"ENSG00000221946.6"	7.34014058215262	-1.96171077853449	18.4028775438031	3.26862751464513e-11	2.83148160205237e-08	15.9947321631996
"ENSG00000250280.2"	-9.49905820336501	-0.42006813439747	-18.3377828154961	3.42863842492007e-11	2.92076532189353e-08	15.9663003633833
"ENSG00000185198.10"	-10.3204408057897	1.29403253509846	-18.7189805995147	2.59734189192646e-11	2.53379080079658e-08	15.9605165340182
"ENSG00000203943.7"	-7.58716385344483	-2.22358792195062	-18.0764113204946	4.16059123119482e-11	3.44719232104598e-08	15.887607957376
"ENSG00000184937.11"	-9.43771364611987	-1.53707332798626	-17.9884107811112	4.44324932272599e-11	3.53457047118861e-08	15.8735853279489
"ENSG00000161010.13"	3.5154043195512	5.84913571219667	18.0256175094727	4.32131444207159e-11	3.49012910736871e-08	15.8650881516851
"ENSG00000241316.5"	6.30768168218844	-2.77753025938433	18.0236035058841	4.32782241377996e-11	3.49012910736871e-08	15.732245913598
"ENSG00000164237.7"	-8.25962694421357	-1.22495590770267	-17.9543069983876	4.55824771841198e-11	3.53457047118861e-08	15.7262632605067
"ENSG00000182489.8"	7.55863148079662	1.27758539855815	18.1362942129227	3.97927057406925e-11	3.34275308515875e-08	15.6899158323219
"ENSG00000011590.12"	10.6837089366181	0.231556738164841	17.961182127344	4.53481129087966e-11	3.53457047118861e-08	15.6656610095442
"ENSG00000249274.1"	-6.46515037596913	-3.0299309410404	-17.6765492737045	5.62224085873096e-11	4.25062492323281e-08	15.545825315542
"ENSG00000138134.10"	3.35460826326321	4.7159862262574	17.5422725203147	6.22915174070194e-11	4.48521172301042e-08	15.5335400649279
"ENSG00000165905.15"	10.0934842102304	-0.400018928168636	17.5840512894156	6.03314401270456e-11	4.41273956444238e-08	15.4834382441596
"ENSG00000196936.3"	-6.38011771541687	-2.81086144961159	-17.5792042230296	6.05554261277908e-11	4.41273956444238e-08	15.4621798351242
"ENSG00000279263.1"	-6.38011771541687	-2.81086144961159	-17.5792042230296	6.05554261277908e-11	4.41273956444238e-08	15.4621798351242
"ENSG00000235052.1"	4.51110666255058	-4.13001016211331	17.7185782417871	5.44551081137375e-11	4.1691244354977e-08	15.4054448057165
"ENSG00000088325.14"	-4.45006163191107	1.65385576819367	-17.390626856059	6.99978890913775e-11	4.92811476077952e-08	15.3116276570349
"ENSG00000203663.3"	-6.35215762369364	-3.08539764016541	-17.2888431720036	7.57378065619472e-11	5.26534454515661e-08	15.2586107244319
"ENSG00000177462.6"	-5.95935919564649	-3.29072045052575	-17.2427569173798	7.85003090375575e-11	5.33686813962274e-08	15.1987314996028
"ENSG00000225302.2"	9.67747787280077	0.140658802964412	17.3892523421319	7.00722301187175e-11	4.92811476077952e-08	15.1505237186957
"ENSG00000173905.7"	-2.50407117229229	4.90496754761141	-17.0404414163867	9.19657761662628e-11	6.04605004333051e-08	15.129371920224
"ENSG00000237492.1"	-6.97521362205888	-2.56360808874759	-17.0412049693975	9.19105477609155e-11	6.04605004333051e-08	15.1026752337197
"ENSG00000167515.9"	2.75563138912397	4.94105975983361	16.9416848345586	9.94166528993806e-11	6.36235381514142e-08	15.0491304220398
"ENSG00000124205.14"	3.83077696309307	-4.46353726797724	17.2422486914592	7.85313665701808e-11	5.33686813962274e-08	15.0148228642508
"ENSG00000120664.9"	-5.12691838743434	-3.2960771775765	-17.1047504306761	8.74361220631873e-11	5.8759988563864e-08	15.0139514126667
