"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000233"	"ENSG00000004059"	"ARF5"
"2"	"ENST00000005374"	"ENSG00000006625"	"GGCT"
"3"	"ENST00000006750"	"ENSG00000007312"	"CD79B"
"4"	"ENST00000007390"	"ENSG00000007520"	"TSR3"
"5"	"ENST00000007414"	"ENSG00000006025"	"OSBPL7"
"6"	"ENST00000008527"	"ENSG00000008405"	"CRY1"
"7"	"ENST00000009041"	"ENSG00000010270"	"STARD3NL"
"8"	"ENST00000009180"	"ENSG00000010278"	"CD9"
"9"	"ENST00000009589"	"ENSG00000008988"	"RPS20"
"10"	"ENST00000012134"	"ENSG00000010818"	"HIVEP2"
"11"	"ENST00000028008"	"ENSG00000026297"	"RNASET2"
"12"	"ENST00000029410"	"ENSG00000027847"	"B4GALT7"
"13"	"ENST00000044462"	"ENSG00000041357"	"PSMA4"
"14"	"ENST00000045347"	"ENSG00000042317"	"SPATA7"
"15"	"ENST00000046640"	"ENSG00000040531"	"CTNS"
"16"	"ENST00000064724"	"ENSG00000013297"	"CLDN11"
"17"	"ENST00000072644"	"ENSG00000058799"	"YIPF1"
"18"	"ENST00000080059"	"ENSG00000061273"	"HDAC7"
"19"	"ENST00000085068"	"ENSG00000063241"	"ISOC2"
"20"	"ENST00000085219"	"ENSG00000012124"	"CD22"
"21"	"ENST00000155093"	"ENSG00000067646"	"ZFY"
"22"	"ENST00000155674"	"ENSG00000069998"	"CECR5"
"23"	"ENST00000155926"	"ENSG00000071575"	"TRIB2"
"24"	"ENST00000156084"	"ENSG00000068308"	"OTUD5"
"25"	"ENST00000159111"	"ENSG00000127663"	"KDM4B"
"26"	"ENST00000161863"	"ENSG00000047188"	"YTHDC2"
"27"	"ENST00000169298"	"ENSG00000073849"	"ST6GAL1"
"28"	"ENST00000173785"	"ENSG00000067082"	"KLF6"
"29"	"ENST00000178640"	"ENSG00000137764"	"MAP2K5"
"30"	"ENST00000179259"	"ENSG00000078237"	"TIGAR"
"31"	"ENST00000181796"	"ENSG00000065809"	"FAM107B"
"32"	"ENST00000182527"	"ENSG00000065308"	"TRAM2"
"33"	"ENST00000184956"	"ENSG00000068097"	"HEATR6"
"34"	"ENST00000185206"	"ENSG00000112782"	"CLIC5"
"35"	"ENST00000193322"	"ENSG00000081087"	"OSTM1"
"36"	"ENST00000193403"	"ENSG00000072110"	"ACTN1"
"37"	"ENST00000194530"	"ENSG00000082146"	"STRADB"
"38"	"ENST00000196169"	"ENSG00000083544"	"TDRD3"
"39"	"ENST00000196371"	"ENSG00000083720"	"OXCT1"
"40"	"ENST00000196482"	"ENSG00000083812"	"ZNF324"
"41"	"ENST00000199448"	"ENSG00000086289"	"EPDR1"
"42"	"ENST00000199706"	"ENSG00000086504"	"MRPL28"
"43"	"ENST00000203001"	"ENSG00000089195"	"TRMT6"
"44"	"ENST00000205135"	"ENSG00000090924"	"PLEKHG2"
"45"	"ENST00000209875"	"ENSG00000094916"	"CBX5"
"46"	"ENST00000210227"	"ENSG00000119314"	"PTBP3"
"47"	"ENST00000212015"	"ENSG00000096717"	"SIRT1"
"48"	"ENST00000215570"	"ENSG00000099800"	"TIMM13"
"49"	"ENST00000215631"	"ENSG00000099860"	"GADD45B"
"50"	"ENST00000215781"	"ENSG00000099985"	"OSM"
"51"	"ENST00000215790"	"ENSG00000099992"	"TBC1D10A"
