"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000412"	"ENSG00000003056"	"M6PR"
"2"	"ENST00000003912"	"ENSG00000001461"	"NIPAL3"
"3"	"ENST00000006275"	"ENSG00000007255"	"TRAPPC6A"
"4"	"ENST00000006750"	"ENSG00000007312"	"CD79B"
"5"	"ENST00000007516"	"ENSG00000004779"	"NDUFAB1"
"6"	"ENST00000009530"	"ENSG00000019582"	"CD74"
"7"	"ENST00000011473"	"ENSG00000008282"	"SYPL1"
"8"	"ENST00000011653"	"ENSG00000010610"	"CD4"
"9"	"ENST00000013222"	"ENSG00000241644"	"INMT"
"10"	"ENST00000013807"	"ENSG00000012061"	"ERCC1"
"11"	"ENST00000014935"	"ENSG00000013563"	"DNASE1L1"
"12"	"ENST00000016171"	"ENSG00000014919"	"COX15"
"13"	"ENST00000019317"	"ENSG00000017797"	"RALBP1"
"14"	"ENST00000025008"	"ENSG00000023287"	"RB1CC1"
"15"	"ENST00000037869"	"ENSG00000035141"	"FAM136A"
"16"	"ENST00000040877"	"ENSG00000059588"	"TARBP1"
"17"	"ENST00000056233"	"ENSG00000050344"	"NFE2L3"
"18"	"ENST00000066544"	"ENSG00000004897"	"CDC27"
"19"	"ENST00000072644"	"ENSG00000058799"	"YIPF1"
"20"	"ENST00000074304"	"ENSG00000040933"	"INPP4A"
"21"	"ENST00000075322"	"ENSG00000136960"	"ENPP2"
"22"	"ENST00000078527"	"ENSG00000060642"	"PIGV"
"23"	"ENST00000156109"	"ENSG00000068394"	"GPKOW"
"24"	"ENST00000156471"	"ENSG00000021776"	"AQR"
"25"	"ENST00000157812"	"ENSG00000013275"	"PSMC4"
"26"	"ENST00000160827"	"ENSG00000079616"	"KIF22"
"27"	"ENST00000161863"	"ENSG00000047188"	"YTHDC2"
"28"	"ENST00000162391"	"ENSG00000065970"	"FOXJ2"
"29"	"ENST00000164305"	"ENSG00000069943"	"PIGB"
"30"	"ENST00000169298"	"ENSG00000073849"	"ST6GAL1"
"31"	"ENST00000170564"	"ENSG00000076650"	"GPATCH1"
"32"	"ENST00000173785"	"ENSG00000067082"	"KLF6"
"33"	"ENST00000174618"	"ENSG00000070444"	"MNT"
"34"	"ENST00000174653"	"ENSG00000070718"	"AP3M2"
"35"	"ENST00000175756"	"ENSG00000072135"	"PTPN18"
"36"	"ENST00000182290"	"ENSG00000064201"	"TSPAN32"
"37"	"ENST00000182527"	"ENSG00000065308"	"TRAM2"
"38"	"ENST00000184956"	"ENSG00000068097"	"HEATR6"
"39"	"ENST00000186436"	"ENSG00000075568"	"TMEM131"
"40"	"ENST00000187830"	"ENSG00000073008"	"PVR"
"41"	"ENST00000194530"	"ENSG00000082146"	"STRADB"
"42"	"ENST00000197268"	"ENSG00000084444"	"FAM234B"
"43"	"ENST00000199448"	"ENSG00000086289"	"EPDR1"
"44"	"ENST00000200135"	"ENSG00000086827"	"ZW10"
"45"	"ENST00000200457"	"ENSG00000087077"	"TRIP6"
"46"	"ENST00000200639"	"ENSG00000005893"	"LAMP2"
"47"	"ENST00000203001"	"ENSG00000089195"	"TRMT6"
"48"	"ENST00000203629"	"ENSG00000089692"	"LAG3"
"49"	"ENST00000203630"	"ENSG00000089693"	"MLF2"
"50"	"ENST00000204679"	"ENSG00000090581"	"GNPTG"
"51"	"ENST00000205061"	"ENSG00000090863"	"GLG1"
"52"	"ENST00000205194"	"ENSG00000090971"	"NAT14"
"53"	"ENST00000206020"	"ENSG00000091640"	"SPAG7"
"54"	"ENST00000206249"	"ENSG00000091831"	"ESR1"
"55"	"ENST00000206380"	"ENSG00000091947"	"TMEM101"
"56"	"ENST00000206542"	"ENSG00000092094"	"OSGEP"
"57"	"ENST00000206595"	"ENSG00000092140"	"G2E3"
"58"	"ENST00000209728"	"ENSG00000094804"	"CDC6"
"59"	"ENST00000209884"	"ENSG00000076321"	"KLHL20"
"60"	"ENST00000210444"	"ENSG00000095380"	"NANS"
"61"	"ENST00000211314"	"ENSG00000096092"	"TMEM14A"
"62"	"ENST00000211936"	"ENSG00000096654"	"ZNF184"
