"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000002596"	"ENSG00000002587"	"HS3ST1"
"2"	"ENST00000005082"	"ENSG00000005801"	"ZNF195"
"3"	"ENST00000005259"	"ENSG00000075790"	"BCAP29"
"4"	"ENST00000005340"	"ENSG00000004975"	"DVL2"
"5"	"ENST00000005386"	"ENSG00000005175"	"RPAP3"
"6"	"ENST00000006053"	"ENSG00000006210"	"CX3CL1"
"7"	"ENST00000006777"	"ENSG00000005486"	"RHBDD2"
"8"	"ENST00000007390"	"ENSG00000007520"	"TSR3"
"9"	"ENST00000007510"	"ENSG00000004777"	"ARHGAP33"
"10"	"ENST00000008527"	"ENSG00000008405"	"CRY1"
"11"	"ENST00000009180"	"ENSG00000010278"	"CD9"
"12"	"ENST00000009589"	"ENSG00000008988"	"RPS20"
"13"	"ENST00000012049"	"ENSG00000011478"	"QPCTL"
"14"	"ENST00000012134"	"ENSG00000010818"	"HIVEP2"
"15"	"ENST00000014914"	"ENSG00000013588"	"GPRC5A"
"16"	"ENST00000026218"	"ENSG00000007541"	"PIGQ"
"17"	"ENST00000028008"	"ENSG00000026297"	"RNASET2"
"18"	"ENST00000029410"	"ENSG00000027847"	"B4GALT7"
"19"	"ENST00000033079"	"ENSG00000031003"	"FAM13B"
"20"	"ENST00000035307"	"ENSG00000033100"	"CHPF2"
"21"	"ENST00000039989"	"ENSG00000052841"	"TTC17"
"22"	"ENST00000040663"	"ENSG00000037757"	"MRI1"
"23"	"ENST00000042381"	"ENSG00000039523"	"FAM65A"
"24"	"ENST00000044462"	"ENSG00000041357"	"PSMA4"
"25"	"ENST00000045347"	"ENSG00000042317"	"SPATA7"
"26"	"ENST00000046640"	"ENSG00000040531"	"CTNS"
"27"	"ENST00000046794"	"ENSG00000043462"	"LCP2"
"28"	"ENST00000054950"	"ENSG00000049449"	"RCN1"
"29"	"ENST00000055335"	"ENSG00000049769"	"PPP1R3F"
"30"	"ENST00000056217"	"ENSG00000050327"	"ARHGEF5"
"31"	"ENST00000064724"	"ENSG00000013297"	"CLDN11"
"32"	"ENST00000064778"	"ENSG00000054965"	"FAM168A"
"33"	"ENST00000064780"	"ENSG00000054967"	"RELT"
"34"	"ENST00000072869"	"ENSG00000133597"	"ADCK2"
"35"	"ENST00000075120"	"ENSG00000059804"	"SLC2A3"
"36"	"ENST00000078429"	"ENSG00000088256"	"GNA11"
"37"	"ENST00000080059"	"ENSG00000061273"	"HDAC7"
"38"	"ENST00000082468"	"ENSG00000026950"	"BTN3A1"
"39"	"ENST00000085068"	"ENSG00000063241"	"ISOC2"
"40"	"ENST00000085079"	"ENSG00000063245"	"EPN1"
