"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000002125"	"ENSG00000003509"	"NDUFAF7"
"2"	"ENST00000002165"	"ENSG00000001036"	"FUCA2"
"3"	"ENST00000002596"	"ENSG00000002587"	"HS3ST1"
"4"	"ENST00000005259"	"ENSG00000075790"	"BCAP29"
"5"	"ENST00000005558"	"ENSG00000006652"	"IFRD1"
"6"	"ENST00000006053"	"ENSG00000006210"	"CX3CL1"
"7"	"ENST00000006658"	"ENSG00000006282"	"SPATA20"
"8"	"ENST00000006777"	"ENSG00000005486"	"RHBDD2"
"9"	"ENST00000007390"	"ENSG00000007520"	"TSR3"
"10"	"ENST00000007510"	"ENSG00000004777"	"ARHGAP33"
"11"	"ENST00000007708"	"ENSG00000005882"	"PDK2"
"12"	"ENST00000007969"	"ENSG00000010626"	"LRRC23"
"13"	"ENST00000008440"	"ENSG00000010072"	"SPRTN"
"14"	"ENST00000009180"	"ENSG00000010278"	"CD9"
"15"	"ENST00000009530"	"ENSG00000019582"	"CD74"
"16"	"ENST00000009589"	"ENSG00000008988"	"RPS20"
"17"	"ENST00000014914"	"ENSG00000013588"	"GPRC5A"
"18"	"ENST00000014930"	"ENSG00000013583"	"HEBP1"
"19"	"ENST00000016946"	"ENSG00000015568"	"RGPD5"
"20"	"ENST00000019019"	"ENSG00000068438"	"FTSJ1"
"21"	"ENST00000019317"	"ENSG00000017797"	"RALBP1"
"22"	"ENST00000023939"	"ENSG00000022277"	"RTFDC1"
"23"	"ENST00000025399"	"ENSG00000023734"	"STRAP"
"24"	"ENST00000028008"	"ENSG00000026297"	"RNASET2"
"25"	"ENST00000029410"	"ENSG00000027847"	"B4GALT7"
"26"	"ENST00000031146"	"ENSG00000029364"	"SLC39A9"
"27"	"ENST00000035307"	"ENSG00000033100"	"CHPF2"
"28"	"ENST00000037243"	"ENSG00000034713"	"GABARAPL2"
"29"	"ENST00000042381"	"ENSG00000039523"	"FAM65A"
"30"	"ENST00000044462"	"ENSG00000041357"	"PSMA4"
"31"	"ENST00000053867"	"ENSG00000030582"	"GRN"
"32"	"ENST00000054650"	"ENSG00000041988"	"THAP3"
"33"	"ENST00000054666"	"ENSG00000049245"	"VAMP3"
"34"	"ENST00000054950"	"ENSG00000049449"	"RCN1"
"35"	"ENST00000055335"	"ENSG00000049769"	"PPP1R3F"
"36"	"ENST00000056217"	"ENSG00000050327"	"ARHGEF5"
"37"	"ENST00000060969"	"ENSG00000052723"	"SIKE1"
"38"	"ENST00000072644"	"ENSG00000058799"	"YIPF1"
"39"	"ENST00000072869"	"ENSG00000133597"	"ADCK2"
"40"	"ENST00000075120"	"ENSG00000059804"	"SLC2A3"
"41"	"ENST00000078429"	"ENSG00000088256"	"GNA11"
"42"	"ENST00000082468"	"ENSG00000026950"	"BTN3A1"
"43"	"ENST00000084798"	"ENSG00000063180"	"CA11"
"44"	"ENST00000085068"	"ENSG00000063241"	"ISOC2"
"45"	"ENST00000155840"	"ENSG00000053918"	"KCNQ1"
"46"	"ENST00000160262"	"ENSG00000076662"	"ICAM3"
"47"	"ENST00000162044"	"ENSG00000064545"	"TMEM161A"
"48"	"ENST00000162749"	"ENSG00000067182"	"TNFRSF1A"
"49"	"ENST00000163678"	"ENSG00000067365"	"METTL22"
"50"	"ENST00000164133"	"ENSG00000068971"	"PPP2R5B"
"51"	"ENST00000164305"	"ENSG00000069943"	"PIGB"
"52"	"ENST00000166139"	"ENSG00000070404"	"FSTL3"
"53"	"ENST00000166345"	"ENSG00000071539"	"TRIP13"
"54"	"ENST00000167218"	"ENSG00000071994"	"PDCD2"
"55"	"ENST00000168216"	"ENSG00000072506"	"HSD17B10"
"56"	"ENST00000170447"	"ENSG00000075975"	"MKRN2"
"57"	"ENST00000170630"	"ENSG00000077238"	"IL4R"
"58"	"ENST00000171887"	"ENSG00000079308"	"TNS1"
"59"	"ENST00000173898"	"ENSG00000067445"	"TRO"
"60"	"ENST00000176763"	"ENSG00000072786"	"STK10"
"61"	"ENST00000178640"	"ENSG00000137764"	"MAP2K5"
"62"	"ENST00000182290"	"ENSG00000064201"	"TSPAN32"
"63"	"ENST00000185206"	"ENSG00000112782"	"CLIC5"
"64"	"ENST00000187830"	"ENSG00000073008"	"PVR"
"65"	"ENST00000189444"	"ENSG00000077150"	"NFKB2"
"66"	"ENST00000191018"	"ENSG00000064601"	"CTSA"
"67"	"ENST00000193322"	"ENSG00000081087"	"OSTM1"
"68"	"ENST00000194672"	"ENSG00000082269"	"FAM135A"
"69"	"ENST00000196482"	"ENSG00000083812"	"ZNF324"
"70"	"ENST00000199448"	"ENSG00000086289"	"EPDR1"
"71"	"ENST00000199708"	"ENSG00000086506"	"HBQ1"
"72"	"ENST00000200135"	"ENSG00000086827"	"ZW10"
"73"	"ENST00000200453"	"ENSG00000087074"	"PPP1R15A"
"74"	"ENST00000200639"	"ENSG00000005893"	"LAMP2"
"75"	"ENST00000202834"	"ENSG00000089063"	"TMEM230"
"76"	"ENST00000202917"	"ENSG00000089127"	"OAS1"
"77"	"ENST00000203407"	"ENSG00000010256"	"UQCRC1"
"78"	"ENST00000203629"	"ENSG00000089692"	"LAG3"
"79"	"ENST00000203630"	"ENSG00000089693"	"MLF2"
"80"	"ENST00000204566"	"ENSG00000090487"	"SPG21"
"81"	"ENST00000204679"	"ENSG00000090581"	"GNPTG"
"82"	"ENST00000204961"	"ENSG00000090776"	"EFNB1"
"83"	"ENST00000206474"	"ENSG00000092036"	"HAUS4"
"84"	"ENST00000209728"	"ENSG00000094804"	"CDC6"
"85"	"ENST00000209873"	"ENSG00000094914"	"AAAS"
"86"	"ENST00000210060"	"ENSG00000095059"	"DHPS"
"87"	"ENST00000210444"	"ENSG00000095380"	"NANS"
"88"	"ENST00000211921"	"ENSG00000204482"	"LST1"
"89"	"ENST00000215061"	"ENSG00000099330"	"OCEL1"
"90"	"ENST00000215555"	"ENSG00000099785"	"MARCH2"
"91"	"ENST00000215587"	"ENSG00000099817"	"POLR2E"
"92"	"ENST00000215631"	"ENSG00000099860"	"GADD45B"
"93"	"ENST00000215742"	"ENSG00000184436"	"THAP7"
"94"	"ENST00000215790"	"ENSG00000099992"	"TBC1D10A"
"95"	"ENST00000215794"	"ENSG00000184979"	"USP18"
"96"	"ENST00000215838"	"ENSG00000185339"	"TCN2"
"97"	"ENST00000215862"	"ENSG00000133422"	"MORC2"
"98"	"ENST00000215904"	"ENSG00000241360"	"PDXP"
"99"	"ENST00000215909"	"ENSG00000100097"	"LGALS1"
"100"	"ENST00000215912"	"ENSG00000100100"	"PIK3IP1"
"101"	"ENST00000215919"	"ENSG00000100105"	"PATZ1"
"102"	"ENST00000215956"	"ENSG00000100138"	"SNU13"
"103"	"ENST00000216014"	"ENSG00000100196"	"KDELR3"
"104"	"ENST00000216029"	"ENSG00000100211"	"CBY1"
"105"	"ENST00000216037"	"ENSG00000100219"	"XBP1"
"106"	"ENST00000216061"	"ENSG00000100239"	"PPP6R2"
"107"	"ENST00000216083"	"ENSG00000183741"	"CBX6"
"108"	"ENST00000216122"	"ENSG00000100297"	"MCM5"
"109"	"ENST00000216124"	"ENSG00000100299"	"ARSA"
"110"	"ENST00000216259"	"ENSG00000100417"	"PMM1"
"111"	"ENST00000216286"	"ENSG00000087303"	"NID2"
"112"	"ENST00000216288"	"ENSG00000075413"	"MARK3"
"113"	"ENST00000216350"	"ENSG00000100462"	"PRMT5"
"114"	"ENST00000216392"	"ENSG00000100504"	"PYGL"
"115"	"ENST00000216442"	"ENSG00000100554"	"ATP6V1D"
"116"	"ENST00000216455"	"ENSG00000100567"	"PSMA3"
"117"	"ENST00000216456"	"ENSG00000100568"	"VTI1B"
"118"	"ENST00000216465"	"ENSG00000100577"	"GSTZ1"
"119"	"ENST00000216479"	"ENSG00000100591"	"AHSA1"
"120"	"ENST00000216554"	"ENSG00000100664"	"EIF5"
"121"	"ENST00000216714"	"ENSG00000100823"	"APEX1"
"122"	"ENST00000216727"	"ENSG00000100836"	"PABPN1"
"123"	"ENST00000216743"	"ENSG00000100852"	"ARHGAP5"
"124"	"ENST00000216797"	"ENSG00000100906"	"NFKBIA"
"125"	"ENST00000216807"	"ENSG00000100916"	"BRMS1L"
"126"	"ENST00000216879"	"ENSG00000088833"	"NSFL1C"
"127"	"ENST00000216968"	"ENSG00000101000"	"PROCR"
"128"	"ENST00000217026"	"ENSG00000101057"	"MYBL2"
"129"	"ENST00000217073"	"ENSG00000101104"	"PABPC1L"
"130"	"ENST00000217074"	"ENSG00000101104"	"PABPC1L"
"131"	"ENST00000217133"	"ENSG00000101162"	"TUBB1"
"132"	"ENST00000217162"	"ENSG00000101190"	"TCFL5"
"133"	"ENST00000217173"	"ENSG00000185019"	"UBOX5"
"134"	"ENST00000217195"	"ENSG00000101220"	"C20orf27"
"135"	"ENST00000217289"	"ENSG00000101311"	"FERMT1"
"136"	"ENST00000217893"	"ENSG00000273841"	"TAF9"
"137"	"ENST00000217901"	"ENSG00000067829"	"IDH3G"
"138"	"ENST00000218089"	"ENSG00000101972"	"STAG2"
"139"	"ENST00000218104"	"ENSG00000101986"	"ABCD1"
"140"	"ENST00000218439"	"ENSG00000102316"	"MAGED2"
"141"	"ENST00000218516"	"ENSG00000102393"	"GLA"
"142"	"ENST00000218981"	"ENSG00000102796"	"DHRS12"
"143"	"ENST00000219066"	"ENSG00000065057"	"NTHL1"
"144"	"ENST00000219070"	"ENSG00000087245"	"MMP2"
"145"	"ENST00000219169"	"ENSG00000102898"	"NUTF2"
"146"	"ENST00000219240"	"ENSG00000102967"	"DHODH"
"147"	"ENST00000219315"	"ENSG00000103037"	"SETD6"
"148"	"ENST00000219334"	"ENSG00000103056"	"SMPD3"
"149"	"ENST00000219439"	"ENSG00000103160"	"HSDL1"
"150"	"ENST00000219473"	"ENSG00000103194"	"USP10"
"151"	"ENST00000219771"	"ENSG00000103485"	"QPRT"
"152"	"ENST00000220325"	"ENSG00000103966"	"EHD4"
"153"	"ENST00000220429"	"ENSG00000104064"	"GABPB1"
"154"	"ENST00000220509"	"ENSG00000104142"	"VPS18"
"155"	"ENST00000220562"	"ENSG00000012232"	"EXTL3"
"156"	"ENST00000220763"	"ENSG00000104324"	"CPQ"
"157"	"ENST00000220847"	"ENSG00000129292"	"PHF20L1"
"158"	"ENST00000220853"	"ENSG00000104412"	"EMC2"
"159"	"ENST00000220931"	"ENSG00000104490"	"NCALD"
"160"	"ENST00000221132"	"ENSG00000104689"	"TNFRSF10A"
"161"	"ENST00000221138"	"ENSG00000104695"	"PPP2CB"
"162"	"ENST00000221265"	"ENSG00000006712"	"PAF1"
"163"	"ENST00000221283"	"ENSG00000076944"	"STXBP2"
"164"	"ENST00000221431"	"ENSG00000104835"	"SARS2"
"165"	"ENST00000221486"	"ENSG00000104889"	"RNASEH2A"
"166"	"ENST00000221671"	"ENSG00000105072"	"C19orf44"
"167"	"ENST00000221742"	"ENSG00000105143"	"SLC1A6"
"168"	"ENST00000221784"	"ENSG00000105185"	"PDCD5"
"169"	"ENST00000222125"	"ENSG00000105519"	"CAPS"
"170"	"ENST00000222214"	"ENSG00000105607"	"GCDH"
"171"	"ENST00000222284"	"ENSG00000105677"	"TMEM147"
"172"	"ENST00000222286"	"ENSG00000105679"	"GAPDHS"
"173"	"ENST00000222305"	"ENSG00000105698"	"USF2"
"174"	"ENST00000222307"	"ENSG00000105700"	"KXD1"
"175"	"ENST00000222308"	"ENSG00000105701"	"FKBP8"
"176"	"ENST00000222339"	"ENSG00000105732"	"ZNF574"
"177"	"ENST00000222388"	"ENSG00000033050"	"ABCF2"
"178"	"ENST00000222511"	"ENSG00000105793"	"GTPBP10"
"179"	"ENST00000222574"	"ENSG00000105856"	"HBP1"
"180"	"ENST00000222693"	"ENSG00000105971"	"CAV2"
"181"	"ENST00000223095"	"ENSG00000106366"	"SERPINE1"
"182"	"ENST00000223136"	"ENSG00000214253"	"FIS1"
"183"	"ENST00000223190"	"ENSG00000106459"	"NRF1"
"184"	"ENST00000223215"	"ENSG00000106484"	"MEST"
"185"	"ENST00000223293"	"ENSG00000106560"	"GIMAP2"
"186"	"ENST00000223336"	"ENSG00000106603"	"COA1"
"187"	"ENST00000223361"	"ENSG00000106628"	"POLD2"
"188"	"ENST00000223423"	"ENSG00000095303"	"PTGS1"
"189"	"ENST00000223428"	"ENSG00000081386"	"ZNF510"
"190"	"ENST00000223500"	"ENSG00000086065"	"CHMP5"
"191"	"ENST00000223836"	"ENSG00000106992"	"AK1"
"192"	"ENST00000223865"	"ENSG00000107021"	"TBC1D13"
"193"	"ENST00000224756"	"ENSG00000107771"	"CCSER2"
"194"	"ENST00000224784"	"ENSG00000107796"	"ACTA2"
"195"	"ENST00000224807"	"ENSG00000107819"	"SFXN3"
"196"	"ENST00000225235"	"ENSG00000108239"	"TBC1D12"
"197"	"ENST00000225298"	"ENSG00000011260"	"UTP18"
"198"	"ENST00000225308"	"ENSG00000013306"	"SLC25A39"
"199"	"ENST00000225519"	"ENSG00000197417"	"SHPK"
"200"	"ENST00000225525"	"ENSG00000213977"	"TAX1BP3"
"201"	"ENST00000225567"	"ENSG00000108433"	"GOSR2"
"202"	"ENST00000225609"	"ENSG00000108474"	"PIGL"
"203"	"ENST00000225614"	"ENSG00000108479"	"GALK1"
"204"	"ENST00000225648"	"ENSG00000108511"	"HOXB6"
"205"	"ENST00000225665"	"ENSG00000108528"	"SLC25A11"
"206"	"ENST00000225688"	"ENSG00000108551"	"RASD1"
"207"	"ENST00000225760"	"ENSG00000224383"	"PRR29"
"208"	"ENST00000225831"	"ENSG00000108691"	"CCL2"
"209"	"ENST00000225873"	"ENSG00000108733"	"PEX12"
"210"	"ENST00000225969"	"ENSG00000108826"	"MRPL27"
"211"	"ENST00000226004"	"ENSG00000108861"	"DUSP3"
"212"	"ENST00000226067"	"ENSG00000108924"	"HLF"
"213"	"ENST00000226225"	"ENSG00000109079"	"TNFAIP1"
"214"	"ENST00000226725"	"ENSG00000109466"	"KLHL2"
"215"	"ENST00000226760"	"ENSG00000109501"	"WFS1"
"216"	"ENST00000226796"	"ENSG00000109534"	"GAR1"
"217"	"ENST00000226951"	"ENSG00000109684"	"CLNK"
"218"	"ENST00000227135"	"ENSG00000064199"	"SPA17"
"219"	"ENST00000227474"	"ENSG00000110060"	"PUS3"
"220"	"ENST00000227495"	"ENSG00000110080"	"ST3GAL4"
"221"	"ENST00000227507"	"ENSG00000110092"	"CCND1"
"222"	"ENST00000227520"	"ENSG00000110104"	"CCDC86"
"223"	"ENST00000227618"	"ENSG00000110200"	"ANAPC15"
"224"	"ENST00000227638"	"ENSG00000110218"	"PANX1"
"225"	"ENST00000227756"	"ENSG00000110328"	"GALNT18"
"226"	"ENST00000227758"	"ENSG00000110330"	"BIRC2"
"227"	"ENST00000228140"	"ENSG00000110700"	"RPS13"
"228"	"ENST00000228289"	"ENSG00000090612"	"ZNF268"
"229"	"ENST00000228306"	"ENSG00000089157"	"RPLP0"
"230"	"ENST00000228307"	"ENSG00000089159"	"PXN"
"231"	"ENST00000228345"	"ENSG00000002016"	"RAD52"
"232"	"ENST00000228425"	"ENSG00000110841"	"PPFIBP1"
"233"	"ENST00000228510"	"ENSG00000110921"	"MVK"
"234"	"ENST00000228740"	"ENSG00000111144"	"LTA4H"
"235"	"ENST00000228862"	"ENSG00000111266"	"DUSP16"
"236"	"ENST00000228918"	"ENSG00000111321"	"LTBR"
"237"	"ENST00000228922"	"ENSG00000111325"	"OGFOD2"
"238"	"ENST00000228928"	"ENSG00000111331"	"OAS3"
"239"	"ENST00000228938"	"ENSG00000111341"	"MGP"
"240"	"ENST00000228955"	"ENSG00000111358"	"GTF2H3"
"241"	"ENST00000229201"	"ENSG00000111602"	"TIMELESS"
"242"	"ENST00000229239"	"ENSG00000111640"	"GAPDH"
"243"	"ENST00000229243"	"ENSG00000111644"	"ACRBP"
"244"	"ENST00000229270"	"ENSG00000111669"	"TPI1"
"245"	"ENST00000229277"	"ENSG00000111674"	"ENO2"
"246"	"ENST00000229328"	"ENSG00000111725"	"PRKAB1"
"247"	"ENST00000229330"	"ENSG00000111727"	"HCFC2"
"248"	"ENST00000229340"	"ENSG00000111737"	"RAB35"
"249"	"ENST00000229471"	"ENSG00000010810"	"FYN"
"250"	"ENST00000229708"	"ENSG00000111981"	"ULBP1"
"251"	"ENST00000229866"	"ENSG00000112130"	"RNF8"
"252"	"ENST00000230036"	"ENSG00000112293"	"GPLD1"
"253"	"ENST00000230056"	"ENSG00000112312"	"GMNN"
"254"	"ENST00000230173"	"ENSG00000112414"	"ADGRG6"
"255"	"ENST00000230340"	"ENSG00000112578"	"BYSL"
"256"	"ENST00000230354"	"ENSG00000112592"	"TBP"
"257"	"ENST00000230402"	"ENSG00000112640"	"PPP2R5D"
"258"	"ENST00000230461"	"ENSG00000112697"	"TMEM30A"
"259"	"ENST00000230771"	"ENSG00000112855"	"HARS2"
"260"	"ENST00000230792"	"ENSG00000112874"	"NUDT12"
"261"	"ENST00000230895"	"ENSG00000112977"	"DAP"
"262"	"ENST00000230990"	"ENSG00000113070"	"HBEGF"
"263"	"ENST00000231004"	"ENSG00000113083"	"LOX"
"264"	"ENST00000231021"	"ENSG00000113100"	"CDH9"
"265"	"ENST00000231061"	"ENSG00000113140"	"SPARC"
"266"	"ENST00000231238"	"ENSG00000113312"	"TTC1"
"267"	"ENST00000231504"	"ENSG00000113575"	"PPP2CA"
"268"	"ENST00000231512"	"ENSG00000113583"	"C5orf15"
"269"	"ENST00000231524"	"ENSG00000113595"	"TRIM23"
"270"	"ENST00000231526"	"ENSG00000113597"	"TRAPPC13"
"271"	"ENST00000231721"	"ENSG00000010319"	"SEMA3G"
"272"	"ENST00000232014"	"ENSG00000113916"	"BCL6"
"273"	"ENST00000232375"	"ENSG00000114268"	"PFKFB4"
"274"	"ENST00000232458"	"ENSG00000114346"	"ECT2"
"275"	"ENST00000232607"	"ENSG00000114491"	"UMPS"
"276"	"ENST00000232854"	"ENSG00000114735"	"HEMK1"
"277"	"ENST00000232978"	"ENSG00000114857"	"NKTR"
"278"	"ENST00000233055"	"ENSG00000085449"	"WDFY1"
"279"	"ENST00000233078"	"ENSG00000071626"	"DAZAP1"
"280"	"ENST00000233121"	"ENSG00000084764"	"MAPRE3"
"281"	"ENST00000233154"	"ENSG00000071051"	"NCK2"
"282"	"ENST00000233202"	"ENSG00000018280"	"SLC11A1"
"283"	"ENST00000233330"	"ENSG00000114993"	"RTKN"
"284"	"ENST00000233575"	"ENSG00000115234"	"SNX17"
"285"	"ENST00000233596"	"ENSG00000115255"	"REEP6"
"286"	"ENST00000233630"	"ENSG00000115289"	"PCGF1"
"287"	"ENST00000233826"	"ENSG00000115474"	"KCNJ13"
"288"	"ENST00000234115"	"ENSG00000115762"	"PLEKHB2"
"289"	"ENST00000234590"	"ENSG00000074800"	"ENO1"
"290"	"ENST00000234626"	"ENSG00000097046"	"CDC7"
"291"	"ENST00000234677"	"ENSG00000031698"	"SARS"
"292"	"ENST00000235150"	"ENSG00000116514"	"RNF19B"
"293"	"ENST00000235332"	"ENSG00000116691"	"MIIP"
"294"	"ENST00000235382"	"ENSG00000116741"	"RGS2"
"295"	"ENST00000235521"	"ENSG00000116874"	"WARS2"
"296"	"ENST00000235835"	"ENSG00000053371"	"AKR7A2"
"297"	"ENST00000235932"	"ENSG00000117280"	"RAB29"
"298"	"ENST00000235958"	"ENSG00000117305"	"HMGCL"
"299"	"ENST00000236017"	"ENSG00000117362"	"APH1A"
"300"	"ENST00000236040"	"ENSG00000117385"	"P3H1"
"301"	"ENST00000236067"	"ENSG00000117410"	"ATP6V0B"
"302"	"ENST00000236147"	"ENSG00000188404"	"SELL"
"303"	"ENST00000236698"	"ENSG00000118007"	"STAG1"
