"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000412"	"ENSG00000003056"	"M6PR"
"2"	"ENST00000002501"	"ENSG00000003249"	"DBNDD1"
"3"	"ENST00000002596"	"ENSG00000002587"	"HS3ST1"
"4"	"ENST00000003912"	"ENSG00000001461"	"NIPAL3"
"5"	"ENST00000005257"	"ENSG00000006451"	"RALA"
"6"	"ENST00000007390"	"ENSG00000007520"	"TSR3"
"7"	"ENST00000007510"	"ENSG00000004777"	"ARHGAP33"
"8"	"ENST00000008527"	"ENSG00000008405"	"CRY1"
"9"	"ENST00000009530"	"ENSG00000019582"	"CD74"
"10"	"ENST00000011653"	"ENSG00000010610"	"CD4"
"11"	"ENST00000011691"	"ENSG00000008324"	"SS18L2"
"12"	"ENST00000013070"	"ENSG00000012963"	"UBR7"
"13"	"ENST00000013222"	"ENSG00000241644"	"INMT"
"14"	"ENST00000014935"	"ENSG00000013563"	"DNASE1L1"
"15"	"ENST00000022615"	"ENSG00000078668"	"VDAC3"
"16"	"ENST00000028008"	"ENSG00000026297"	"RNASET2"
"17"	"ENST00000035307"	"ENSG00000033100"	"CHPF2"
"18"	"ENST00000037243"	"ENSG00000034713"	"GABARAPL2"
"19"	"ENST00000037869"	"ENSG00000035141"	"FAM136A"
"20"	"ENST00000038176"	"ENSG00000035681"	"NSMAF"
"21"	"ENST00000040738"	"ENSG00000038219"	"BOD1L1"
"22"	"ENST00000040877"	"ENSG00000059588"	"TARBP1"
"23"	"ENST00000045083"	"ENSG00000042062"	"FAM65C"
"24"	"ENST00000046640"	"ENSG00000040531"	"CTNS"
"25"	"ENST00000053468"	"ENSG00000048544"	"MRPS10"
"26"	"ENST00000053867"	"ENSG00000030582"	"GRN"
"27"	"ENST00000055335"	"ENSG00000049769"	"PPP1R3F"
"28"	"ENST00000064724"	"ENSG00000013297"	"CLDN11"
"29"	"ENST00000064778"	"ENSG00000054965"	"FAM168A"
"30"	"ENST00000064780"	"ENSG00000054967"	"RELT"
"31"	"ENST00000072644"	"ENSG00000058799"	"YIPF1"
"32"	"ENST00000078429"	"ENSG00000088256"	"GNA11"
"33"	"ENST00000081029"	"ENSG00000061794"	"MRPS35"
"34"	"ENST00000085219"	"ENSG00000012124"	"CD22"
"35"	"ENST00000155093"	"ENSG00000067646"	"ZFY"
"36"	"ENST00000155840"	"ENSG00000053918"	"KCNQ1"
"37"	"ENST00000155926"	"ENSG00000071575"	"TRIB2"
"38"	"ENST00000156109"	"ENSG00000068394"	"GPKOW"
"39"	"ENST00000157812"	"ENSG00000013275"	"PSMC4"
"40"	"ENST00000158771"	"ENSG00000072849"	"DERL2"
"41"	"ENST00000159647"	"ENSG00000073150"	"PANX2"
"42"	"ENST00000160827"	"ENSG00000079616"	"KIF22"
"43"	"ENST00000162044"	"ENSG00000064545"	"TMEM161A"
"44"	"ENST00000162391"	"ENSG00000065970"	"FOXJ2"
"45"	"ENST00000164133"	"ENSG00000068971"	"PPP2R5B"
"46"	"ENST00000166345"	"ENSG00000071539"	"TRIP13"
"47"	"ENST00000170168"	"ENSG00000079313"	"REXO1"
"48"	"ENST00000171887"	"ENSG00000079308"	"TNS1"
"49"	"ENST00000173229"	"ENSG00000065320"	"NTN1"
"50"	"ENST00000175091"	"ENSG00000068697"	"LAPTM4A"
"51"	"ENST00000177742"	"ENSG00000074071"	"MRPS34"
"52"	"ENST00000182290"	"ENSG00000064201"	"TSPAN32"
"53"	"ENST00000182377"	"ENSG00000064763"	"FAR2"
"54"	"ENST00000182527"	"ENSG00000065308"	"TRAM2"
"55"	"ENST00000187830"	"ENSG00000073008"	"PVR"
"56"	"ENST00000192788"	"ENSG00000065060"	"UHRF1BP1"
"57"	"ENST00000193322"	"ENSG00000081087"	"OSTM1"
"58"	"ENST00000194530"	"ENSG00000082146"	"STRADB"
"59"	"ENST00000196489"	"ENSG00000083817"	"ZNF416"
"60"	"ENST00000199447"	"ENSG00000086288"	"NME8"
"61"	"ENST00000199448"	"ENSG00000086289"	"EPDR1"
"62"	"ENST00000199814"	"ENSG00000086589"	"RBM22"
"63"	"ENST00000200135"	"ENSG00000086827"	"ZW10"
"64"	"ENST00000200639"	"ENSG00000005893"	"LAMP2"
"65"	"ENST00000202677"	"ENSG00000188559"	"RALGAPA2"
"66"	"ENST00000202831"	"ENSG00000089060"	"SLC8B1"
"67"	"ENST00000202834"	"ENSG00000089063"	"TMEM230"
"68"	"ENST00000202917"	"ENSG00000089127"	"OAS1"
"69"	"ENST00000205135"	"ENSG00000090924"	"PLEKHG2"
"70"	"ENST00000205636"	"ENSG00000091317"	"CMTM6"
"71"	"ENST00000206020"	"ENSG00000091640"	"SPAG7"
"72"	"ENST00000206249"	"ENSG00000091831"	"ESR1"
"73"	"ENST00000206380"	"ENSG00000091947"	"TMEM101"
"74"	"ENST00000206423"	"ENSG00000091986"	"CCDC80"
"75"	"ENST00000206474"	"ENSG00000092036"	"HAUS4"
"76"	"ENST00000206595"	"ENSG00000092140"	"G2E3"
"77"	"ENST00000207549"	"ENSG00000092929"	"UNC13D"
"78"	"ENST00000209728"	"ENSG00000094804"	"CDC6"
"79"	"ENST00000209873"	"ENSG00000094914"	"AAAS"
"80"	"ENST00000210060"	"ENSG00000095059"	"DHPS"
"81"	"ENST00000210313"	"ENSG00000095261"	"PSMD5"
"82"	"ENST00000212015"	"ENSG00000096717"	"SIRT1"
"83"	"ENST00000215061"	"ENSG00000099330"	"OCEL1"
"84"	"ENST00000215115"	"ENSG00000099385"	"BCL7C"
"85"	"ENST00000215375"	"ENSG00000099624"	"ATP5D"
"86"	"ENST00000215587"	"ENSG00000099817"	"POLR2E"
"87"	"ENST00000215730"	"ENSG00000099940"	"SNAP29"
"88"	"ENST00000215781"	"ENSG00000099985"	"OSM"
"89"	"ENST00000215794"	"ENSG00000184979"	"USP18"
"90"	"ENST00000215829"	"ENSG00000100028"	"SNRPD3"
"91"	"ENST00000215832"	"ENSG00000100030"	"MAPK1"
"92"	"ENST00000215862"	"ENSG00000133422"	"MORC2"
"93"	"ENST00000215917"	"ENSG00000100104"	"SRRD"
"94"	"ENST00000215941"	"ENSG00000100124"	"ANKRD54"
"95"	"ENST00000216029"	"ENSG00000100211"	"CBY1"
"96"	"ENST00000216061"	"ENSG00000100239"	"PPP6R2"
"97"	"ENST00000216068"	"ENSG00000100246"	"DNAL4"
"98"	"ENST00000216083"	"ENSG00000183741"	"CBX6"
"99"	"ENST00000216106"	"ENSG00000100281"	"HMGXB4"
"100"	"ENST00000216133"	"ENSG00000100307"	"CBX7"
"101"	"ENST00000216146"	"ENSG00000100316"	"RPL3"
"102"	"ENST00000216187"	"ENSG00000100350"	"FOXRED2"
