""	"RNA_D1_CLP_100"	"RNA_D1_GMP_100"	"RNA_D1_HSC_100"	"RNA_D1_MLP0_100"	"RNA_D1_MPP_100"	"RNA_D2_CMP_100"
"ENST00000634198"	0	0	0	0	0	0
"ENST00000390345"	0	0	0	0	0	0
"ENST00000390346"	23	0	0	47	0	0
"ENST00000390396"	37	80	0	36	0	0
"ENST00000620569"	0	38	21	101	0	14
"ENST00000390450"	30	0	0	28	0	0
"ENST00000390357"	0	0	0	5	0	0
"ENST00000390344"	0	48	0	0	0	0
"ENST00000613175"	52	57	0	39	1	0
"ENST00000633292"	0	38	21	90	0	14
"ENST00000633696"	0	0	0	28	0	0
"ENST00000619125"	52	194	19	84	0	0
"ENST00000390400"	53	206	19	85	0	0
"ENST00000633283"	47	117	3	83	0	0
"ENST00000633842"	38	69	0	36	0	0
"ENST00000422143"	0	0	0	0	0	0
"ENST00000390369"	0	0	0	0	30	0
"ENST00000390399"	48	104	3	86	0	1
"ENST00000426402"	29	0	0	26	0	0
"ENST00000453496"	8	17	16	7	4	3
"ENST00000534447"	23	26	14	6	10	19
"ENST00000527937"	16	11	8	1	11	8
"ENST00000623922"	0	5	0	0	0	28
"ENST00000622053"	1212	3515	1535	5997	73	265
"ENST00000612153"	9	49	21	92	2	5
"ENST00000613720"	2	60	1	4	3	5
"ENST00000621068"	73	176	111	640	4	6
"ENST00000614992"	78	144	73	300	1	2
"ENST00000633705"	2	0	0	3	0	1
"ENST00000466254"	40	208	88	109	28	31
"ENST00000632136"	2	0	0	3	0	1
"ENST00000613903"	86	213	9	597	0	0
"ENST00000390477"	81	0	0	0	0	3
"ENST00000611116"	38	0	1	2	0	0
"ENST00000436911"	0	25	0	0	9	1
"ENST00000390559"	12198	7620	2023	16056	522	12
"ENST00000610824"	3	1	0	3	0	0
"ENST00000633698"	314	18	8	428	3	1
"ENST00000612319"	381	229	0	720	2	1
"ENST00000390548"	13	0	0	62	0	0
"ENST00000390237"	196	0	67	70	0	3
"ENST00000631539"	13	0	0	61	0	0
"ENST00000626472"	17106	12495	2154	18006	706	12
"ENST00000615655"	33	455	219	890	29	4
"ENST00000622287"	1159	100	58	77	21	4
"ENST00000390556"	275	18	8	528	3	1
"ENST00000613640"	400	246	0	730	2	1
"ENST00000390323"	19	31	0	0	0	1
"ENST00000614252"	225	0	79	70	0	3
"ENST00000390634"	0	1	5	0	0	0
"ENST00000632209"	0	54	0	0	0	0
"ENST00000604066"	28	0	0	36	1	0
"ENST00000624687"	112	40	0	0	0	0
"ENST00000603660"	0	1	0	111	0	0
"ENST00000633490"	25	51	0	127	0	0
"ENST00000390289"	17	0	1	0	0	0
"ENST00000438142"	8	0	4	451	0	0
"ENST00000632630"	34	0	0	0	0	0
"ENST00000390243"	35	0	0	0	0	0
"ENST00000619078"	28	2	22	69	1	0
"ENST00000390252"	147	0	0	0	0	1
"ENST00000632882"	3	43	0	0	0	0
"ENST00000632005"	0	1	5	0	0	0
"ENST00000390630"	3	25	2	3	0	0
"ENST00000390629"	29	2	24	74	1	0
"ENST00000390609"	35	0	0	0	0	0
"ENST00000633400"	0	1	0	130	0	0
"ENST00000615784"	0	55	0	0	0	0
"ENST00000390633"	3	138	0	0	0	0
"ENST00000632151"	7	0	0	73	0	0
"ENST00000631807"	0	4	0	25	0	0
"ENST00000390610"	34	206	0	550	0	0
"ENST00000630556"	27	0	0	36	0	0
"ENST00000632960"	3	24	2	4	0	0
"ENST00000632887"	133	0	0	0	0	1
"ENST00000361390"	29160	54895	47531	36578	67354	43782
"ENST00000361453"	43184	68496	59071	49176	74186	49558
"ENST00000361624"	128884	357653	302531	288592	189687	194705
"ENST00000361739"	28206	83220	92532	59210	47635	42069
"ENST00000361851"	7433	14012	12942	10958	11528	8507
"ENST00000361899"	49790	103122	95920	73220	79538	78371
"ENST00000362079"	53316	159166	130848	104240	96561	83525
"ENST00000361227"	9773	12690	10389	5384	9766	13758
"ENST00000361335"	29283	62907	58293	41688	28894	34114
"ENST00000361381"	86551	228308	176415	130913	118571	119140
"ENST00000361567"	27361	66896	56799	49145	46740	31712
"ENST00000361681"	5485	15751	11473	7231	7522	9176
"ENST00000361789"	71928	185881	231878	169473	133025	72568
"ENST00000334816"	32	240	529	49	353	33
"ENST00000409877"	1	93	1	1	1	1
"ENST00000422247"	170	423	99	77	168	72
"ENST00000506809"	3	1	24	36	1	8
"ENST00000257287"	455	79	367	935	28	69
"ENST00000515081"	150	192	115	32	178	57
"ENST00000506202"	247	646	4	6	107	314
"ENST00000478749"	47	162	45	37	9	0
"ENST00000235332"	153	250	127	61	83	5
"ENST00000466860"	149	53	2	3	9	20
"ENST00000498685"	25	69	2	2	6	34
"ENST00000460823"	7	27	3	3	2	4
"ENST00000227520"	6	5	181	1	0	1
"ENST00000535217"	6	25	7	1	0	1
"ENST00000596831"	1	42	0	49	1	0
"ENST00000601945"	4	1	0	34	4	0
"ENST00000415705"	2	1	0	80	28	0
"ENST00000268459"	15	17	10	6	5	24
"ENST00000418458"	40	865	547	354	554	79
"ENST00000394799"	17	63	80	17	320	347
"ENST00000496254"	23	13	182	35	121	92
"ENST00000474423"	2	1	2	1	25	1
"ENST00000484022"	0	26	43	18	4	11
"ENST00000497356"	4	106	150	6	112	17
