"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000412"	"ENSG00000003056"	"M6PR"
"2"	"ENST00000003100"	"ENSG00000001630"	"CYP51A1"
"3"	"ENST00000003912"	"ENSG00000001461"	"NIPAL3"
"4"	"ENST00000005259"	"ENSG00000075790"	"BCAP29"
"5"	"ENST00000005386"	"ENSG00000005175"	"RPAP3"
"6"	"ENST00000006658"	"ENSG00000006282"	"SPATA20"
"7"	"ENST00000007969"	"ENSG00000010626"	"LRRC23"
"8"	"ENST00000008440"	"ENSG00000010072"	"SPRTN"
"9"	"ENST00000010404"	"ENSG00000008394"	"MGST1"
"10"	"ENST00000011473"	"ENSG00000008282"	"SYPL1"
"11"	"ENST00000011653"	"ENSG00000010610"	"CD4"
"12"	"ENST00000011700"	"ENSG00000048707"	"VPS13D"
"13"	"ENST00000012049"	"ENSG00000011478"	"QPCTL"
"14"	"ENST00000012443"	"ENSG00000011485"	"PPP5C"
"15"	"ENST00000016946"	"ENSG00000015568"	"RGPD5"
"16"	"ENST00000017003"	"ENSG00000015532"	"XYLT2"
"17"	"ENST00000019019"	"ENSG00000068438"	"FTSJ1"
"18"	"ENST00000019317"	"ENSG00000017797"	"RALBP1"
"19"	"ENST00000026218"	"ENSG00000007541"	"PIGQ"
"20"	"ENST00000038176"	"ENSG00000035681"	"NSMAF"
"21"	"ENST00000040877"	"ENSG00000059588"	"TARBP1"
"22"	"ENST00000042381"	"ENSG00000039523"	"FAM65A"
"23"	"ENST00000045083"	"ENSG00000042062"	"FAM65C"
"24"	"ENST00000046794"	"ENSG00000043462"	"LCP2"
"25"	"ENST00000053867"	"ENSG00000030582"	"GRN"
"26"	"ENST00000055335"	"ENSG00000049769"	"PPP1R3F"
"27"	"ENST00000056217"	"ENSG00000050327"	"ARHGEF5"
"28"	"ENST00000056233"	"ENSG00000050344"	"NFE2L3"
"29"	"ENST00000074304"	"ENSG00000040933"	"INPP4A"
"30"	"ENST00000075120"	"ENSG00000059804"	"SLC2A3"
"31"	"ENST00000075322"	"ENSG00000136960"	"ENPP2"
"32"	"ENST00000078527"	"ENSG00000060642"	"PIGV"
"33"	"ENST00000081029"	"ENSG00000061794"	"MRPS35"
"34"	"ENST00000085079"	"ENSG00000063245"	"EPN1"
"35"	"ENST00000155840"	"ENSG00000053918"	"KCNQ1"
"36"	"ENST00000156109"	"ENSG00000068394"	"GPKOW"
"37"	"ENST00000156471"	"ENSG00000021776"	"AQR"
"38"	"ENST00000156825"	"ENSG00000071655"	"MBD3"
"39"	"ENST00000158771"	"ENSG00000072849"	"DERL2"
"40"	"ENST00000160262"	"ENSG00000076662"	"ICAM3"
"41"	"ENST00000160740"	"ENSG00000079432"	"CIC"
"42"	"ENST00000160827"	"ENSG00000079616"	"KIF22"
"43"	"ENST00000162749"	"ENSG00000067182"	"TNFRSF1A"
"44"	"ENST00000163416"	"ENSG00000066455"	"GOLGA5"
"45"	"ENST00000166139"	"ENSG00000070404"	"FSTL3"
"46"	"ENST00000166345"	"ENSG00000071539"	"TRIP13"
"47"	"ENST00000167218"	"ENSG00000071994"	"PDCD2"
"48"	"ENST00000170564"	"ENSG00000076650"	"GPATCH1"
"49"	"ENST00000170630"	"ENSG00000077238"	"IL4R"
"50"	"ENST00000171111"	"ENSG00000079999"	"KEAP1"
"51"	"ENST00000171887"	"ENSG00000079308"	"TNS1"
"52"	"ENST00000173527"	"ENSG00000066583"	"ISOC1"
"53"	"ENST00000175091"	"ENSG00000068697"	"LAPTM4A"
"54"	"ENST00000175756"	"ENSG00000072135"	"PTPN18"
"55"	"ENST00000180173"	"ENSG00000003987"	"MTMR7"
"56"	"ENST00000182290"	"ENSG00000064201"	"TSPAN32"
"57"	"ENST00000182377"	"ENSG00000064763"	"FAR2"
"58"	"ENST00000184266"	"ENSG00000065518"	"NDUFB4"
"59"	"ENST00000187879"	"ENSG00000159885"	"ZNF222"
"60"	"ENST00000189444"	"ENSG00000077150"	"NFKB2"
"61"	"ENST00000191018"	"ENSG00000064601"	"CTSA"
"62"	"ENST00000194214"	"ENSG00000081870"	"HSPB11"
"63"	"ENST00000194672"	"ENSG00000082269"	"FAM135A"
"64"	"ENST00000196061"	"ENSG00000083444"	"PLOD1"
"65"	"ENST00000197268"	"ENSG00000084444"	"FAM234B"
"66"	"ENST00000198767"	"ENSG00000085721"	"RRN3"
"67"	"ENST00000198939"	"ENSG00000085872"	"CHERP"
"68"	"ENST00000200135"	"ENSG00000086827"	"ZW10"
"69"	"ENST00000200457"	"ENSG00000087077"	"TRIP6"
"70"	"ENST00000200639"	"ENSG00000005893"	"LAMP2"
"71"	"ENST00000201961"	"ENSG00000197183"	"NOL4L"
"72"	"ENST00000202831"	"ENSG00000089060"	"SLC8B1"
"73"	"ENST00000202917"	"ENSG00000089127"	"OAS1"
"74"	"ENST00000203166"	"ENSG00000249115"	"HAUS5"
"75"	"ENST00000203407"	"ENSG00000010256"	"UQCRC1"
"76"	"ENST00000203556"	"ENSG00000089639"	"GMIP"
"77"	"ENST00000203629"	"ENSG00000089692"	"LAG3"
"78"	"ENST00000203630"	"ENSG00000089693"	"MLF2"
"79"	"ENST00000205214"	"ENSG00000157426"	"AASDH"
"80"	"ENST00000205557"	"ENSG00000091262"	"ABCC6"
"81"	"ENST00000206020"	"ENSG00000091640"	"SPAG7"
"82"	"ENST00000206262"	"ENSG00000091844"	"RGS17"
"83"	"ENST00000206474"	"ENSG00000092036"	"HAUS4"
"84"	"ENST00000207636"	"ENSG00000093010"	"COMT"
"85"	"ENST00000209884"	"ENSG00000076321"	"KLHL20"
"86"	"ENST00000210313"	"ENSG00000095261"	"PSMD5"
"87"	"ENST00000210444"	"ENSG00000095380"	"NANS"
"88"	"ENST00000211921"	"ENSG00000204482"	"LST1"
"89"	"ENST00000214869"	"ENSG00000099203"	"TMED1"
"90"	"ENST00000215061"	"ENSG00000099330"	"OCEL1"
"91"	"ENST00000215531"	"ENSG00000095932"	"SMIM24"
"92"	"ENST00000215555"	"ENSG00000099785"	"MARCH2"
"93"	"ENST00000215574"	"ENSG00000099804"	"CDC34"
"94"	"ENST00000215587"	"ENSG00000099817"	"POLR2E"
"95"	"ENST00000215659"	"ENSG00000188130"	"MAPK12"
"96"	"ENST00000215739"	"ENSG00000099949"	"LZTR1"
"97"	"ENST00000215754"	"ENSG00000240972"	"MIF"
"98"	"ENST00000215798"	"ENSG00000099999"	"RNF215"
"99"	"ENST00000215838"	"ENSG00000185339"	"TCN2"
"100"	"ENST00000215862"	"ENSG00000133422"	"MORC2"
"101"	"ENST00000215882"	"ENSG00000100075"	"SLC25A1"
"102"	"ENST00000215909"	"ENSG00000100097"	"LGALS1"
"103"	"ENST00000215912"	"ENSG00000100100"	"PIK3IP1"
"104"	"ENST00000216014"	"ENSG00000100196"	"KDELR3"
"105"	"ENST00000216027"	"ENSG00000100209"	"HSCB"
"106"	"ENST00000216083"	"ENSG00000183741"	"CBX6"
