"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000412"	"ENSG00000003056"	"M6PR"
"2"	"ENST00000005340"	"ENSG00000004975"	"DVL2"
"3"	"ENST00000009589"	"ENSG00000008988"	"RPS20"
"4"	"ENST00000012049"	"ENSG00000011478"	"QPCTL"
"5"	"ENST00000012443"	"ENSG00000011485"	"PPP5C"
"6"	"ENST00000014935"	"ENSG00000013563"	"DNASE1L1"
"7"	"ENST00000016171"	"ENSG00000014919"	"COX15"
"8"	"ENST00000019317"	"ENSG00000017797"	"RALBP1"
"9"	"ENST00000025008"	"ENSG00000023287"	"RB1CC1"
"10"	"ENST00000026218"	"ENSG00000007541"	"PIGQ"
"11"	"ENST00000040663"	"ENSG00000037757"	"MRI1"
"12"	"ENST00000044462"	"ENSG00000041357"	"PSMA4"
"13"	"ENST00000046640"	"ENSG00000040531"	"CTNS"
"14"	"ENST00000046794"	"ENSG00000043462"	"LCP2"
"15"	"ENST00000053468"	"ENSG00000048544"	"MRPS10"
"16"	"ENST00000053867"	"ENSG00000030582"	"GRN"
"17"	"ENST00000064724"	"ENSG00000013297"	"CLDN11"
"18"	"ENST00000078429"	"ENSG00000088256"	"GNA11"
"19"	"ENST00000078527"	"ENSG00000060642"	"PIGV"
"20"	"ENST00000080059"	"ENSG00000061273"	"HDAC7"
"21"	"ENST00000085068"	"ENSG00000063241"	"ISOC2"
"22"	"ENST00000155093"	"ENSG00000067646"	"ZFY"
"23"	"ENST00000156084"	"ENSG00000068308"	"OTUD5"
"24"	"ENST00000156471"	"ENSG00000021776"	"AQR"
"25"	"ENST00000157812"	"ENSG00000013275"	"PSMC4"
"26"	"ENST00000158771"	"ENSG00000072849"	"DERL2"
"27"	"ENST00000160740"	"ENSG00000079432"	"CIC"
"28"	"ENST00000162044"	"ENSG00000064545"	"TMEM161A"
"29"	"ENST00000163678"	"ENSG00000067365"	"METTL22"
"30"	"ENST00000169298"	"ENSG00000073849"	"ST6GAL1"
"31"	"ENST00000170168"	"ENSG00000079313"	"REXO1"
"32"	"ENST00000171111"	"ENSG00000079999"	"KEAP1"
"33"	"ENST00000171887"	"ENSG00000079308"	"TNS1"
"34"	"ENST00000177742"	"ENSG00000074071"	"MRPS34"
"35"	"ENST00000179259"	"ENSG00000078237"	"TIGAR"
"36"	"ENST00000180173"	"ENSG00000003987"	"MTMR7"
"37"	"ENST00000181839"	"ENSG00000065883"	"CDK13"
"38"	"ENST00000182377"	"ENSG00000064763"	"FAR2"
"39"	"ENST00000184266"	"ENSG00000065518"	"NDUFB4"
"40"	"ENST00000184956"	"ENSG00000068097"	"HEATR6"
"41"	"ENST00000187762"	"ENSG00000072954"	"TMEM38A"
"42"	"ENST00000189444"	"ENSG00000077150"	"NFKB2"
"43"	"ENST00000192788"	"ENSG00000065060"	"UHRF1BP1"
"44"	"ENST00000193322"	"ENSG00000081087"	"OSTM1"
"45"	"ENST00000193403"	"ENSG00000072110"	"ACTN1"
"46"	"ENST00000194118"	"ENSG00000081791"	"KIAA0141"
"47"	"ENST00000196061"	"ENSG00000083444"	"PLOD1"
"48"	"ENST00000196482"	"ENSG00000083812"	"ZNF324"
"49"	"ENST00000198939"	"ENSG00000085872"	"CHERP"
"50"	"ENST00000199447"	"ENSG00000086288"	"NME8"
"51"	"ENST00000199448"	"ENSG00000086289"	"EPDR1"
"52"	"ENST00000201961"	"ENSG00000197183"	"NOL4L"
"53"	"ENST00000202677"	"ENSG00000188559"	"RALGAPA2"
"54"	"ENST00000202831"	"ENSG00000089060"	"SLC8B1"
"55"	"ENST00000203556"	"ENSG00000089639"	"GMIP"
"56"	"ENST00000205135"	"ENSG00000090924"	"PLEKHG2"
"57"	"ENST00000205194"	"ENSG00000090971"	"NAT14"
"58"	"ENST00000205402"	"ENSG00000091140"	"DLD"
"59"	"ENST00000205557"	"ENSG00000091262"	"ABCC6"
"60"	"ENST00000206474"	"ENSG00000092036"	"HAUS4"
"61"	"ENST00000206595"	"ENSG00000092140"	"G2E3"
"62"	"ENST00000207549"	"ENSG00000092929"	"UNC13D"
"63"	"ENST00000207636"	"ENSG00000093010"	"COMT"
"64"	"ENST00000210227"	"ENSG00000119314"	"PTBP3"
"65"	"ENST00000211314"	"ENSG00000096092"	"TMEM14A"
"66"	"ENST00000211936"	"ENSG00000096654"	"ZNF184"
"67"	"ENST00000211998"	"ENSG00000035403"	"VCL"
"68"	"ENST00000212015"	"ENSG00000096717"	"SIRT1"
"69"	"ENST00000215061"	"ENSG00000099330"	"OCEL1"
"70"	"ENST00000215375"	"ENSG00000099624"	"ATP5D"
"71"	"ENST00000215574"	"ENSG00000099804"	"CDC34"
"72"	"ENST00000215659"	"ENSG00000188130"	"MAPK12"
"73"	"ENST00000215781"	"ENSG00000099985"	"OSM"
"74"	"ENST00000215882"	"ENSG00000100075"	"SLC25A1"
"75"	"ENST00000215906"	"ENSG00000128203"	"ASPHD2"
"76"	"ENST00000215909"	"ENSG00000100097"	"LGALS1"
"77"	"ENST00000215941"	"ENSG00000100124"	"ANKRD54"
"78"	"ENST00000216019"	"ENSG00000100201"	"DDX17"
"79"	"ENST00000216027"	"ENSG00000100209"	"HSCB"
"80"	"ENST00000216068"	"ENSG00000100246"	"DNAL4"
"81"	"ENST00000216106"	"ENSG00000100281"	"HMGXB4"
"82"	"ENST00000216115"	"ENSG00000100290"	"BIK"
"83"	"ENST00000216121"	"ENSG00000184117"	"NIPSNAP1"
"84"	"ENST00000216124"	"ENSG00000100299"	"ARSA"
"85"	"ENST00000216129"	"ENSG00000100304"	"TTLL12"
"86"	"ENST00000216160"	"ENSG00000100324"	"TAB1"
"87"	"ENST00000216187"	"ENSG00000100350"	"FOXRED2"
"88"	"ENST00000216194"	"ENSG00000239900"	"ADSL"
"89"	"ENST00000216214"	"ENSG00000100376"	"FAM118A"
"90"	"ENST00000216392"	"ENSG00000100504"	"PYGL"
"91"	"ENST00000216410"	"ENSG00000100522"	"GNPNAT1"
"92"	"ENST00000216420"	"ENSG00000100532"	"CGRRF1"
"93"	"ENST00000216468"	"ENSG00000100580"	"TMED8"
"94"	"ENST00000216471"	"ENSG00000100583"	"SAMD15"
"95"	"ENST00000216513"	"ENSG00000100625"	"SIX4"
"96"	"ENST00000216602"	"ENSG00000100711"	"ZFYVE21"
"97"	"ENST00000216605"	"ENSG00000100714"	"MTHFD1"
"98"	"ENST00000216714"	"ENSG00000100823"	"APEX1"
"99"	"ENST00000216774"	"ENSG00000100883"	"SRP54"
"100"	"ENST00000216799"	"ENSG00000100908"	"EMC9"
"101"	"ENST00000216877"	"ENSG00000132670"	"PTPRA"
"102"	"ENST00000216951"	"ENSG00000100983"	"GSS"
"103"	"ENST00000217075"	"ENSG00000101104"	"PABPC1L"
"104"	"ENST00000217315"	"ENSG00000101337"	"TM9SF4"
"105"	"ENST00000217398"	"ENSG00000101417"	"PXMP4"
"106"	"ENST00000217446"	"ENSG00000101464"	"PIGU"
"107"	"ENST00000217455"	"ENSG00000101473"	"ACOT8"
"108"	"ENST00000217515"	"ENSG00000091164"	"TXNL1"
"109"	"ENST00000217890"	"ENSG00000006756"	"ARSD"
"110"	"ENST00000217909"	"ENSG00000077713"	"SLC25A43"
"111"	"ENST00000217961"	"ENSG00000101846"	"STS"
"112"	"ENST00000217964"	"ENSG00000101849"	"TBL1X"
"113"	"ENST00000218056"	"ENSG00000101940"	"WDR13"
"114"	"ENST00000218147"	"ENSG00000085185"	"BCORL1"
"115"	"ENST00000218176"	"ENSG00000102057"	"KCND1"
"116"	"ENST00000218230"	"ENSG00000102109"	"PCSK1N"
"117"	"ENST00000219069"	"ENSG00000006194"	"ZNF263"
"118"	"ENST00000219070"	"ENSG00000087245"	"MMP2"
"119"	"ENST00000219084"	"ENSG00000177200"	"CHD9"
"120"	"ENST00000219097"	"ENSG00000091651"	"ORC6"
"121"	"ENST00000219169"	"ENSG00000102898"	"NUTF2"
"122"	"ENST00000219271"	"ENSG00000102996"	"MMP15"
"123"	"ENST00000219320"	"ENSG00000103042"	"SLC38A7"
"124"	"ENST00000219439"	"ENSG00000103160"	"HSDL1"
"125"	"ENST00000219478"	"ENSG00000103199"	"ZNF500"
"126"	"ENST00000219689"	"ENSG00000103404"	"USP31"
"127"	"ENST00000219771"	"ENSG00000103485"	"QPRT"
"128"	"ENST00000219782"	"ENSG00000103495"	"MAZ"
"129"	"ENST00000219837"	"ENSG00000103550"	"KNOP1"
"130"	"ENST00000220058"	"ENSG00000103707"	"MTFMT"
"131"	"ENST00000220478"	"ENSG00000104112"	"SCG3"
"132"	"ENST00000220496"	"ENSG00000104129"	"DNAJC17"
"133"	"ENST00000220659"	"ENSG00000104221"	"BRF2"
"134"	"ENST00000220751"	"ENSG00000104312"	"RIPK2"
"135"	"ENST00000220822"	"ENSG00000104381"	"GDAP1"
"136"	"ENST00000220888"	"ENSG00000104447"	"TRPS1"
"137"	"ENST00000221086"	"ENSG00000104643"	"MTMR9"
"138"	"ENST00000221130"	"ENSG00000104687"	"GSR"
"139"	"ENST00000221315"	"ENSG00000256087"	"ZNF432"
"140"	"ENST00000221363"	"ENSG00000104774"	"MAN2B1"
"141"	"ENST00000221452"	"ENSG00000104856"	"RELB"
"142"	"ENST00000221459"	"ENSG00000104863"	"LIN7B"
"143"	"ENST00000221494"	"ENSG00000104897"	"SF3A2"
"144"	"ENST00000221573"	"ENSG00000104976"	"SNAPC2"
"145"	"ENST00000221735"	"ENSG00000105136"	"ZNF419"
"146"	"ENST00000221770"	"ENSG00000105171"	"POP4"
"147"	"ENST00000221855"	"ENSG00000105254"	"TBCB"
"148"	"ENST00000221859"	"ENSG00000105258"	"POLR2I"
"149"	"ENST00000221922"	"ENSG00000105321"	"CCDC9"
"150"	"ENST00000221930"	"ENSG00000105329"	"TGFB1"
"151"	"ENST00000222002"	"ENSG00000105398"	"SULT2A1"
"152"	"ENST00000222032"	"ENSG00000105427"	"CNFN"
"153"	"ENST00000222120"	"ENSG00000105514"	"RAB3D"
"154"	"ENST00000222125"	"ENSG00000105519"	"CAPS"
"155"	"ENST00000222214"	"ENSG00000105607"	"GCDH"
"156"	"ENST00000222254"	"ENSG00000105647"	"PIK3R2"
"157"	"ENST00000222286"	"ENSG00000105679"	"GAPDHS"
"158"	"ENST00000222388"	"ENSG00000033050"	"ABCF2"
"159"	"ENST00000222402"	"ENSG00000078967"	"UBE2D4"
"160"	"ENST00000222553"	"ENSG00000105835"	"NAMPT"
"161"	"ENST00000222573"	"ENSG00000105855"	"ITGB8"
"162"	"ENST00000222693"	"ENSG00000105971"	"CAV2"
"163"	"ENST00000223051"	"ENSG00000106327"	"TFR2"
"164"	"ENST00000223073"	"ENSG00000106344"	"RBM28"
"165"	"ENST00000223114"	"ENSG00000106384"	"MOGAT3"
"166"	"ENST00000223129"	"ENSG00000106399"	"RPA3"
"167"	"ENST00000223208"	"ENSG00000106477"	"CEP41"
"168"	"ENST00000223321"	"ENSG00000106588"	"PSMA2"
"169"	"ENST00000223423"	"ENSG00000095303"	"PTGS1"
"170"	"ENST00000224652"	"ENSG00000107669"	"ATE1"
"171"	"ENST00000225296"	"ENSG00000005100"	"DHX33"
"172"	"ENST00000225394"	"ENSG00000108262"	"GIT1"
"173"	"ENST00000225519"	"ENSG00000197417"	"SHPK"
"174"	"ENST00000225696"	"ENSG00000108559"	"NUP88"
"175"	"ENST00000225724"	"ENSG00000108587"	"GOSR1"
"176"	"ENST00000225726"	"ENSG00000108588"	"CCDC47"
"177"	"ENST00000225729"	"ENSG00000108591"	"DRG2"
"178"	"ENST00000225792"	"ENSG00000108654"	"DDX5"
"179"	"ENST00000225916"	"ENSG00000108773"	"KAT2A"
"180"	"ENST00000225969"	"ENSG00000108826"	"MRPL27"
"181"	"ENST00000226225"	"ENSG00000109079"	"TNFAIP1"
"182"	"ENST00000226230"	"ENSG00000109084"	"TMEM97"
"183"	"ENST00000226299"	"ENSG00000002549"	"LAP3"
"184"	"ENST00000226413"	"ENSG00000109163"	"GNRHR"
"185"	"ENST00000226574"	"ENSG00000109320"	"NFKB1"
"186"	"ENST00000226796"	"ENSG00000109534"	"GAR1"
"187"	"ENST00000227471"	"ENSG00000110057"	"UNC93B1"
"188"	"ENST00000227474"	"ENSG00000110060"	"PUS3"
"189"	"ENST00000227524"	"ENSG00000110107"	"PRPF19"
"190"	"ENST00000227525"	"ENSG00000110108"	"TMEM109"
"191"	"ENST00000227868"	"ENSG00000110435"	"PDHX"
"192"	"ENST00000228264"	"ENSG00000013573"	"DDX11"
"193"	"ENST00000228289"	"ENSG00000090612"	"ZNF268"
"194"	"ENST00000228425"	"ENSG00000110841"	"PPFIBP1"
"195"	"ENST00000228437"	"ENSG00000110851"	"PRDM4"
