"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000002125"	"ENSG00000003509"	"NDUFAF7"
"2"	"ENST00000002596"	"ENSG00000002587"	"HS3ST1"
"3"	"ENST00000005259"	"ENSG00000075790"	"BCAP29"
"4"	"ENST00000005558"	"ENSG00000006652"	"IFRD1"
"5"	"ENST00000006750"	"ENSG00000007312"	"CD79B"
"6"	"ENST00000007390"	"ENSG00000007520"	"TSR3"
"7"	"ENST00000007510"	"ENSG00000004777"	"ARHGAP33"
"8"	"ENST00000007708"	"ENSG00000005882"	"PDK2"
"9"	"ENST00000007969"	"ENSG00000010626"	"LRRC23"
"10"	"ENST00000009530"	"ENSG00000019582"	"CD74"
"11"	"ENST00000011653"	"ENSG00000010610"	"CD4"
"12"	"ENST00000011700"	"ENSG00000048707"	"VPS13D"
"13"	"ENST00000013070"	"ENSG00000012963"	"UBR7"
"14"	"ENST00000013807"	"ENSG00000012061"	"ERCC1"
"15"	"ENST00000017003"	"ENSG00000015532"	"XYLT2"
"16"	"ENST00000019019"	"ENSG00000068438"	"FTSJ1"
"17"	"ENST00000028008"	"ENSG00000026297"	"RNASET2"
"18"	"ENST00000029410"	"ENSG00000027847"	"B4GALT7"
"19"	"ENST00000040877"	"ENSG00000059588"	"TARBP1"
"20"	"ENST00000052569"	"ENSG00000047932"	"GOPC"
"21"	"ENST00000054650"	"ENSG00000041988"	"THAP3"
"22"	"ENST00000054950"	"ENSG00000049449"	"RCN1"
"23"	"ENST00000055335"	"ENSG00000049769"	"PPP1R3F"
"24"	"ENST00000060969"	"ENSG00000052723"	"SIKE1"
"25"	"ENST00000066544"	"ENSG00000004897"	"CDC27"
"26"	"ENST00000072869"	"ENSG00000133597"	"ADCK2"
"27"	"ENST00000074304"	"ENSG00000040933"	"INPP4A"
"28"	"ENST00000075120"	"ENSG00000059804"	"SLC2A3"
"29"	"ENST00000082468"	"ENSG00000026950"	"BTN3A1"
"30"	"ENST00000084798"	"ENSG00000063180"	"CA11"
"31"	"ENST00000085219"	"ENSG00000012124"	"CD22"
"32"	"ENST00000155926"	"ENSG00000071575"	"TRIB2"
"33"	"ENST00000160262"	"ENSG00000076662"	"ICAM3"
"34"	"ENST00000164227"	"ENSG00000069399"	"BCL3"
"35"	"ENST00000164305"	"ENSG00000069943"	"PIGB"
"36"	"ENST00000166139"	"ENSG00000070404"	"FSTL3"
