"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000002596"	"ENSG00000002587"	"HS3ST1"
"2"	"ENST00000005374"	"ENSG00000006625"	"GGCT"
"3"	"ENST00000006750"	"ENSG00000007312"	"CD79B"
"4"	"ENST00000007414"	"ENSG00000006025"	"OSBPL7"
"5"	"ENST00000008876"	"ENSG00000008735"	"MAPK8IP2"
"6"	"ENST00000011473"	"ENSG00000008282"	"SYPL1"
"7"	"ENST00000011619"	"ENSG00000010017"	"RANBP9"
"8"	"ENST00000012134"	"ENSG00000010818"	"HIVEP2"
"9"	"ENST00000013807"	"ENSG00000012061"	"ERCC1"
"10"	"ENST00000025301"	"ENSG00000023516"	"AKAP11"
"11"	"ENST00000072644"	"ENSG00000058799"	"YIPF1"
"12"	"ENST00000080059"	"ENSG00000061273"	"HDAC7"
"13"	"ENST00000085219"	"ENSG00000012124"	"CD22"
"14"	"ENST00000155093"	"ENSG00000067646"	"ZFY"
"15"	"ENST00000155674"	"ENSG00000069998"	"CECR5"
"16"	"ENST00000155926"	"ENSG00000071575"	"TRIB2"
"17"	"ENST00000156084"	"ENSG00000068308"	"OTUD5"
"18"	"ENST00000156109"	"ENSG00000068394"	"GPKOW"
"19"	"ENST00000159647"	"ENSG00000073150"	"PANX2"
"20"	"ENST00000161559"	"ENSG00000079385"	"CEACAM1"
"21"	"ENST00000161863"	"ENSG00000047188"	"YTHDC2"
"22"	"ENST00000162391"	"ENSG00000065970"	"FOXJ2"
"23"	"ENST00000164227"	"ENSG00000069399"	"BCL3"
"24"	"ENST00000167106"	"ENSG00000071246"	"VASH1"
"25"	"ENST00000169298"	"ENSG00000073849"	"ST6GAL1"
"26"	"ENST00000173229"	"ENSG00000065320"	"NTN1"
"27"	"ENST00000173785"	"ENSG00000067082"	"KLF6"
"28"	"ENST00000179259"	"ENSG00000078237"	"TIGAR"
"29"	"ENST00000182527"	"ENSG00000065308"	"TRAM2"
"30"	"ENST00000187762"	"ENSG00000072954"	"TMEM38A"
"31"	"ENST00000196169"	"ENSG00000083544"	"TDRD3"
"32"	"ENST00000199448"	"ENSG00000086289"	"EPDR1"
"33"	"ENST00000202677"	"ENSG00000188559"	"RALGAPA2"
"34"	"ENST00000202831"	"ENSG00000089060"	"SLC8B1"
"35"	"ENST00000203001"	"ENSG00000089195"	"TRMT6"
"36"	"ENST00000204679"	"ENSG00000090581"	"GNPTG"
"37"	"ENST00000204726"	"ENSG00000090615"	"GOLGA3"
"38"	"ENST00000205061"	"ENSG00000090863"	"GLG1"
"39"	"ENST00000205135"	"ENSG00000090924"	"PLEKHG2"
"40"	"ENST00000206249"	"ENSG00000091831"	"ESR1"
"41"	"ENST00000206595"	"ENSG00000092140"	"G2E3"
"42"	"ENST00000209875"	"ENSG00000094916"	"CBX5"
"43"	"ENST00000211936"	"ENSG00000096654"	"ZNF184"
"44"	"ENST00000212015"	"ENSG00000096717"	"SIRT1"
"45"	"ENST00000214893"	"ENSG00000099219"	"ERMP1"
"46"	"ENST00000215730"	"ENSG00000099940"	"SNAP29"
"47"	"ENST00000215794"	"ENSG00000184979"	"USP18"
"48"	"ENST00000215941"	"ENSG00000100124"	"ANKRD54"
"49"	"ENST00000216019"	"ENSG00000100201"	"DDX17"
"50"	"ENST00000216044"	"ENSG00000100226"	"GTPBP1"
"51"	"ENST00000216068"	"ENSG00000100246"	"DNAL4"
"52"	"ENST00000216080"	"ENSG00000100258"	"LMF2"
"53"	"ENST00000216099"	"ENSG00000243811"	"APOBEC3D"
"54"	"ENST00000216115"	"ENSG00000100290"	"BIK"
"55"	"ENST00000216124"	"ENSG00000100299"	"ARSA"
"56"	"ENST00000216180"	"ENSG00000100344"	"PNPLA3"
"57"	"ENST00000216267"	"ENSG00000100425"	"BRD1"
"58"	"ENST00000216286"	"ENSG00000087303"	"NID2"
"59"	"ENST00000216288"	"ENSG00000075413"	"MARK3"
"60"	"ENST00000216463"	"ENSG00000100575"	"TIMM9"
"61"	"ENST00000216513"	"ENSG00000100625"	"SIX4"
"62"	"ENST00000217075"	"ENSG00000101104"	"PABPC1L"
"63"	"ENST00000217185"	"ENSG00000101213"	"PTK6"
"64"	"ENST00000217398"	"ENSG00000101417"	"PXMP4"
"65"	"ENST00000217402"	"ENSG00000101421"	"CHMP4B"
"66"	"ENST00000217740"	"ENSG00000101695"	"RNF125"
"67"	"ENST00000217800"	"ENSG00000101751"	"POLI"
"68"	"ENST00000217957"	"ENSG00000101842"	"VSIG1"
"69"	"ENST00000218004"	"ENSG00000101888"	"NXT2"
"70"	"ENST00000218104"	"ENSG00000101986"	"ABCD1"
"71"	"ENST00000218147"	"ENSG00000085185"	"BCORL1"
"72"	"ENST00000218176"	"ENSG00000102057"	"KCND1"
"73"	"ENST00000218328"	"ENSG00000086758"	"HUWE1"
"74"	"ENST00000218981"	"ENSG00000102796"	"DHRS12"
"75"	"ENST00000219150"	"ENSG00000102879"	"CORO1A"
"76"	"ENST00000219235"	"ENSG00000102962"	"CCL22"
"77"	"ENST00000219343"	"ENSG00000103064"	"SLC7A6"
"78"	"ENST00000219345"	"ENSG00000103066"	"PLA2G15"
"79"	"ENST00000219400"	"ENSG00000103121"	"CMC2"
"80"	"ENST00000219837"	"ENSG00000103550"	"KNOP1"
"81"	"ENST00000220003"	"ENSG00000103653"	"CSK"
"82"	"ENST00000220496"	"ENSG00000104129"	"DNAJC17"
"83"	"ENST00000220597"	"ENSG00000076641"	"PAG1"
"84"	"ENST00000220888"	"ENSG00000104447"	"TRPS1"
"85"	"ENST00000220931"	"ENSG00000104490"	"NCALD"
"86"	"ENST00000220959"	"ENSG00000104517"	"UBR5"
"87"	"ENST00000220966"	"ENSG00000104524"	"PYCRL"
"88"	"ENST00000221130"	"ENSG00000104687"	"GSR"
"89"	"ENST00000221444"	"ENSG00000104848"	"KCNA7"
"90"	"ENST00000221448"	"ENSG00000104852"	"SNRNP70"
"91"	"ENST00000221494"	"ENSG00000104897"	"SF3A2"
"92"	"ENST00000221561"	"ENSG00000104964"	"AES"
"93"	"ENST00000221573"	"ENSG00000104976"	"SNAPC2"
"94"	"ENST00000221671"	"ENSG00000105072"	"C19orf44"
"95"	"ENST00000221922"	"ENSG00000105321"	"CCDC9"
"96"	"ENST00000221930"	"ENSG00000105329"	"TGFB1"
"97"	"ENST00000221972"	"ENSG00000105369"	"CD79A"
"98"	"ENST00000221978"	"ENSG00000105374"	"NKG7"
"99"	"ENST00000222250"	"ENSG00000105643"	"ARRDC2"
"100"	"ENST00000222345"	"ENSG00000105738"	"SIPA1L3"
"101"	"ENST00000222390"	"ENSG00000019991"	"HGF"
"102"	"ENST00000222726"	"ENSG00000106004"	"HOXA5"
"103"	"ENST00000222728"	"ENSG00000106006"	"HOXA6"
"104"	"ENST00000222990"	"ENSG00000106266"	"SNX8"
"105"	"ENST00000223076"	"ENSG00000184414"	"IRS3P"
"106"	"ENST00000223084"	"ENSG00000106355"	"LSM5"
"107"	"ENST00000223114"	"ENSG00000106384"	"MOGAT3"
"108"	"ENST00000223190"	"ENSG00000106459"	"NRF1"
"109"	"ENST00000223210"	"ENSG00000106479"	"ZNF862"
"110"	"ENST00000223459"	"ENSG00000229809"	"ZNF688"
"111"	"ENST00000223791"	"ENSG00000106948"	"AKNA"
"112"	"ENST00000224337"	"ENSG00000095585"	"BLNK"
"113"	"ENST00000225171"	"ENSG00000108176"	"DNAJC12"
"114"	"ENST00000225728"	"ENSG00000108590"	"MED31"
"115"	"ENST00000225805"	"ENSG00000108666"	"C17orf75"
"116"	"ENST00000226279"	"ENSG00000004468"	"CD38"
"117"	"ENST00000226299"	"ENSG00000002549"	"LAP3"
"118"	"ENST00000226328"	"ENSG00000018189"	"RUFY3"
"119"	"ENST00000226951"	"ENSG00000109684"	"CLNK"
"120"	"ENST00000227451"	"ENSG00000110042"	"DTX4"
"121"	"ENST00000227471"	"ENSG00000110057"	"UNC93B1"
"122"	"ENST00000227524"	"ENSG00000110107"	"PRPF19"
"123"	"ENST00000227752"	"ENSG00000110324"	"IL10RA"
"124"	"ENST00000228264"	"ENSG00000013573"	"DDX11"
"125"	"ENST00000228345"	"ENSG00000002016"	"RAD52"
"126"	"ENST00000228463"	"ENSG00000110876"	"SELPLG"
"127"	"ENST00000228741"	"ENSG00000111145"	"ELK3"
"128"	"ENST00000228799"	"ENSG00000111203"	"ITFG2"
"129"	"ENST00000228820"	"ENSG00000111224"	"PARP11"
"130"	"ENST00000228872"	"ENSG00000111276"	"CDKN1B"
"131"	"ENST00000228928"	"ENSG00000111331"	"OAS3"
"132"	"ENST00000229179"	"ENSG00000111581"	"NUP107"
"133"	"ENST00000229332"	"ENSG00000111729"	"CLEC4A"
"134"	"ENST00000229340"	"ENSG00000111737"	"RAB35"
"135"	"ENST00000229402"	"ENSG00000111796"	"KLRB1"
"136"	"ENST00000229471"	"ENSG00000010810"	"FYN"
"137"	"ENST00000229903"	"ENSG00000112167"	"SAYSD1"
"138"	"ENST00000230568"	"ENSG00000112799"	"LY86"
"139"	"ENST00000230859"	"ENSG00000112941"	"PAPD7"
"140"	"ENST00000230901"	"ENSG00000112983"	"BRD8"
"141"	"ENST00000231188"	"ENSG00000113262"	"GRM6"
"142"	"ENST00000231498"	"ENSG00000113569"	"NUP155"
"143"	"ENST00000231509"	"ENSG00000113580"	"NR3C1"
"144"	"ENST00000231668"	"ENSG00000113734"	"BNIP1"
"145"	"ENST00000231706"	"ENSG00000013293"	"SLC7A14"
"146"	"ENST00000232564"	"ENSG00000114450"	"GNB4"
"147"	"ENST00000232766"	"ENSG00000114648"	"KLHL18"
"148"	"ENST00000233025"	"ENSG00000114902"	"SPCS1"
"149"	"ENST00000233047"	"ENSG00000011638"	"TMEM159"
"150"	"ENST00000233545"	"ENSG00000115204"	"MPV17"
"151"	"ENST00000233573"	"ENSG00000115232"	"ITGA4"
"152"	"ENST00000233596"	"ENSG00000115255"	"REEP6"
"153"	"ENST00000233627"	"ENSG00000115286"	"NDUFS7"
"154"	"ENST00000233836"	"ENSG00000225569"	"CCT4P2"
"155"	"ENST00000233838"	"ENSG00000115486"	"GGCX"
"156"	"ENST00000233892"	"ENSG00000115540"	"MOB4"
"157"	"ENST00000234296"	"ENSG00000115942"	"ORC2"
"158"	"ENST00000234420"	"ENSG00000116062"	"MSH6"
"159"	"ENST00000234668"	"ENSG00000097096"	"SYDE2"
"160"	"ENST00000234816"	"ENSG00000116194"	"ANGPTL1"
"161"	"ENST00000234831"	"ENSG00000116209"	"TMEM59"
"162"	"ENST00000234961"	"ENSG00000116329"	"OPRD1"
"163"	"ENST00000235150"	"ENSG00000116514"	"RNF19B"
"164"	"ENST00000235345"	"ENSG00000116704"	"SLC35D1"
"165"	"ENST00000235382"	"ENSG00000116741"	"RGS2"
