"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000001008"	"ENSG00000004478"	"FKBP4"
"2"	"ENST00000002165"	"ENSG00000001036"	"FUCA2"
"3"	"ENST00000003100"	"ENSG00000001630"	"CYP51A1"
"4"	"ENST00000003912"	"ENSG00000001461"	"NIPAL3"
"5"	"ENST00000005082"	"ENSG00000005801"	"ZNF195"
"6"	"ENST00000005259"	"ENSG00000075790"	"BCAP29"
"7"	"ENST00000005386"	"ENSG00000005175"	"RPAP3"
"8"	"ENST00000005558"	"ENSG00000006652"	"IFRD1"
"9"	"ENST00000006053"	"ENSG00000006210"	"CX3CL1"
"10"	"ENST00000006658"	"ENSG00000006282"	"SPATA20"
"11"	"ENST00000006777"	"ENSG00000005486"	"RHBDD2"
"12"	"ENST00000007510"	"ENSG00000004777"	"ARHGAP33"
"13"	"ENST00000007708"	"ENSG00000005882"	"PDK2"
"14"	"ENST00000009589"	"ENSG00000008988"	"RPS20"
"15"	"ENST00000010404"	"ENSG00000008394"	"MGST1"
"16"	"ENST00000011700"	"ENSG00000048707"	"VPS13D"
"17"	"ENST00000012049"	"ENSG00000011478"	"QPCTL"
"18"	"ENST00000012443"	"ENSG00000011485"	"PPP5C"
"19"	"ENST00000014914"	"ENSG00000013588"	"GPRC5A"
"20"	"ENST00000014930"	"ENSG00000013583"	"HEBP1"
"21"	"ENST00000016946"	"ENSG00000015568"	"RGPD5"
"22"	"ENST00000017003"	"ENSG00000015532"	"XYLT2"
"23"	"ENST00000019019"	"ENSG00000068438"	"FTSJ1"
"24"	"ENST00000019317"	"ENSG00000017797"	"RALBP1"
"25"	"ENST00000025399"	"ENSG00000023734"	"STRAP"
"26"	"ENST00000031146"	"ENSG00000029364"	"SLC39A9"
"27"	"ENST00000037869"	"ENSG00000035141"	"FAM136A"
"28"	"ENST00000038176"	"ENSG00000035681"	"NSMAF"
"29"	"ENST00000042381"	"ENSG00000039523"	"FAM65A"
"30"	"ENST00000045083"	"ENSG00000042062"	"FAM65C"
"31"	"ENST00000045347"	"ENSG00000042317"	"SPATA7"
"32"	"ENST00000046640"	"ENSG00000040531"	"CTNS"
"33"	"ENST00000046794"	"ENSG00000043462"	"LCP2"
"34"	"ENST00000053867"	"ENSG00000030582"	"GRN"
"35"	"ENST00000054666"	"ENSG00000049245"	"VAMP3"
"36"	"ENST00000054950"	"ENSG00000049449"	"RCN1"
"37"	"ENST00000055077"	"ENSG00000049541"	"RFC2"
"38"	"ENST00000055335"	"ENSG00000049769"	"PPP1R3F"
"39"	"ENST00000056233"	"ENSG00000050344"	"NFE2L3"
"40"	"ENST00000064780"	"ENSG00000054967"	"RELT"
"41"	"ENST00000072869"	"ENSG00000133597"	"ADCK2"
"42"	"ENST00000075120"	"ENSG00000059804"	"SLC2A3"
"43"	"ENST00000075322"	"ENSG00000136960"	"ENPP2"
"44"	"ENST00000078429"	"ENSG00000088256"	"GNA11"
"45"	"ENST00000078527"	"ENSG00000060642"	"PIGV"
"46"	"ENST00000081029"	"ENSG00000061794"	"MRPS35"
"47"	"ENST00000084795"	"ENSG00000063177"	"RPL18"
"48"	"ENST00000084798"	"ENSG00000063180"	"CA11"
"49"	"ENST00000085068"	"ENSG00000063241"	"ISOC2"
"50"	"ENST00000085079"	"ENSG00000063245"	"EPN1"
"51"	"ENST00000155840"	"ENSG00000053918"	"KCNQ1"
"52"	"ENST00000157812"	"ENSG00000013275"	"PSMC4"
"53"	"ENST00000158771"	"ENSG00000072849"	"DERL2"
"54"	"ENST00000160262"	"ENSG00000076662"	"ICAM3"
"55"	"ENST00000160740"	"ENSG00000079432"	"CIC"
"56"	"ENST00000160827"	"ENSG00000079616"	"KIF22"
"57"	"ENST00000162044"	"ENSG00000064545"	"TMEM161A"
"58"	"ENST00000162749"	"ENSG00000067182"	"TNFRSF1A"
"59"	"ENST00000163416"	"ENSG00000066455"	"GOLGA5"
"60"	"ENST00000164133"	"ENSG00000068971"	"PPP2R5B"
"61"	"ENST00000166139"	"ENSG00000070404"	"FSTL3"
"62"	"ENST00000166345"	"ENSG00000071539"	"TRIP13"
"63"	"ENST00000167218"	"ENSG00000071994"	"PDCD2"
"64"	"ENST00000168216"	"ENSG00000072506"	"HSD17B10"
"65"	"ENST00000170447"	"ENSG00000075975"	"MKRN2"
"66"	"ENST00000170630"	"ENSG00000077238"	"IL4R"
"67"	"ENST00000171111"	"ENSG00000079999"	"KEAP1"
"68"	"ENST00000171887"	"ENSG00000079308"	"TNS1"
"69"	"ENST00000173527"	"ENSG00000066583"	"ISOC1"
"70"	"ENST00000173898"	"ENSG00000067445"	"TRO"
"71"	"ENST00000175091"	"ENSG00000068697"	"LAPTM4A"
"72"	"ENST00000177742"	"ENSG00000074071"	"MRPS34"
"73"	"ENST00000178640"	"ENSG00000137764"	"MAP2K5"
"74"	"ENST00000180173"	"ENSG00000003987"	"MTMR7"
"75"	"ENST00000182377"	"ENSG00000064763"	"FAR2"
"76"	"ENST00000184266"	"ENSG00000065518"	"NDUFB4"
"77"	"ENST00000185150"	"ENSG00000068912"	"ERLEC1"
"78"	"ENST00000187830"	"ENSG00000073008"	"PVR"
"79"	"ENST00000187879"	"ENSG00000159885"	"ZNF222"
"80"	"ENST00000189444"	"ENSG00000077150"	"NFKB2"
"81"	"ENST00000191018"	"ENSG00000064601"	"CTSA"
"82"	"ENST00000193322"	"ENSG00000081087"	"OSTM1"
"83"	"ENST00000193403"	"ENSG00000072110"	"ACTN1"
"84"	"ENST00000194118"	"ENSG00000081791"	"KIAA0141"
"85"	"ENST00000196061"	"ENSG00000083444"	"PLOD1"
"86"	"ENST00000196482"	"ENSG00000083812"	"ZNF324"
"87"	"ENST00000196551"	"ENSG00000083845"	"RPS5"
"88"	"ENST00000198767"	"ENSG00000085721"	"RRN3"
"89"	"ENST00000199389"	"ENSG00000086232"	"EIF2AK1"
"90"	"ENST00000199447"	"ENSG00000086288"	"NME8"
"91"	"ENST00000199708"	"ENSG00000086506"	"HBQ1"
"92"	"ENST00000200135"	"ENSG00000086827"	"ZW10"
"93"	"ENST00000200457"	"ENSG00000087077"	"TRIP6"
"94"	"ENST00000200639"	"ENSG00000005893"	"LAMP2"
"95"	"ENST00000201961"	"ENSG00000197183"	"NOL4L"
"96"	"ENST00000202773"	"ENSG00000089009"	"RPL6"
"97"	"ENST00000203166"	"ENSG00000249115"	"HAUS5"
"98"	"ENST00000203407"	"ENSG00000010256"	"UQCRC1"
"99"	"ENST00000203556"	"ENSG00000089639"	"GMIP"
"100"	"ENST00000203629"	"ENSG00000089692"	"LAG3"
"101"	"ENST00000203630"	"ENSG00000089693"	"MLF2"
"102"	"ENST00000204549"	"ENSG00000090470"	"PDCD7"
"103"	"ENST00000204566"	"ENSG00000090487"	"SPG21"
"104"	"ENST00000204961"	"ENSG00000090776"	"EFNB1"
"105"	"ENST00000206474"	"ENSG00000092036"	"HAUS4"
"106"	"ENST00000207549"	"ENSG00000092929"	"UNC13D"
"107"	"ENST00000207636"	"ENSG00000093010"	"COMT"
"108"	"ENST00000209728"	"ENSG00000094804"	"CDC6"
"109"	"ENST00000210227"	"ENSG00000119314"	"PTBP3"
"110"	"ENST00000210313"	"ENSG00000095261"	"PSMD5"
"111"	"ENST00000210444"	"ENSG00000095380"	"NANS"
"112"	"ENST00000211314"	"ENSG00000096092"	"TMEM14A"
"113"	"ENST00000211998"	"ENSG00000035403"	"VCL"
"114"	"ENST00000214869"	"ENSG00000099203"	"TMED1"
"115"	"ENST00000215061"	"ENSG00000099330"	"OCEL1"
"116"	"ENST00000215531"	"ENSG00000095932"	"SMIM24"
"117"	"ENST00000215555"	"ENSG00000099785"	"MARCH2"
"118"	"ENST00000215567"	"ENSG00000099797"	"TECR"
"119"	"ENST00000215574"	"ENSG00000099804"	"CDC34"
"120"	"ENST00000215587"	"ENSG00000099817"	"POLR2E"
"121"	"ENST00000215659"	"ENSG00000188130"	"MAPK12"
"122"	"ENST00000215739"	"ENSG00000099949"	"LZTR1"
"123"	"ENST00000215742"	"ENSG00000184436"	"THAP7"
"124"	"ENST00000215754"	"ENSG00000240972"	"MIF"
"125"	"ENST00000215838"	"ENSG00000185339"	"TCN2"
"126"	"ENST00000215862"	"ENSG00000133422"	"MORC2"
"127"	"ENST00000215882"	"ENSG00000100075"	"SLC25A1"
"128"	"ENST00000215909"	"ENSG00000100097"	"LGALS1"
"129"	"ENST00000215912"	"ENSG00000100100"	"PIK3IP1"
"130"	"ENST00000215919"	"ENSG00000100105"	"PATZ1"
"131"	"ENST00000216014"	"ENSG00000100196"	"KDELR3"
"132"	"ENST00000216027"	"ENSG00000100209"	"HSCB"
"133"	"ENST00000216029"	"ENSG00000100211"	"CBY1"
"134"	"ENST00000216037"	"ENSG00000100219"	"XBP1"
"135"	"ENST00000216121"	"ENSG00000184117"	"NIPSNAP1"
"136"	"ENST00000216122"	"ENSG00000100297"	"MCM5"
