"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000412"	"ENSG00000003056"	"M6PR"
"2"	"ENST00000005340"	"ENSG00000004975"	"DVL2"
"3"	"ENST00000005386"	"ENSG00000005175"	"RPAP3"
"4"	"ENST00000006750"	"ENSG00000007312"	"CD79B"
"5"	"ENST00000008876"	"ENSG00000008735"	"MAPK8IP2"
"6"	"ENST00000010404"	"ENSG00000008394"	"MGST1"
"7"	"ENST00000011473"	"ENSG00000008282"	"SYPL1"
"8"	"ENST00000011653"	"ENSG00000010610"	"CD4"
"9"	"ENST00000013222"	"ENSG00000241644"	"INMT"
"10"	"ENST00000014935"	"ENSG00000013563"	"DNASE1L1"
"11"	"ENST00000025008"	"ENSG00000023287"	"RB1CC1"
"12"	"ENST00000078527"	"ENSG00000060642"	"PIGV"
"13"	"ENST00000080059"	"ENSG00000061273"	"HDAC7"
"14"	"ENST00000155926"	"ENSG00000071575"	"TRIB2"
"15"	"ENST00000156084"	"ENSG00000068308"	"OTUD5"
"16"	"ENST00000156109"	"ENSG00000068394"	"GPKOW"
"17"	"ENST00000156471"	"ENSG00000021776"	"AQR"
"18"	"ENST00000159647"	"ENSG00000073150"	"PANX2"
"19"	"ENST00000160740"	"ENSG00000079432"	"CIC"
"20"	"ENST00000162391"	"ENSG00000065970"	"FOXJ2"
"21"	"ENST00000167106"	"ENSG00000071246"	"VASH1"
"22"	"ENST00000170168"	"ENSG00000079313"	"REXO1"
"23"	"ENST00000170564"	"ENSG00000076650"	"GPATCH1"
"24"	"ENST00000173229"	"ENSG00000065320"	"NTN1"
"25"	"ENST00000174618"	"ENSG00000070444"	"MNT"
"26"	"ENST00000175756"	"ENSG00000072135"	"PTPN18"
"27"	"ENST00000179259"	"ENSG00000078237"	"TIGAR"
"28"	"ENST00000180173"	"ENSG00000003987"	"MTMR7"
"29"	"ENST00000182527"	"ENSG00000065308"	"TRAM2"
"30"	"ENST00000184266"	"ENSG00000065518"	"NDUFB4"
"31"	"ENST00000187762"	"ENSG00000072954"	"TMEM38A"
"32"	"ENST00000194214"	"ENSG00000081870"	"HSPB11"
"33"	"ENST00000194530"	"ENSG00000082146"	"STRADB"
"34"	"ENST00000196169"	"ENSG00000083544"	"TDRD3"
"35"	"ENST00000197268"	"ENSG00000084444"	"FAM234B"
"36"	"ENST00000198939"	"ENSG00000085872"	"CHERP"
"37"	"ENST00000199447"	"ENSG00000086288"	"NME8"
"38"	"ENST00000201961"	"ENSG00000197183"	"NOL4L"
"39"	"ENST00000203001"	"ENSG00000089195"	"TRMT6"
"40"	"ENST00000205194"	"ENSG00000090971"	"NAT14"
"41"	"ENST00000205214"	"ENSG00000157426"	"AASDH"
"42"	"ENST00000205402"	"ENSG00000091140"	"DLD"
"43"	"ENST00000205557"	"ENSG00000091262"	"ABCC6"
"44"	"ENST00000206020"	"ENSG00000091640"	"SPAG7"
"45"	"ENST00000206595"	"ENSG00000092140"	"G2E3"
"46"	"ENST00000207636"	"ENSG00000093010"	"COMT"
"47"	"ENST00000211936"	"ENSG00000096654"	"ZNF184"
"48"	"ENST00000212015"	"ENSG00000096717"	"SIRT1"
"49"	"ENST00000215906"	"ENSG00000128203"	"ASPHD2"
"50"	"ENST00000216068"	"ENSG00000100246"	"DNAL4"
"51"	"ENST00000216106"	"ENSG00000100281"	"HMGXB4"
"52"	"ENST00000216115"	"ENSG00000100290"	"BIK"
"53"	"ENST00000216129"	"ENSG00000100304"	"TTLL12"
"54"	"ENST00000216180"	"ENSG00000100344"	"PNPLA3"
"55"	"ENST00000216336"	"ENSG00000100448"	"CTSG"
"56"	"ENST00000216410"	"ENSG00000100522"	"GNPNAT1"
"57"	"ENST00000216420"	"ENSG00000100532"	"CGRRF1"
"58"	"ENST00000216471"	"ENSG00000100583"	"SAMD15"
"59"	"ENST00000216487"	"ENSG00000100599"	"RIN3"
"60"	"ENST00000216513"	"ENSG00000100625"	"SIX4"
"61"	"ENST00000216517"	"ENSG00000100629"	"CEP128"
"62"	"ENST00000216568"	"ENSG00000100678"	"SLC8A3"
"63"	"ENST00000216605"	"ENSG00000100714"	"MTHFD1"
"64"	"ENST00000216780"	"ENSG00000100889"	"PCK2"
"65"	"ENST00000216877"	"ENSG00000132670"	"PTPRA"
"66"	"ENST00000217075"	"ENSG00000101104"	"PABPC1L"
"67"	"ENST00000217185"	"ENSG00000101213"	"PTK6"
"68"	"ENST00000217381"	"ENSG00000101400"	"SNTA1"
"69"	"ENST00000217398"	"ENSG00000101417"	"PXMP4"
"70"	"ENST00000217957"	"ENSG00000101842"	"VSIG1"
"71"	"ENST00000217964"	"ENSG00000101849"	"TBL1X"
"72"	"ENST00000218147"	"ENSG00000085185"	"BCORL1"
"73"	"ENST00000218176"	"ENSG00000102057"	"KCND1"
"74"	"ENST00000218328"	"ENSG00000086758"	"HUWE1"
"75"	"ENST00000219097"	"ENSG00000091651"	"ORC6"
"76"	"ENST00000219168"	"ENSG00000102897"	"LYRM1"
"77"	"ENST00000219235"	"ENSG00000102962"	"CCL22"
"78"	"ENST00000219320"	"ENSG00000103042"	"SLC38A7"
"79"	"ENST00000219400"	"ENSG00000103121"	"CMC2"
"80"	"ENST00000219478"	"ENSG00000103199"	"ZNF500"
"81"	"ENST00000219789"	"ENSG00000103502"	"CDIPT"
"82"	"ENST00000219837"	"ENSG00000103550"	"KNOP1"
"83"	"ENST00000220058"	"ENSG00000103707"	"MTFMT"
"84"	"ENST00000220478"	"ENSG00000104112"	"SCG3"
"85"	"ENST00000220496"	"ENSG00000104129"	"DNAJC17"
"86"	"ENST00000220531"	"ENSG00000104164"	"BLOC1S6"
"87"	"ENST00000220822"	"ENSG00000104381"	"GDAP1"
"88"	"ENST00000220888"	"ENSG00000104447"	"TRPS1"
"89"	"ENST00000221130"	"ENSG00000104687"	"GSR"
"90"	"ENST00000221419"	"ENSG00000104824"	"HNRNPL"
"91"	"ENST00000221444"	"ENSG00000104848"	"KCNA7"
"92"	"ENST00000221448"	"ENSG00000104852"	"SNRNP70"
"93"	"ENST00000221466"	"ENSG00000104870"	"FCGRT"
"94"	"ENST00000221494"	"ENSG00000104897"	"SF3A2"
"95"	"ENST00000221561"	"ENSG00000104964"	"AES"
"96"	"ENST00000221700"	"ENSG00000186115"	"CYP4F2"
"97"	"ENST00000221735"	"ENSG00000105136"	"ZNF419"
"98"	"ENST00000221770"	"ENSG00000105171"	"POP4"
"99"	"ENST00000221818"	"ENSG00000105219"	"CNTD2"
"100"	"ENST00000221855"	"ENSG00000105254"	"TBCB"
"101"	"ENST00000221922"	"ENSG00000105321"	"CCDC9"
"102"	"ENST00000221957"	"ENSG00000105355"	"PLIN3"
"103"	"ENST00000221978"	"ENSG00000105374"	"NKG7"
"104"	"ENST00000221996"	"ENSG00000105392"	"CRX"
"105"	"ENST00000222002"	"ENSG00000105398"	"SULT2A1"
"106"	"ENST00000222032"	"ENSG00000105427"	"CNFN"
"107"	"ENST00000222120"	"ENSG00000105514"	"RAB3D"
"108"	"ENST00000222248"	"ENSG00000105641"	"SLC5A5"
"109"	"ENST00000222250"	"ENSG00000105643"	"ARRDC2"
"110"	"ENST00000222390"	"ENSG00000019991"	"HGF"
"111"	"ENST00000222547"	"ENSG00000105829"	"BET1"
"112"	"ENST00000222803"	"ENSG00000106080"	"FKBP14"
"113"	"ENST00000222990"	"ENSG00000106266"	"SNX8"
"114"	"ENST00000223073"	"ENSG00000106344"	"RBM28"
"115"	"ENST00000223076"	"ENSG00000184414"	"IRS3P"
"116"	"ENST00000223114"	"ENSG00000106384"	"MOGAT3"
"117"	"ENST00000223145"	"ENSG00000106415"	"GLCCI1"
"118"	"ENST00000223528"	"ENSG00000106692"	"FKTN"
"119"	"ENST00000224652"	"ENSG00000107669"	"ATE1"
"120"	"ENST00000225171"	"ENSG00000108176"	"DNAJC12"
"121"	"ENST00000225275"	"ENSG00000005381"	"MPO"
"122"	"ENST00000225296"	"ENSG00000005100"	"DHX33"
"123"	"ENST00000225728"	"ENSG00000108590"	"MED31"
"124"	"ENST00000225792"	"ENSG00000108654"	"DDX5"
"125"	"ENST00000225805"	"ENSG00000108666"	"C17orf75"
"126"	"ENST00000226230"	"ENSG00000109084"	"TMEM97"
"127"	"ENST00000226279"	"ENSG00000004468"	"CD38"
"128"	"ENST00000226299"	"ENSG00000002549"	"LAP3"
"129"	"ENST00000226413"	"ENSG00000109163"	"GNRHR"
"130"	"ENST00000226522"	"ENSG00000109270"	"LAMTOR3"
"131"	"ENST00000227155"	"ENSG00000085117"	"CD82"
"132"	"ENST00000227471"	"ENSG00000110057"	"UNC93B1"
"133"	"ENST00000227524"	"ENSG00000110107"	"PRPF19"
"134"	"ENST00000228463"	"ENSG00000110876"	"SELPLG"
"135"	"ENST00000228820"	"ENSG00000111224"	"PARP11"
"136"	"ENST00000228872"	"ENSG00000111276"	"CDKN1B"
"137"	"ENST00000229402"	"ENSG00000111796"	"KLRB1"
"138"	"ENST00000229405"	"ENSG00000065029"	"ZNF76"
"139"	"ENST00000229416"	"ENSG00000001084"	"GCLC"
"140"	"ENST00000229903"	"ENSG00000112167"	"SAYSD1"
"141"	"ENST00000229955"	"ENSG00000112218"	"GPR63"
"142"	"ENST00000230048"	"ENSG00000112304"	"ACOT13"
"143"	"ENST00000230565"	"ENSG00000112796"	"ENPP5"
"144"	"ENST00000230859"	"ENSG00000112941"	"PAPD7"
"145"	"ENST00000231188"	"ENSG00000113262"	"GRM6"
"146"	"ENST00000231338"	"ENSG00000082196"	"C1QTNF3"
"147"	"ENST00000231368"	"ENSG00000113441"	"LNPEP"
"148"	"ENST00000231498"	"ENSG00000113569"	"NUP155"
"149"	"ENST00000231668"	"ENSG00000113734"	"BNIP1"
"150"	"ENST00000231706"	"ENSG00000013293"	"SLC7A14"
"151"	"ENST00000231749"	"ENSG00000004838"	"ZMYND10"
"152"	"ENST00000231948"	"ENSG00000113851"	"CRBN"
"153"	"ENST00000232165"	"ENSG00000114062"	"UBE3A"
"154"	"ENST00000232501"	"ENSG00000114388"	"NPRL2"
"155"	"ENST00000232508"	"ENSG00000114395"	"CYB561D2"
"156"	"ENST00000232519"	"ENSG00000114405"	"C3orf14"
"157"	"ENST00000233025"	"ENSG00000114902"	"SPCS1"
"158"	"ENST00000233047"	"ENSG00000011638"	"TMEM159"
"159"	"ENST00000233092"	"ENSG00000079150"	"FKBP7"
"160"	"ENST00000233190"	"ENSG00000023228"	"NDUFS1"
"161"	"ENST00000233336"	"ENSG00000114999"	"TTL"
"162"	"ENST00000233379"	"ENSG00000115042"	"FAHD2A"
"163"	"ENST00000233557"	"ENSG00000115216"	"NRBP1"
"164"	"ENST00000233741"	"ENSG00000115392"	"FANCL"
"165"	"ENST00000233836"	"ENSG00000225569"	"CCT4P2"
"166"	"ENST00000233838"	"ENSG00000115486"	"GGCX"
"167"	"ENST00000233893"	"ENSG00000115541"	"HSPE1"
"168"	"ENST00000234038"	"ENSG00000115685"	"PPP1R7"
"169"	"ENST00000234296"	"ENSG00000115942"	"ORC2"
"170"	"ENST00000234420"	"ENSG00000116062"	"MSH6"
"171"	"ENST00000234668"	"ENSG00000097096"	"SYDE2"
"172"	"ENST00000234739"	"ENSG00000116128"	"BCL9"
"173"	"ENST00000234816"	"ENSG00000116194"	"ANGPTL1"
"174"	"ENST00000234961"	"ENSG00000116329"	"OPRD1"
"175"	"ENST00000235345"	"ENSG00000116704"	"SLC35D1"
"176"	"ENST00000237177"	"ENSG00000118412"	"CASP8AP2"
"177"	"ENST00000237612"	"ENSG00000118777"	"ABCG2"
"178"	"ENST00000237822"	"ENSG00000118961"	"LDAH"
"179"	"ENST00000238341"	"ENSG00000119397"	"CNTRL"
"180"	"ENST00000238561"	"ENSG00000063761"	"ADCK1"
"181"	"ENST00000238618"	"ENSG00000119640"	"ACYP1"
"182"	"ENST00000238936"	"ENSG00000138111"	"MFSD13A"
"183"	"ENST00000239614"	"ENSG00000120458"	"MSANTD2"
"184"	"ENST00000239859"	"ENSG00000242715"	"CCDC169"
"185"	"ENST00000240055"	"ENSG00000120837"	"NFYB"
"186"	"ENST00000240093"	"ENSG00000104290"	"FZD3"
"187"	"ENST00000240159"	"ENSG00000120925"	"RNF170"
"188"	"ENST00000240185"	"ENSG00000120948"	"TARDBP"
"189"	"ENST00000240285"	"ENSG00000121039"	"RDH10"
"190"	"ENST00000240651"	"ENSG00000121350"	"PYROXD1"
"191"	"ENST00000240652"	"ENSG00000121351"	"IAPP"
"192"	"ENST00000241014"	"ENSG00000121653"	"MAPK8IP1"
"193"	"ENST00000241041"	"ENSG00000121680"	"PEX16"
"194"	"ENST00000241391"	"ENSG00000121964"	"GTDC1"
