"ensembl_transcript_id"	"ensembl_gene_id"	"hgnc_symbol"
"1"	"ENST00000000233"	"ENSG00000004059"	"ARF5"
"2"	"ENST00000002125"	"ENSG00000003509"	"NDUFAF7"
"3"	"ENST00000003302"	"ENSG00000048028"	"USP28"
"4"	"ENST00000005082"	"ENSG00000005801"	"ZNF195"
"5"	"ENST00000005259"	"ENSG00000075790"	"BCAP29"
"6"	"ENST00000005340"	"ENSG00000004975"	"DVL2"
"7"	"ENST00000005374"	"ENSG00000006625"	"GGCT"
"8"	"ENST00000005386"	"ENSG00000005175"	"RPAP3"
"9"	"ENST00000006053"	"ENSG00000006210"	"CX3CL1"
"10"	"ENST00000006275"	"ENSG00000007255"	"TRAPPC6A"
"11"	"ENST00000006777"	"ENSG00000005486"	"RHBDD2"
"12"	"ENST00000007264"	"ENSG00000007376"	"RPUSD1"
"13"	"ENST00000007516"	"ENSG00000004779"	"NDUFAB1"
"14"	"ENST00000007708"	"ENSG00000005882"	"PDK2"
"15"	"ENST00000008876"	"ENSG00000008735"	"MAPK8IP2"
"16"	"ENST00000009180"	"ENSG00000010278"	"CD9"
"17"	"ENST00000010404"	"ENSG00000008394"	"MGST1"
"18"	"ENST00000011619"	"ENSG00000010017"	"RANBP9"
"19"	"ENST00000011700"	"ENSG00000048707"	"VPS13D"
"20"	"ENST00000013807"	"ENSG00000012061"	"ERCC1"
"21"	"ENST00000014930"	"ENSG00000013583"	"HEBP1"
"22"	"ENST00000016171"	"ENSG00000014919"	"COX15"
"23"	"ENST00000016946"	"ENSG00000015568"	"RGPD5"
"24"	"ENST00000019317"	"ENSG00000017797"	"RALBP1"
"25"	"ENST00000025008"	"ENSG00000023287"	"RB1CC1"
"26"	"ENST00000025301"	"ENSG00000023516"	"AKAP11"
"27"	"ENST00000033079"	"ENSG00000031003"	"FAM13B"
"28"	"ENST00000039989"	"ENSG00000052841"	"TTC17"
"29"	"ENST00000045347"	"ENSG00000042317"	"SPATA7"
"30"	"ENST00000046794"	"ENSG00000043462"	"LCP2"
"31"	"ENST00000052569"	"ENSG00000047932"	"GOPC"
"32"	"ENST00000055077"	"ENSG00000049541"	"RFC2"
"33"	"ENST00000056217"	"ENSG00000050327"	"ARHGEF5"
"34"	"ENST00000066544"	"ENSG00000004897"	"CDC27"
"35"	"ENST00000078527"	"ENSG00000060642"	"PIGV"
"36"	"ENST00000083182"	"ENSG00000062725"	"APPBP2"
"37"	"ENST00000084795"	"ENSG00000063177"	"RPL18"
"38"	"ENST00000085068"	"ENSG00000063241"	"ISOC2"
"39"	"ENST00000155674"	"ENSG00000069998"	"HDHD5"
"40"	"ENST00000156084"	"ENSG00000068308"	"OTUD5"
"41"	"ENST00000156825"	"ENSG00000071655"	"MBD3"
"42"	"ENST00000158762"	"ENSG00000072818"	"ACAP1"
"43"	"ENST00000159111"	"ENSG00000127663"	"KDM4B"
"44"	"ENST00000161559"	"ENSG00000079385"	"CEACAM1"
"45"	"ENST00000161863"	"ENSG00000047188"	"YTHDC2"
"46"	"ENST00000162749"	"ENSG00000067182"	"TNFRSF1A"
"47"	"ENST00000164227"	"ENSG00000069399"	"BCL3"
"48"	"ENST00000164305"	"ENSG00000069943"	"PIGB"
"49"	"ENST00000167218"	"ENSG00000071994"	"PDCD2"
"50"	"ENST00000168216"	"ENSG00000072506"	"HSD17B10"
"51"	"ENST00000169298"	"ENSG00000073849"	"ST6GAL1"
"52"	"ENST00000170564"	"ENSG00000076650"	"GPATCH1"
"53"	"ENST00000173898"	"ENSG00000067445"	"TRO"
"54"	"ENST00000174618"	"ENSG00000070444"	"MNT"
"55"	"ENST00000174653"	"ENSG00000070718"	"AP3M2"
"56"	"ENST00000175756"	"ENSG00000072135"	"PTPN18"
"57"	"ENST00000176763"	"ENSG00000072786"	"STK10"
"58"	"ENST00000184956"	"ENSG00000068097"	"HEATR6"
"59"	"ENST00000185150"	"ENSG00000068912"	"ERLEC1"
"60"	"ENST00000185206"	"ENSG00000112782"	"CLIC5"
"61"	"ENST00000187762"	"ENSG00000072954"	"TMEM38A"
"62"	"ENST00000187879"	"ENSG00000159885"	"ZNF222"
"63"	"ENST00000194214"	"ENSG00000081870"	"HSPB11"
"64"	"ENST00000196169"	"ENSG00000083544"	"TDRD3"
"65"	"ENST00000196371"	"ENSG00000083720"	"OXCT1"
"66"	"ENST00000196551"	"ENSG00000083845"	"RPS5"
"67"	"ENST00000197268"	"ENSG00000084444"	"FAM234B"
"68"	"ENST00000199320"	"ENSG00000086189"	"DIMT1"
"69"	"ENST00000199389"	"ENSG00000086232"	"EIF2AK1"
"70"	"ENST00000202773"	"ENSG00000089009"	"RPL6"
"71"	"ENST00000202816"	"ENSG00000089048"	"ESF1"
"72"	"ENST00000203001"	"ENSG00000089195"	"TRMT6"
"73"	"ENST00000203630"	"ENSG00000089693"	"MLF2"
"74"	"ENST00000204566"	"ENSG00000090487"	"SPG21"
"75"	"ENST00000205194"	"ENSG00000090971"	"NAT14"
"76"	"ENST00000205214"	"ENSG00000157426"	"AASDH"
"77"	"ENST00000206542"	"ENSG00000092094"	"OSGEP"
"78"	"ENST00000207636"	"ENSG00000093010"	"COMT"
"79"	"ENST00000209875"	"ENSG00000094916"	"CBX5"
"80"	"ENST00000210444"	"ENSG00000095380"	"NANS"
"81"	"ENST00000214869"	"ENSG00000099203"	"TMED1"
"82"	"ENST00000214893"	"ENSG00000099219"	"ERMP1"
"83"	"ENST00000215531"	"ENSG00000095932"	"SMIM24"
"84"	"ENST00000215555"	"ENSG00000099785"	"MARCH2"
"85"	"ENST00000215567"	"ENSG00000099797"	"TECR"
"86"	"ENST00000215570"	"ENSG00000099800"	"TIMM13"
"87"	"ENST00000215631"	"ENSG00000099860"	"GADD45B"
"88"	"ENST00000215742"	"ENSG00000184436"	"THAP7"
"89"	"ENST00000215770"	"ENSG00000099974"	"DDTL"
"90"	"ENST00000215793"	"ENSG00000099995"	"SF3A1"
