gene_id,S00AXZ11,S00AYX11,S00B0N11,S00B1L11,S00B2J11,S00GPR11,S01FG411
ENSG00000000003,1,0,3,3,3,0,0
ENSG00000000005,0,0,0,0,0,0,0
ENSG00000000419,408,894,1049,804,566,708,734
ENSG00000000457,392,702,511,1143,955,297,457
ENSG00000000460,504,483,412,706,490,264,263
ENSG00000000938,7753,10636,7754,6882,6134,3634,5081
ENSG00000000971,7.71,29,12,28,14,2,71
ENSG00000001036,258,418,411,706,380,273,365
ENSG00000001084,1533,4042,3864,3095,2686,1173,1802
ENSG00000001167,1640,1568,2437,2164,1411,1078,1183
ENSG00000001460,106,261,93,207,212,18,68
ENSG00000001461,897,1517,1599,1767,1683,497,781
ENSG00000001497,1660,1973,1887,1842,1549,1423,1508
ENSG00000001561,667,2857,2383,2047,1087,1444,1700
ENSG00000001617,0,5,2,2,1,2,1
ENSG00000001626,0,0,1,0,0,0,0
ENSG00000001629,3020,4760,5391,5800,3998,3440,3813
ENSG00000001630,766.82,1809.58,2070.74,5113.65,952.24,1192.48,1054.41
ENSG00000001631,2534.27,3151.34,3317.55,3504.93,3025.88,1995.04,2997.91
ENSG00000002016,725.11,516,334.07,310.68,262.72,518.66,352
ENSG00000002079,0,1,1,0,0,0,0
ENSG00000002330,129,272,315,406,242,156,190
ENSG00000002549,903,1271,961,1483,845,546,932
ENSG00000002586,785,1602,2468,3963,2160,1650,1702
ENSG00000002587,255,427,1588,2687,254,615,171
ENSG00000002726,1,0,1,0,0,0,4
ENSG00000002745,78,292,612,543,104,122,32
ENSG00000002746,3,0,0,1,0,6,0
ENSG00000002822,3305,2243,2142,2377,1736,856,1161
ENSG00000002834,3174,6328,8287,7829,4028,3733,5165
ENSG00000002919,478,1434,607,686,680,538,547
ENSG00000002933,82,15,4,1,20,9,61
ENSG00000003056,2324,4338,3600,5508,3364,2821,2720
ENSG00000003096,0,5,2.41,0,4,0,0
ENSG00000003137,1,1,1,1,0,0,2
ENSG00000003147,4,8,19,15,7,4,10
ENSG00000003249,77,91,68,752,12,22,44
ENSG00000003393,482,1125,1027,1138,848,511,1005
ENSG00000003400,135,398,730,151,105,14,133
ENSG00000003402,13825.43,17712.25,26086.42,41116.87,13295.1,13028,14956
ENSG00000003436,2,6,1,1,3,6,6
ENSG00000003509,746,1010,1063,773,958,616,751
ENSG00000003756,14733,12540.18,17070.34,11842.46,12755.65,11068.83,10644
ENSG00000003987,0,0,0,0,6,3,1
ENSG00000003989,0,0,0,0,0,0,0
ENSG00000004059,840.67,1926.26,1956.78,1979.01,1299.94,1276.46,1413.73
ENSG00000004139,1312,2752.11,3072.75,2143.69,1707,1250.83,1921.57
ENSG00000004142,579,1315,1200,1654,819,841,828
ENSG00000004399,1756,1306,1041,3568,903,2196,2193
ENSG00000004455,2408.49,3422.74,3023.34,4537.33,2990.98,1816.68,2281.86
ENSG00000004468,161,304,1409,186,48,92,61
ENSG00000004478,592,978,1130,1762,919,917,739
ENSG00000004487,1792,2200,2724,2880,2294,1881,2446
ENSG00000004534,9540,8613.82,7481.66,7734.54,6466.35,5723.17,5621
ENSG00000004660,217,668,436,306,207,164,358
ENSG00000004700,1243,2960,2921,3151,2280,2383,2237
ENSG00000004766,1367,1489,1380,1573,1817,1495,1496
ENSG00000004776,0,1,1,0,0,0,0
ENSG00000004777,587,456,414,546,117,90,164
ENSG00000004779,186,492,477,554,334,218,188
ENSG00000004799,56,593,485,567,146,1311,862
ENSG00000004809,7,4,1,0,1,0,6
ENSG00000004838,19,22,9,39,16,29,23
ENSG00000004846,0,1,0,0,0,0,0
ENSG00000004848,0,0,0,0,0,1,0
ENSG00000004864,673,829,653,662,668,803,946
ENSG00000004866,322,516,421,281,227,147,352.94
ENSG00000004897,2067,3545,3369,2745.67,2927.92,2404,2569
ENSG00000004939,0,2,2,119,5,35,1
ENSG00000004948,2,0,0,0,0,0,0
ENSG00000004961,132,568,417,411,325,421,328
ENSG00000004975,939,2477,2113,5670,1251,1205,1370
ENSG00000005001,0,0,0,0,0,0,0
ENSG00000005007,3523,5014,5864,6150,2313,2152,2864
ENSG00000005020,2177,3217,2711,2503,2292,1248,1615
ENSG00000005022,1158,2983,2539,2615,1737,3982,1846
ENSG00000005059,1364,3289,3019,3020,2790,1834,2145
ENSG00000005073,0,0,0,0,0,0,0
ENSG00000005075,298.05,993.55,743.4,787.63,493.46,315.86,526.17
ENSG00000005100,387,501,498,893,303,270,290
ENSG00000005102,2,1,0,4,1,0,0
ENSG00000005108,0,2,1,0,3,0,0
ENSG00000005156,2053,2315,2702,2378,1797,1700,2260
ENSG00000005175,804,1606,1191,1403,1595,924,920
ENSG00000005187,5130,3028,8056,2719,8143,4616,2504
ENSG00000005189,9,21,17,38,14,7,8
ENSG00000005194,452,927,787,853,652,682,701
ENSG00000005206,2448.28,2425.94,3554.56,3184.31,1265,980.22,1304.79
ENSG00000005238,249,397,214,360,137,161,235
ENSG00000005243,5,6,9,4,1,3,4
ENSG00000005249,32,123,54,64,34,21,143
ENSG00000005302,2363,3332,3244,4568,3174,2633,2554
ENSG00000005339,13892,14654,17521,13538,7053,7543,8050
ENSG00000005379,445,1006,731,701,564,403,957
ENSG00000005381,15,2,3,36,30,264,16
ENSG00000005421,0,0,0,0,0,0,0
ENSG00000005436,485,1495,970,1404,759,775,869
ENSG00000005448,127,311,388,491,180,166,159
ENSG00000005469,199,530,351,355,342,173,320
ENSG00000005471,3092.99,1831,4744.93,3979.61,2091.78,2135.57,253
ENSG00000005483,10937,16218,18937,13009,12946,15752,14806
ENSG00000005486,446,1147,1452,1344,709,644,1114
ENSG00000005513,2,1,0,17,2,0,1
ENSG00000005700,1876,3994,5293,4262,3397,2407,2646
ENSG00000005801,994,929,1127,971,1029,604,836
ENSG00000005810,23236,29634,27128,25413,33603,27193,27175
ENSG00000005812,3201,6791,10378,3966,5546,4233,5307
ENSG00000005844,3846,4317,3087,3561,2167,2512,2448
ENSG00000005882,382,733,857,749,639,212,351
ENSG00000005884,1878,1524,708,416,1005,202,971
ENSG00000005889,2981,6564,10171,4549,4001,3517,4212
ENSG00000005893,1307,3237,3471,2627,1475,2188.01,1557
ENSG00000005961,9,67,56,128,43,30,92
ENSG00000005981,0,2,1,0,0,1,0
ENSG00000006007,430,1053,1064,1008,745,660,907
ENSG00000006015,638,950,546,1381,619,384,704
ENSG00000006016,1,3,0,1,1,0,1
ENSG00000006025,1138,1271,1415,1739,916,789,747
ENSG00000006042,0,0,0,0,0,0,0
ENSG00000006047,3,5,6,2,0,1,1
ENSG00000006059,0,0,0,0,0,0,0
ENSG00000006062,3674,6085,6031,4388,3095,2572,2861
ENSG00000006071,48,36,25,275,19,109,28
ENSG00000006116,10,1,2,2,5,2,13
ENSG00000006118,8,3,3,4,12,1,3
ENSG00000006125,2742,8591,7246,9008,4632,3758,4107
ENSG00000006128,0,0,0,0,0,0,0
ENSG00000006194,1814,3056,3564,2890,2142,1740,2072
ENSG00000006210,0,0,0,0,0,0,0
ENSG00000006282,907,3273,4131,1776,588,2320,2319
ENSG00000006283,0,3,2,1,0,1,1
ENSG00000006327,32,41,12,14,2,4,56
ENSG00000006377,0,0,0,0,0,0,0
ENSG00000006432,2792,4413,3457,2510,2680,2500,3171
ENSG00000006451,219,583,533,801,270,203,280
ENSG00000006453,0,2,2,0,2,0,1
ENSG00000006459,6102,9581,11578,5198,13384,14344,9878
ENSG00000006468,0,1,0,14,0,0,0
ENSG00000006530,477,550,720,930,466,465,393
ENSG00000006534,175,159,68,12,45,44,203
ENSG00000006555,145,191,165,348,132,35,132
ENSG00000006576,5804,7923,5293,4375,6102,6098,5877
ENSG00000006606,0,0,0,0,0,0,0
ENSG00000006607,6322,6945,7345,6052,4661,4806,4739
ENSG00000006611,0,0,0,0,0,0,0
ENSG00000006625,100.75,273.14,254.68,379.7,191.89,168,166.27
ENSG00000006634,1365.96,1999.94,2428.95,1163.9,1516.9,2338.78,3008.67
ENSG00000006638,143,190,277,298,211,113,172
ENSG00000006652,2151,2576,2215,1579,1509,1876,2434
ENSG00000006659,0,0,0,0,0,0,0
ENSG00000006695,435,605,380,716,446,292,461
ENSG00000006704,2,44,20,8,2,57,8
ENSG00000006712,1850,2959,2503,2052,1212,694,1121
ENSG00000006715,3619,4515,4100,4775,5363,3288,3803
ENSG00000006740,1055,2514,4151,6067,1579,2083,2040
ENSG00000006744,2066,2299,2695,4298,2131,1559,1943
ENSG00000006747,0,2,0,6,0,446,0
ENSG00000006756,169,83,806,1141,17,298,333
ENSG00000006757,48,102,165,122,53,29,60
ENSG00000006788,0,0,0,0,0,0,0
ENSG00000006831,807,1237,1188,1961,1143,995,1088
ENSG00000006837,26.17,31.21,27.12,29.38,12.17,23.2,27.24
ENSG00000007001,0,0,0,0,0,0,0
ENSG00000007038,0,2,3,3,0,0,5
ENSG00000007047,556,559,594,732,232,253,320
ENSG00000007062,1,0,1,2,5,2,2
ENSG00000007080,293,416,341,568,171,196,193
ENSG00000007129,410,378,181,787,313,350,357
ENSG00000007168,6508.11,8094,11066.94,9299.83,8229.87,5170.32,5336.45
ENSG00000007171,7,10,8,16,1,15,10
ENSG00000007174,0,0,0,0,0,0,0
ENSG00000007202,6480,11422,9326,13979,9273,8076,8660
ENSG00000007216,0,0,0,0,0,0,0
ENSG00000007237,576,500,142,57,121,18,669
ENSG00000007255,262,454,497,386,345,271,316
ENSG00000007264,52,128,41,59,63,9,114
ENSG00000007306,0,0,0,0,0,0,0
ENSG00000007312,2445,5912,9789,13600,7793,3865,3871
ENSG00000007314,262,174,270,321,109,103,143
