transcript.id	RNA_D1_CLP_100	RNA_D1_GMP_100	RNA_D1_HSC_100	RNA_D2_CMP_100	MPP_mean	MLP_mean	symbol	ensg
1	ENST00000001008	204	438	735	659	975.5	205.5	FKBP4	ENSG00000004478
2	ENST00000002165	111	455	629	283	798.5	198.5	FUCA2	ENSG00000001036
3	ENST00000003100	322	892	1101	1125	816.5	1052.5	CYP51A1	ENSG00000001630
4	ENST00000005558	160	189	628	24	379.5	265.5	IFRD1	ENSG00000006652
5	ENST00000006658	3	30	49	19	59	79.5	SPATA20	ENSG00000006282
6	ENST00000006750	1676	27	187	12	4.5	56.5	CD79B	ENSG00000007312
7	ENST00000007414	60	4	12	6	8	10	OSBPL7	ENSG00000006025
8	ENST00000007969	9	65	11	1	7.5	20	LRRC23	ENSG00000010626
9	ENST00000008440	1	1	1	0	1.5	53	SPRTN	ENSG00000010072
10	ENST00000009041	386	554	383	460	364	172	STARD3NL	ENSG00000010270
11	ENST00000009589	413	10	331	278	999	162	RPS20	ENSG00000008988
12	ENST00000011473	318	1411	1266	1319	71	1210	SYPL1	ENSG00000008282
13	ENST00000012049	7	10	7	79	57.5	136	QPCTL	ENSG00000011478
14	ENST00000012134	281	50	20	75	49.5	104	HIVEP2	ENSG00000010818
15	ENST00000012443	1	12	41	29	31	7	PPP5C	ENSG00000011485
16	ENST00000013125	1027	702	1551	522	885	777.5	MAP4K5	ENSG00000012983
17	ENST00000014914	20	20	16	26	276.5	12.5	GPRC5A	ENSG00000013588
18	ENST00000017003	5	26	7	9	14	49	XYLT2	ENSG00000015532
19	ENST00000019019	5	153	44	20	52	24.5	FTSJ1	ENSG00000068438
20	ENST00000023939	49	27	89	37	85.5	58	RTFDC1	ENSG00000022277
21	ENST00000025399	11	10	235	6	182.5	11	STRAP	ENSG00000023734
22	ENST00000026218	11	0	1	7	15	23.5	PIGQ	ENSG00000007541
23	ENST00000029410	66	39	1	7	124.5	8	B4GALT7	ENSG00000027847
24	ENST00000031146	141	454	654	246	528	205	SLC39A9	ENSG00000029364
25	ENST00000040663	127	39	1	92	82.5	242.5	MRI1	ENSG00000037757
26	ENST00000042381	138	40	23	25	412	489.5	FAM65A	ENSG00000039523
27	ENST00000044462	146	5	1	49	129.5	3	PSMA4	ENSG00000041357
28	ENST00000054650	67	48	94	14	127	122	THAP3	ENSG00000041988
29	ENST00000054666	686	566	983	515	1411.5	1046.5	VAMP3	ENSG00000049245
30	ENST00000054950	174	394	273	164	837.5	218	RCN1	ENSG00000049449
31	ENST00000056233	5	148	353	110	146	120	NFE2L3	ENSG00000050344
32	ENST00000060969	73	25	50	2	71	90	SIKE1	ENSG00000052723
33	ENST00000072869	9	135	61	26	134	7	ADCK2	ENSG00000133597
34	ENST00000074304	80	525	197	81	94	563.5	INPP4A	ENSG00000040933
35	ENST00000075120	1	18	46	1	207.5	139.5	SLC2A3	ENSG00000059804
36	ENST00000075322	0	7	271	7	15	164.5	ENPP2	ENSG00000136960
37	ENST00000080059	975	9	6	361	162.5	433	HDAC7	ENSG00000061273
38	ENST00000082468	524	264	69	27	272	340.5	BTN3A1	ENSG00000026950
39	ENST00000084798	7	82	133	13	78	15	CA11	ENSG00000063180
40	ENST00000085079	1	37	2	35	41	13.5	EPN1	ENSG00000063245
41	ENST00000156471	47	79	762	343	69	148.5	AQR	ENSG00000021776
42	ENST00000160262	160	2280	2417	1048	2705.5	1655.5	ICAM3	ENSG00000076662
43	ENST00000160740	7	6	1	94	19.5	31	CIC	ENSG00000079432
44	ENST00000163416	73	140	41	199	182.5	402.5	GOLGA5	ENSG00000066455
45	ENST00000163678	194	1	134	4	149.5	206	METTL22	ENSG00000067365
46	ENST00000166139	0	35	29	1	14	16.5	FSTL3	ENSG00000070404
47	ENST00000167106	125	168	0	226	38	77.5	VASH1	ENSG00000071246
48	ENST00000170447	289	351	1188	297	648	163.5	MKRN2	ENSG00000075975
49	ENST00000170630	9	36	5	0	52	22	IL4R	ENSG00000077238
50	ENST00000171111	8	12	51	85	99	66.5	KEAP1	ENSG00000079999
51	ENST00000173527	71	455	427	358	523	293.5	ISOC1	ENSG00000066583
52	ENST00000173785	4708	2466	7294	1411	1851	2314	KLF6	ENSG00000067082
53	ENST00000178640	107	116	5	77	230.5	24	MAP2K5	ENSG00000137764
