id,Chromosome,Start,End,mean.mean.CMP,mean.mean.MLP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CMP,mean.num.na.MLP,mean.mean.covg.CMP,mean.mean.covg.MLP,mean.nsamples.covg.thres5.CMP,mean.nsamples.covg.thres5.MLP
276611,chr3,57048000,57048800,1,0,1,1,6.658211483,2.43273E-49,2.10395E-45,4,1,1,0,1.333333333,1.333333333,0,0
1083546,chr17,13427800,13428000,1,0,1,1,6.658211483,3.77696E-49,2.17767E-45,5,1,0,1,2,0.666666667,0,0
1098318,chr17,36856400,36857000,1,0,1,1,6.658211483,3.77696E-49,2.17767E-45,5,1,0,1,1,1.666666667,0,0
158252,chr2,28578000,28579400,1,0,1,1,6.658211483,7.52125E-33,5.42117E-30,33,1,0,2,2,0.333333333,0,0
271494,chr3,47825800,47826000,1,0,1,1,6.658211483,5.59367E-33,5.42117E-30,27,1,1,1,0.666666667,1.666666667,0,0
412861,chr5,132127600,132128200,1,0,1,1,6.658211483,7.52125E-33,5.42117E-30,33,1,0,2,2.333333333,0.333333333,0,0
527292,chr7,2037800,2038000,1,0,1,1,6.658211483,5.59367E-33,5.42117E-30,27,1,1,1,0.666666667,2,0,1
584635,chr7,129696000,129696600,1,0,1,1,6.658211483,7.52125E-33,5.42117E-30,33,1,0,2,1.333333333,0.333333333,0,0
627827,chr8,41926400,41926800,1,0,1,1,6.658211483,5.59367E-33,5.42117E-30,27,1,1,1,1,0.666666667,0,0
981901,chr15,35265000,35265200,1,0,1,1,6.658211483,7.52125E-33,5.42117E-30,33,1,0,2,1,0.333333333,0,0
997813,chr15,63489600,63490200,1,0,1,1,6.658211483,7.52125E-33,5.42117E-30,33,1,0,2,2.333333333,0.333333333,0,0
1266286,chr22,31760600,31761000,1,0,1,1,6.658211483,7.52125E-33,5.42117E-30,33,1,0,2,2.333333333,0.666666667,0,0
202580,chr2,127407200,127408400,1,0,1,1,6.658211483,1.21423E-19,3.92572E-17,99,1,2,1,0.333333333,1,0,0
877186,chr12,34496200,34498600,1,0,1,1,6.658211483,1.21423E-19,3.92572E-17,99,1,2,1,0.333333333,0.666666667,0,0
1265075,chr22,30121800,30123600,1,0,1,1,6.658211483,1.21423E-19,3.92572E-17,99,1,2,1,0.666666667,0.666666667,0,0
49221,chr1,52041200,52041800,1,0,1,1,6.658211483,9.64629E-18,1.61209E-15,163,1,1,2,0.666666667,0.333333333,0,0
79068,chr1,144048400,144048800,1,0,1,1,6.658211483,9.64629E-18,1.61209E-15,163,1,1,2,0.666666667,0.333333333,0,0
114839,chr1,205216800,205217800,1,0,1,1,6.658211483,9.64629E-18,1.61209E-15,163,1,1,2,0.666666667,0.333333333,0,0
311171,chr3,186715400,186717000,1,0,1,1,6.658211483,9.64629E-18,1.61209E-15,163,1,1,2,0.666666667,0.333333333,0,0
