id	Chromosome	Start	End	strand
1	chr3	73290548	73292547	1
2	chr7	115849047	115851046	1
3	chr10	106027678	106029677	1
4	chr10	106027131	106029130	1
5	chr12	2944211	2946210	1
6	chr1	27714472	27716471	1
7	chr1	112297947	112299946	1
8	chr1	112296367	112298366	1
9	chr1	222986864	222988863	1
10	chr1	222986906	222988905	1
11	chr2	25551091	25553090	1
12	chr2	132751235	132753234	1
13	chr2	173598502	173600501	1
14	chr6	28881922	28883921	1
15	chr6	34523611	34525610	1
16	chr6	53231968	53233967	1
17	chr6	158701795	158703794	1
18	chr7	73133503	73135502	1
19	chr8	23192184	23194183	1
20	chr8	127567641	127569640	1
21	chr10	16859028	16861027	1
22	chr10	77167415	77169414	1
23	chr10	102744872	102746871	1
24	chr12	6602508	6604507	1
25	chr12	58130296	58132295	1
26	chr13	73027606	73029605	1
27	chr13	90014979	90016978	1
28	chr13	96296458	96298457	1
29	chr14	93387925	93389924	1
30	chr14	101418186	101420185	1
31	chr14	106384878	106386877	1
32	chr15	32892830	32894829	1
33	chr16	225179	227178	1
34	chr16	227053	229052	1
35	chr16	68349204	68351203	1
36	chr17	9550478	9552477	1
37	chr17	17138933	17140932	1
38	chr18	77711165	77713164	1
39	chr22	22005059	22007058	1
40	chr22	35558797	35560796	1
41	chr1	49721583	49723582	1
42	chr1	150232593	150234592	1
43	chr2	68905233	68907232	1
44	chr3	122645469	122647468	1
45	chr1	7913073	7915072	1
46	chr1	120394439	120396438	1
47	chr1	143243664	143245663	1
48	chr1	151600300	151602299	1
49	chr2	38978137	38980136	1
50	chr2	38977176	38979175	1
51	chr2	179479808	179481807	1
52	chr3	45187415	45189414	1
53	chr3	93781734	93783733	1
54	chr3	93780260	93782259	1
55	chr3	141862796	141864795	1
56	chr4	79569897	79571896	1
57	chr5	69527319	69529318	1
58	chr5	117057293	117059292	1
59	chr6	33255579	33257578	1
60	chr6	41703498	41705497	1
61	chr6	90531514	90533513	1
62	chr6	127839647	127841646	1
63	chr6	127840001	127842000	1
64	chr6	127839100	127841099	1
65	chr6	164769178	164771177	1
66	chr7	45151147	45153146	1
67	chr7	108096662	108098661	1
68	chr7	140624065	140626064	1
69	chr8	7105375	7107374	1
70	chr8	56685467	56687466	1
71	chr8	56684201	56686200	1
72	chr9	97402032	97404031	1
73	chr10	16477442	16479441	1
74	chr11	11203461	11205460	1
75	chr11	31530693	31532692	1
76	chr11	31529797	31531796	1
77	chr11	102678148	102680147	1
78	chr12	9468270	9470269	1
79	chr12	50477255	50479254	1
80	chr14	78225673	78227672	1
81	chr17	46124936	46126935	1
82	chr22	36635501	36637500	1
83	chr20	47834384	47836383	1
84	chr17	21908914	21910913	1
85	chr1	27338828	27340827	1
86	chr17	73068901	73070900	1
87	chr22	46066178	46068177	1
88	chr16	75549679	75551678	1
89	chr10	788432	790431	1
90	chr1	43913816	43915815	1
91	chr9	33818294	33820293	1
92	chr17	11143080	11145079	1
93	chr17	10599411	10601410	1
94	chr2	90119977	90121976	1
95	chr10	13349948	13351947	1
96	chr14	23298530	23300529	1
97	chr14	23297588	23299587	1
98	chr11	119018222	119020221	1
99	chr17	75468353	75470352	1
100	chr19	18384820	18386819	1
101	chr22	31296706	31298705	1
102	chr12	58149297	58151296	1
103	chr2	85810031	85812030	1
104	chr11	63847662	63849661	1
