UniqueID	Chromosome	Start	End	Strand
1	chr9	45415477	45417476	0
2	chr8	7105375	7107374	0
3	chr8	23192184	23194183	0
4	chr8	87355044	87357043	0
5	chr8	127567641	127569640	0
6	chr8	66504208	66506207	0
7	chr8	66503466	66505465	0
8	chr7	20370871	20372870	0
9	chr7	115849047	115851046	0
10	chr7	44163458	44165457	0
11	chr7	73133503	73135502	0
12	chr7	158382808	158384807	0
13	chr6	34523611	34525610	0
14	chr6	41703498	41705497	0
15	chr6	53231968	53233967	0
16	chr6	90531514	90533513	0
17	chr6	158701795	158703794	0
18	chr6	33255579	33257578	0
19	chr6	84436274	84438273	0
20	chr5	69527319	69529318	0
21	chr4	3633256	3635255	0
22	chr4	88689234	88691233	0
23	chr4	154071994	154073993	0
24	chr3	16555034	16557033	0
25	chr3	45187415	45189414	0
26	chr3	84338905	84340904	0
27	chr3	122645469	122647468	0
28	chr3	93781734	93783733	0
29	chr3	93780260	93782259	0
30	chr3	141862796	141864795	0
31	chr22	35558797	35560796	0
32	chr22	43670461	43672460	0
33	chr22	22005059	22007058	0
34	chr2	173598502	173600501	0
35	chr2	90247239	90249238	0
36	chr19	34080095	34082094	0
37	chr18	77711165	77713164	0
38	chr17	9550478	9552477	0
39	chr17	10599411	10601410	0
40	chr17	17138933	17140932	0
41	chr17	27046068	27048067	0
42	chr17	8300645	8302644	0
43	chr17	72305430	72307429	0
44	chr16	225179	227178	0
45	chr16	227053	229052	0
46	chr15	32892830	32894829	0
47	chr14	23450968	23452967	0
48	chr14	23450407	23452406	0
49	chr14	101418186	101420185	0
50	chr14	78225673	78227672	0
51	chr14	93387925	93389924	0
52	chr13	73027606	73029605	0
53	chr13	96296458	96298457	0
54	chr12	1866678	1868677	0
55	chr12	6602508	6604507	0
56	chr12	43358425	43360424	0
57	chr12	130387712	130389711	0
58	chr11	11203461	11205460	0
59	chr11	50225832	50227831	0
60	chr11	4038678	4040677	0
61	chr11	102678148	102680147	0
62	chr10	77167415	77169414	0
63	chr10	16477442	16479441	0
64	chr1	110428387	110430386	0
65	chr1	27714472	27716471	0
66	chr1	36656016	36658015	0
67	chr1	157961563	157963562	0
68	chr1	49721583	49723582	0
69	chr1	7913073	7915072	0
70	chr1	143243664	143245663	0
71	chr1	149146380	149148379	0
72	chr17	21908914	21910913	0
73	chr4	40191173	40193172	0
74	chr3	73290548	73292547	0
75	chr2	85810031	85812030	0
76	chr19	20748116	20750115	0
77	chr17	73068901	73070900	0
78	chr15	23890480	23892479	0
79	chr1	27338828	27340827	0
80	chr22	46066178	46068177	0
81	chr22	32777540	32779539	0
82	chr16	34255007	34257006	0
83	chr14	23298530	23300529	0
84	chr14	23297588	23299587	0
85	chr1	43913816	43915815	0
86	chr17	72208982	72210981	0
87	chr17	75468353	75470352	0
88	chr1	201474869	201476868	0
89	chr22	31296706	31298705	0
90	chr15	23890676	23892675	0
91	chr12	58149297	58151296	0
92	chr16	75549679	75551678	0
93	chr4	113435041	113437040	0
94	chr9	131940041	131942040	0
95	chr7	57239564	57241563	0
96	chr5	75048805	75050804	0
97	chr5	74348169	74350168	0
98	chr4	83194724	83196723	0
99	chr9	22746199	22748198	0
100	chr22	32778273	32780272	0
101	chr3	43730105	43732104	0
102	chr19	19900841	19902840	0
103	chr9	68323936	68325935	0
104	chr16	81109424	81111423	0
105	chr11	119018222	119020221	0
106	chr7	56559317	56561316	0
107	chr7	38335335	38337334	0
108	chr7	140103734	140105733	0
109	chr7	26436713	26438712	0
110	chr7	127983463	127985462	0
111	chr7	156880738	156882737	0
112	chr7	15601141	15603140	0
113	chr7	154656694	154658693	0
114	chr7	155437400	155439399	0
115	chr7	131012482	131014481	0
116	chr7	96097235	96099234	0
117	chr6	52858918	52860917	0
118	chr6	12585137	12587136	0
119	chr6	74063519	74065518	0
120	chr6	111803214	111805213	0
121	chr5	55045730	55047729	0
122	chr5	113695142	113697141	0
123	chr5	8157402	8159401	0
124	chr4	4128797	4130796	0
125	chr4	166127270	166129269	0
126	chr4	92948429	92950428	0
127	chr4	110223314	110225313	0
128	chr4	110222691	110224690	0
129	chr3	141637364	141639363	0
130	chr3	32145681	32147680	0
131	chr3	9848270	9850269	0
132	chr3	14184723	14186722	0
133	chr3	194991397	194993396	0
134	chr21	45992106	45994105	0
135	chr21	40896010	40898009	0
