id	Chromosome	Start	End	symbol	entrezID	mean.mean.MLP	mean.mean.MPP	Difference	mean.mean.diff	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.MLP	mean.num.na.MPP	mean.mean.covg.MLP	mean.mean.covg.MPP	mean.nsamples.covg.thres5.MLP	mean.nsamples.covg.thres5.MPP
ENSG00000214100	chr2	130691391	130693390	NA	389033	0.083333333	0.5	-0.416666667	-0.583333333	-3.614549399	7.35E-19	1.08E-16	507	5	1.2	2.4	0.6	0.266666667	0	0
ENSG00000240995	chr17	47225974	47227973	NA	NA	0.583333333	1	-0.416666667	-0.416666667	-0.767440553	0.000789739	0.019331984	2761	1	1	1	1.666666667	0.666666667	0	0
ENSG00000211915	chr14	106358920	106360919	IGHD5-18	NA	0	0.416666667	-0.416666667	-0.416666667	-5.415037499	2.23E-05	0.000630453	1224	1	0	1	3.333333333	2.333333333	0	0
ENSG00000198252	chr14	53195398	53197397	STYX	6815	0.555555556	1	-0.444444444	-0.444444444	-2.412016516	1.44E-13	9.56E-12	1147	3	0	1.666666667	2.888888889	0.777777778	0.666666667	0
ENSG00000055130	chr7	148393506	148395505	CUL1	8454	0.5	1	-0.5	-0.5	-3.329105741	3.82E-10	1.66E-08	630	2	1.5	1	1	0.833333333	0	0
ENSG00000212590	chr7	152304898	152306897	NA	NA	0.5	1	-0.5	-0.5	-3.329105741	3.82E-10	1.66E-08	630	2	2	1.5	0.666666667	0.666666667	0	0
ENSG00000092820	chr6	159239945	159241944	EZR	7430	0.5	1	-0.5	-0.5	-3.329105741	6.66E-19	1.03E-16	553	2	1	0.5	1.833333333	1.166666667	0.5	0
ENSG00000205302	chr5	122109191	122111190	SNX2	6643	0.5	1	-0.5	-0.5	-0.985786141	1.94E-17	1.42E-15	2243	1	2	1	0.666666667	0.666666667	0	0
ENSG00000248698	chr4	14112092	14114091	LINC01085	152742	0	0.5	-0.5	0	0	0.004090463	0.090594008	14120	2	2	2	0.5	0.333333333	0	0
ENSG00000159082	chr21	34099860	34101859	SYNJ1	8867	0.5	1	-0.5	-0.5	-0.985786141	3.03E-32	8.72E-30	2243	1	2	0	0.666666667	1.333333333	0	0
ENSG00000238197	chr21	34098926	34100925	PAXBP1-AS1	100506215	0.5	1	-0.5	-0.5	-0.985786141	3.03E-32	8.72E-30	2243	1	2	0	0.666666667	1.333333333	0	0
ENSG00000104936	chr19	46285311	46287310	DMPK	1760	0.5	1	-0.5	-0.5	-0.985786141	5.41E-33	2.98E-30	2243	1	1	1	1.333333333	1.333333333	0	0
ENSG00000105392	chr19	48321203	48323202	CRX	1406	0	0.5	-0.5	-0.5	-5.672425342	7.27E-33	2.98E-30	476	1	0	2	3.333333333	0.666666667	1	0
ENSG00000268734	chr19	55400539	55402538	NA	NA	0	0.5	-0.5	-0.5	-5.672425342	7.27E-33	2.98E-30	476	1	0	2	2	1.333333333	0	0
ENSG00000264193	chr18	23532933	23534932	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	1.63E-47	4.14E-44	2243	1	1	0	1.333333333	1.333333333	0	0
ENSG00000185182	chr15	22715105	22717104	GOLGA8DP	NA	0	0.5	-0.5	-0.5	-5.672425342	1.02E-19	1.88E-17	476	1	2	1	0.333333333	1.333333333	0	0
ENSG00000165819	chr14	21979018	21981017	METTL3	56339	0.5	1	-0.5	-0.5	-3.329105741	1.64E-11	8.77E-10	553	2	0.5	2	1.5	0.333333333	0	0
ENSG00000237356	chr14	53634272	53636271	NA	NA	0.5	1	-0.5	-0.5	-3.329105741	2.73E-10	1.29E-08	586	2	1.5	1.5	0.5	0.833333333	0	0
ENSG00000111335	chr12	113414700	113416699	OAS2	4939	0.5	1	-0.5	-0.5	-0.985786141	1.63E-47	4.14E-44	2243	1	1	0	1.333333333	2	0	0
ENSG00000258358	chr12	84843158	84845157	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	1.94E-17	1.42E-15	2243	1	2	1	0.666666667	1.333333333	0	0
ENSG00000173456	chr11	119203737	119205736	RNF26	79102	0.25	0.75	-0.5	-0.416666667	-3.125131704	2.08E-28	4.87E-26	1197	4	0	2	1.5	0.333333333	0	0
ENSG00000072422	chr10	62760699	62762698	RHOBTB1	9886	0	0.5	-0.5	-0.5	-3.329105741	9.11E-13	5.01E-11	553	2	1	2	1	0.5	0	0
