new id	Chromosome	Start	End	strand
1	chr18	11637800	11638200	1
2	chr19	2258000	2258600	1
3	chr12	133026000	133027200	1
4	chr19	38476600	38478200	1
5	chr21	45136400	45137000	1
6	chr6	509600	510400	1
7	chr18	12226000	12226600	1
8	chr1	1071800	1072200	1
9	chr6	25364800	25365200	1
10	chr9	36458400	36459200	1
11	chr12	113670400	113671600	1
12	chr10	133741200	133741400	1
13	chr7	69458200	69458600	1
14	chr1	236094400	236095200	1
15	chr2	45670000	45670200	1
16	chr4	166099000	166099800	1
17	chr5	173205800	173206200	1
18	chr5	180241800	180242600	1
19	chr6	15280600	15281000	1
20	chr12	131464200	131464800	1
21	chr14	92377600	92378400	1
22	chr14	103519400	103520000	1
23	chr17	73451000	73452000	1
24	chr19	11050400	11051200	1
25	chr19	40249400	40250200	1
26	chr14	63935400	63937400	1
27	chr17	42365800	42366400	1
28	chr17	79024400	79024600	1
29	chr19	3142200	3142600	1
30	chr2	65100400	65101000	1
31	chr17	77326000	77327600	1
32	chr19	7774200	7774600	1
33	chr17	75829200	75829800	1
34	chr14	61831600	61832400	1
35	chr17	2025800	2027600	1
36	chr9	4424800	4425200	1
37	chr9	4560000	4560600	1
38	chr1	9290200	9290800	1
39	chr1	45190000	45190800	1
40	chr1	167635200	167637200	1
41	chr2	25429200	25429800	1
42	chr2	28357200	28358000	1
43	chr2	240138400	240138600	1
44	chr2	241926600	241927200	1
45	chr3	42099000	42099600	1
46	chr3	125150600	125150800	1
47	chr4	164512600	164513800	1
48	chr6	27652000	27652800	1
49	chr6	29623200	29624000	1
50	chr6	36307000	36308400	1
51	chr7	35763200	35764200	1
52	chr11	96197400	96197800	1
53	chr12	12369800	12371400	1
54	chr12	101859200	101859600	1
55	chr17	3616800	3617200	1
56	chr18	9701600	9702400	1
57	chr19	13528000	13528200	1
58	chr22	26930800	26931800	1
59	chr22	50746400	50747600	1
60	chr6	33882200	33883400	1
61	chr22	48486000	48487400	1
62	chr2	111577600	111578400	1
63	chr8	130562200	130565600	1
64	chr9	21761400	21762000	1
65	chr12	123418800	123420800	1
66	chr20	46043000	46046000	1
67	chr6	36591200	36592200	1
68	chr17	1495800	1497000	1
69	chr17	75435000	75436000	1
70	chr19	54889200	54889600	1
71	chr20	48657600	48658400	1
72	chr22	35445800	35447800	1
73	chr4	7969600	7971000	1
74	chr9	21986400	21986800	1
75	chr9	129598000	129599000	1
76	chr18	11639200	11639600	1
77	chr18	13629200	13629800	1
78	chr5	176837400	176838200	1
79	chr17	36188200	36188600	1
80	chr11	111259200	111260400	1
81	chr9	1910200	1910600	1
82	chr1	9628800	9629200	1
83	chr12	111044800	111047200	1
84	chr22	42443000	42443800	1
85	chr22	39296800	39297200	1
86	chr9	21920000	21920400	1
87	chr5	173172600	173173800	1
88	chr12	111108800	111109200	1
89	chr18	6406600	6406800	1
90	chr9	272200	272400	1
91	chr1	25465800	25466400	1
92	chr1	213796000	213797000	1
93	chr8	129120600	129121800	1
94	chr1	1107000	1108000	1
95	chr1	17767800	17768000	1
96	chr1	22194200	22194600	1
97	chr1	24258400	24259000	1
98	chr1	27576600	27577600	1
99	chr2	9932800	9933400	1
100	chr2	169448600	169450000	1
101	chr2	204553400	204555200	1
102	chr3	32497200	32497800	1
103	chr3	48597400	48597800	1
104	chr3	193721600	193722000	1
105	chr4	3303400	3304200	1
106	chr5	6203200	6203400	1
107	chr5	80484400	80485200	1
108	chr6	32053600	32053800	1
109	chr6	37145000	37145800	1
110	chr6	86116200	86116600	1
111	chr6	161657600	161657800	1
112	chr7	3079200	3079400	1
113	chr7	3106600	3107800	1
114	chr7	139541800	139542200	1
115	chr7	151856800	151857800	1
116	chr8	1424200	1424800	1
117	chr9	5509800	5510400	1
118	chr9	6723800	6724400	1
119	chr9	22105600	22106200	1
120	chr9	98620800	98621600	1
121	chr9	101492400	101493200	1
122	chr11	9301200	9301400	1
123	chr12	12111000	12111200	1
124	chr12	93367000	93367800	1
125	chr12	125264200	125265200	1
126	chr13	33759400	33759800	1
127	chr15	66661800	66662000	1
128	chr15	77789200	77789400	1
129	chr16	71640800	71641000	1
130	chr17	28884600	28884800	1
131	chr17	72270200	72271600	1
132	chr18	46355400	46357200	1
133	chr19	10309400	10310000	1
134	chr19	30112200	30113200	1
135	chr19	50352800	50353400	1
136	chr20	61272600	61272800	1
137	chr21	46344400	46344800	1
138	chr22	35755400	35755600	1
139	chr22	36302600	36302800	1
140	chr22	43330800	43332200	1
141	chr22	45686200	45689000	1
142	chr1	101912600	101916400	1
143	chr3	111418200	111418600	1
144	chr11	65879400	65880400	1
145	chr16	29699600	29699800	1
146	chr1	39975800	39976600	1
147	chr1	157493400	157494400	1
148	chr1	162199600	162200200	1
149	chr2	8726600	8727000	1
150	chr2	25719400	25720000	1
151	chr2	64327200	64327600	1
152	chr2	171369600	171370200	1
153	chr3	9684200	9684400	1
154	chr3	52744200	52745000	1
155	chr3	108778200	108778600	1
156	chr3	118501400	118502000	1
157	chr4	1869400	1869600	1
158	chr5	1133600	1135200	1
159	chr5	10536600	10537200	1
160	chr5	77517800	77518400	1
161	chr5	99886000	99886400	1
162	chr5	176551800	176552000	1
163	chr5	176552000	176553000	1
164	chr6	14071400	14071800	1
165	chr6	15904800	15905800	1
166	chr6	27643000	27643400	1
167	chr6	38519800	38520400	1
168	chr6	41408600	41410000	1
169	chr6	143027200	143027600	1
170	chr7	32886000	32886800	1
171	chr7	48338800	48339200	1
172	chr7	75949200	75949600	1
173	chr7	101616800	101617400	1
174	chr7	106767400	106767800	1
175	chr7	141258200	141258800	1
176	chr8	80635200	80636800	1
177	chr8	94763000	94763400	1
178	chr8	103823200	103823800	1
179	chr8	144109800	144110200	1
180	chr9	5278400	5278800	1
181	chr9	6185600	6186200	1
