id	Chromosome	Start	End	strand
1	chr2	130691391	130693390	1
2	chr17	47225974	47227973	1
3	chr14	106358920	106360919	1
4	chr14	53195398	53197397	1
5	chr7	148393506	148395505	1
6	chr7	152304898	152306897	1
7	chr6	159239945	159241944	1
8	chr5	122109191	122111190	1
9	chr4	14112092	14114091	1
10	chr21	34099860	34101859	1
11	chr21	34098926	34100925	1
12	chr19	46285311	46287310	1
13	chr19	48321203	48323202	1
14	chr19	55400539	55402538	1
15	chr18	23532933	23534932	1
16	chr15	22715105	22717104	1
17	chr14	21979018	21981017	1
18	chr14	53634272	53636271	1
19	chr12	113414700	113416699	1
20	chr12	84843158	84845157	1
21	chr11	119203737	119205736	1
22	chr10	62760699	62762698	1
23	chr1	201978982	201980981	1
24	chr1	201978998	201980997	1
25	chr1	18432740	18434739	1
26	chr1	246688832	246690831	1
27	chr1	29203349	29205348	1
28	chr19	45999820	46001819	1
29	chr17	76493411	76495410	1
30	chr20	48787587	48789586	1
31	chr10	74823384	74825383	1
32	chr12	124117814	124119813	1
33	chr1	85462297	85464296	1
34	chr5	21340985	21342984	1
35	chr5	21340442	21342441	1
36	chr22	23855290	23857289	1
37	chr12	124116875	124118874	1
38	chr9	79685516	79687515	1
39	chr7	99474181	99476180	1
40	chr6	25031011	25033010	1
41	chr6	30071517	30073516	1
42	chr6	86158309	86160308	1
43	chr6	33064573	33066572	1
44	chr6	109803941	109805940	1
45	chr5	115780331	115782330	1
46	chr4	156297623	156299622	1
47	chr22	19417925	19419924	1
48	chr21	39333468	39335467	1
49	chr20	18810298	18812297	1
50	chr2	220769111	220771110	1
51	chr2	230135502	230137501	1
52	chr2	34607355	34609354	1
53	chr2	200715397	200717396	1
54	chr19	50177543	50179542	1
55	chr19	50920695	50922694	1
56	chr17	27076598	27078597	1
57	chr17	5674054	5676053	1
58	chr15	64987321	64989320	1
59	chr12	4647175	4649174	1
60	chr12	4646450	4648449	1
61	chr11	3009593	3011592	1
62	chr11	18432354	18434353	1
63	chr1	224175357	224177356	1
64	chr2	130691391	130693390	0
65	chr17	47225974	47227973	0
66	chr14	106358920	106360919	0
67	chr14	53195398	53197397	0
68	chr7	148393506	148395505	0
69	chr7	152304898	152306897	0
70	chr6	159239945	159241944	0
71	chr5	122109191	122111190	0
72	chr4	14112092	14114091	0
73	chr21	34099860	34101859	0
74	chr21	34098926	34100925	0
75	chr19	46285311	46287310	0
76	chr19	48321203	48323202	0
77	chr19	55400539	55402538	0
78	chr18	23532933	23534932	0
79	chr15	22715105	22717104	0
80	chr14	21979018	21981017	0
81	chr14	53634272	53636271	0
82	chr12	113414700	113416699	0
83	chr12	84843158	84845157	0
84	chr11	119203737	119205736	0
85	chr10	62760699	62762698	0
86	chr1	201978982	201980981	0
87	chr1	201978998	201980997	0
88	chr1	18432740	18434739	0
89	chr1	246688832	246690831	0
90	chr1	29203349	29205348	0
91	chr19	45999820	46001819	0
92	chr17	76493411	76495410	0
93	chr20	48787587	48789586	0
94	chr10	74823384	74825383	0
95	chr12	124117814	124119813	0
96	chr1	85462297	85464296	0
97	chr5	21340985	21342984	0
98	chr5	21340442	21342441	0
99	chr22	23855290	23857289	0
100	chr12	124116875	124118874	0
101	chr9	79685516	79687515	0
102	chr7	99474181	99476180	0
103	chr6	25031011	25033010	0
104	chr6	30071517	30073516	0
105	chr6	86158309	86160308	0
106	chr6	33064573	33066572	0
107	chr6	109803941	109805940	0
108	chr5	115780331	115782330	0
109	chr4	156297623	156299622	0
110	chr22	19417925	19419924	0
111	chr21	39333468	39335467	0
112	chr20	18810298	18812297	0
113	chr2	220769111	220771110	0
114	chr2	230135502	230137501	0
115	chr2	34607355	34609354	0
116	chr2	200715397	200717396	0
117	chr19	50177543	50179542	0
118	chr19	50920695	50922694	0
119	chr17	27076598	27078597	0
120	chr17	5674054	5676053	0
121	chr15	64987321	64989320	0
122	chr12	4647175	4649174	0
123	chr12	4646450	4648449	0
124	chr11	3009593	3011592	0
125	chr11	18432354	18434353	0
126	chr1	224175357	224177356	0
