id	Chromosome	Start	End	strand
1	chr17	36856400	36857200	1
2	chr7	148144800	148145000	1
3	chr7	150483000	150484600	1
4	chr8	28327600	28328000	1
5	chr11	133137800	133139000	1
6	chr20	17837400	17838400	1
7	chr9	199600	200000	1
8	chr9	90149600	90150600	1
9	chr16	24986800	24987200	1
10	chr5	139397400	139397800	1
11	chr5	149979800	149980000	1
12	chr8	1449800	1450600	1
13	chr8	70832600	70833000	1
14	chr9	21311800	21312200	1
15	chr10	90694800	90695800	1
16	chr11	12830200	12830800	1
17	chr15	31459200	31459600	1
18	chr18	59962800	59964400	1
19	chr5	179175000	179175600	1
20	chr9	5600400	5600600	1
21	chr17	38267600	38268400	1
22	chr17	2025800	2027600	1
23	chr9	90095600	90096000	1
24	chr17	62140200	62141000	1
25	chr2	113390800	113391000	1
26	chr9	38672600	38673000	1
27	chr12	113414600	113415200	1
28	chr6	44003000	44004000	1
29	chr9	93684600	93685600	1
30	chr2	95727200	95728400	1
31	chr3	129574200	129575400	1
32	chr4	38081000	38081200	1
33	chr10	103429800	103430000	1
34	chr10	18872000	18872600	1
35	chr11	64916800	64917800	1
36	chr5	64340200	64340600	1
37	chr5	171744600	171745400	1
38	chr11	128344200	128344400	1
39	chr17	28035000	28035800	1
40	chr20	35994400	35995600	1
41	chr13	99141000	99141600	1
42	chr18	11050000	11050200	1
43	chr9	108304000	108304400	1
44	chr11	187600	189000	1
45	chr1	161442800	161443400	1
46	chr3	58020400	58021400	1
47	chr14	50062600	50063000	1
48	chr7	55972400	55972600	1
49	chr10	92863400	92865400	1
50	chr17	36856400	36857200	0
51	chr7	148144800	148145000	0
52	chr7	150483000	150484600	0
53	chr8	28327600	28328000	0
54	chr11	133137800	133139000	0
55	chr20	17837400	17838400	0
56	chr9	199600	200000	0
57	chr9	90149600	90150600	0
58	chr16	24986800	24987200	0
59	chr5	139397400	139397800	0
60	chr5	149979800	149980000	0
61	chr8	1449800	1450600	0
62	chr8	70832600	70833000	0
63	chr9	21311800	21312200	0
64	chr10	90694800	90695800	0
65	chr11	12830200	12830800	0
66	chr15	31459200	31459600	0
67	chr18	59962800	59964400	0
68	chr5	179175000	179175600	0
69	chr9	5600400	5600600	0
70	chr17	38267600	38268400	0
71	chr17	2025800	2027600	0
72	chr9	90095600	90096000	0
73	chr17	62140200	62141000	0
74	chr2	113390800	113391000	0
75	chr9	38672600	38673000	0
76	chr12	113414600	113415200	0
77	chr6	44003000	44004000	0
78	chr9	93684600	93685600	0
79	chr2	95727200	95728400	0
80	chr3	129574200	129575400	0
81	chr4	38081000	38081200	0
82	chr10	103429800	103430000	0
83	chr10	18872000	18872600	0
84	chr11	64916800	64917800	0
85	chr5	64340200	64340600	0
86	chr5	171744600	171745400	0
87	chr11	128344200	128344400	0
88	chr17	28035000	28035800	0
89	chr20	35994400	35995600	0
90	chr13	99141000	99141600	0
91	chr18	11050000	11050200	0
92	chr9	108304000	108304400	0
93	chr11	187600	189000	0
94	chr1	161442800	161443400	0
95	chr3	58020400	58021400	0
96	chr14	50062600	50063000	0
97	chr7	55972400	55972600	0
98	chr10	92863400	92865400	0
99	chr3	57048000	57048800	1
100	chr17	13427800	13428000	1
101	chr17	36856400	36857000	1
102	chr2	28578000	28579400	1
103	chr3	47825800	47826000	1
104	chr5	132127600	132128200	1
105	chr7	2037800	2038000	1
106	chr7	129696000	129696600	1
107	chr8	41926400	41926800	1
108	chr15	35265000	35265200	1
109	chr15	63489600	63490200	1
110	chr22	31760600	31761000	1
111	chr2	127407200	127408400	1
112	chr12	34496200	34498600	1
113	chr22	30121800	30123600	1
114	chr1	52041200	52041800	1
115	chr1	144048400	144048800	1
116	chr1	205216800	205217800	1
117	chr3	186715400	186717000	1
118	chr4	129268400	129268600	1
119	chr5	180434600	180435600	1
120	chr6	6755400	6755600	1
121	chr6	42110400	42111200	1
122	chr6	44175600	44176000	1
123	chr6	155183600	155183800	1
124	chr7	77164600	77165000	1
125	chr7	138065200	138065800	1
126	chr8	128788800	128789000	1
127	chr10	101426600	101427400	1
128	chr11	18433600	18434000	1
129	chr12	53516600	53517200	1
130	chr12	124997000	124998000	1
131	chr13	111138400	111139600	1
132	chr13	111155400	111155800	1
133	chr17	79902000	79903000	1
134	chr19	10446800	10447400	1
135	chr19	55471200	55471600	1
136	chr20	30173800	30174000	1
137	chr20	31225600	31226800	1
138	chr22	24626000	24626400	1
139	chr22	32147200	32147800	1
140	chr17	38268200	38268400	1
141	chr22	29004000	29005400	1
142	chr18	21019600	21019800	1
143	chr5	176983600	176983800	1
144	chr11	12836200	12836800	1
145	chr7	39869200	39870400	1
146	chr7	103622600	103624400	1
147	chr3	38031400	38033400	1
148	chr16	30867400	30867600	1
149	chr6	34484800	34485200	1
150	chr14	105860400	105861600	1
151	chr15	63479400	63479800	1
152	chr1	62193800	62194800	1
153	chr10	15494800	15497400	1
154	chr3	127843600	127844200	1
155	chr3	129574400	129575800	1
156	chr6	6759000	6759600	1
157	chr6	37217200	37217400	1
158	chr16	4424000	4424200	1
159	chr17	39688400	39689000	1
160	chr17	55158800	55161400	1
161	chr19	4624200	4624800	1
162	chr6	34432800	34433000	1
163	chr10	18871600	18872400	1
164	chr11	64917600	64917800	1
165	chr19	6087000	6089000	1
166	chr1	16553000	16554600	1
167	chr3	12727000	12727400	1
168	chr7	5367400	5368000	1
169	chr12	21503400	21503800	1
170	chr13	110419400	110419800	1
171	chr17	28035000	28036600	1
172	chr22	27031200	27032200	1
173	chr6	15872400	15873800	1
174	chr22	37599400	37600600	1
175	chr16	9100600	9100800	1
176	chr21	46321200	46321800	1
177	chr19	44303400	44304200	1
178	chr5	104566600	104566800	1
179	chr11	113551200	113551800	1
180	chr3	142947000	142948400	1
181	chr3	58020400	58020800	1
182	chr14	50062200	50062800	1
183	chr1	46982400	46983400	1
184	chr12	70073400	70073600	1
185	chr16	87983000	87983600	1
186	chr17	234800	235000	1
187	chr9	126773800	126774800	1
188	chr3	57048000	57048800	0
189	chr17	13427800	13428000	0
190	chr17	36856400	36857000	0
191	chr2	28578000	28579400	0
192	chr3	47825800	47826000	0
193	chr5	132127600	132128200	0
194	chr7	2037800	2038000	0
195	chr7	129696000	129696600	0
196	chr8	41926400	41926800	0
197	chr15	35265000	35265200	0
198	chr15	63489600	63490200	0
199	chr22	31760600	31761000	0
200	chr2	127407200	127408400	0
201	chr12	34496200	34498600	0
202	chr22	30121800	30123600	0
203	chr1	52041200	52041800	0
204	chr1	144048400	144048800	0
205	chr1	205216800	205217800	0
206	chr3	186715400	186717000	0
207	chr4	129268400	129268600	0
208	chr5	180434600	180435600	0
209	chr6	6755400	6755600	0
210	chr6	42110400	42111200	0
211	chr6	44175600	44176000	0
212	chr6	155183600	155183800	0
213	chr7	77164600	77165000	0
214	chr7	138065200	138065800	0
215	chr8	128788800	128789000	0
216	chr10	101426600	101427400	0
217	chr11	18433600	18434000	0
218	chr12	53516600	53517200	0
219	chr12	124997000	124998000	0
220	chr13	111138400	111139600	0
221	chr13	111155400	111155800	0
222	chr17	79902000	79903000	0
223	chr19	10446800	10447400	0
224	chr19	55471200	55471600	0
225	chr20	30173800	30174000	0
226	chr20	31225600	31226800	0
227	chr22	24626000	24626400	0
228	chr22	32147200	32147800	0
229	chr17	38268200	38268400	0
230	chr22	29004000	29005400	0
231	chr18	21019600	21019800	0
232	chr5	176983600	176983800	0
233	chr11	12836200	12836800	0
234	chr7	39869200	39870400	0
235	chr7	103622600	103624400	0
236	chr3	38031400	38033400	0
237	chr16	30867400	30867600	0
238	chr6	34484800	34485200	0
239	chr14	105860400	105861600	0
240	chr15	63479400	63479800	0
241	chr1	62193800	62194800	0
242	chr10	15494800	15497400	0
243	chr3	127843600	127844200	0
244	chr3	129574400	129575800	0
245	chr6	6759000	6759600	0
246	chr6	37217200	37217400	0
247	chr16	4424000	4424200	0
248	chr17	39688400	39689000	0
249	chr17	55158800	55161400	0
250	chr19	4624200	4624800	0
251	chr6	34432800	34433000	0
252	chr10	18871600	18872400	0
253	chr11	64917600	64917800	0
254	chr19	6087000	6089000	0
255	chr1	16553000	16554600	0
256	chr3	12727000	12727400	0
257	chr7	5367400	5368000	0
258	chr12	21503400	21503800	0
259	chr13	110419400	110419800	0
260	chr17	28035000	28036600	0
261	chr22	27031200	27032200	0
262	chr6	15872400	15873800	0
263	chr22	37599400	37600600	0
264	chr16	9100600	9100800	0
265	chr21	46321200	46321800	0
266	chr19	44303400	44304200	0
267	chr5	104566600	104566800	0
268	chr11	113551200	113551800	0
269	chr3	142947000	142948400	0
270	chr3	58020400	58020800	0
271	chr14	50062200	50062800	0
272	chr1	46982400	46983400	0
273	chr12	70073400	70073600	0
274	chr16	87983000	87983600	0
275	chr17	234800	235000	0
276	chr9	126773800	126774800	0
