id	Chromosome	Start	End	symbol	entrezID	mean.mean.CMP	mean.mean.MLP	mean.mean.diff	difference	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.CMP	mean.num.na.MLP	mean.mean.covg.CMP	mean.mean.covg.MLP	mean.nsamples.covg.thres5.CMP	mean.nsamples.covg.thres5.MLP
ENSG00000231966	chr1	179804760	179806759	NA	NA	0.6	1	-0.4	-0.4	-0.727474145	2.09E-17	2.85E-15	2092	1	2	1	1.666666667	1	1	0
ENSG00000087266	chr4	2793250	2795249	SH3BP2	6452	0	0.407407407	-0.407407407	-0.407407407	-3.731881871	9.82E-14	1.20E-11	798	3	0.333333333	0.333333333	2.555555556	2.222222222	0.666666667	0
ENSG00000179755	chr16	34255007	34257006	NA	NA	0.5	0.916666667	-0.416666667	-0.416666667	-0.855695936	1.84E-18	3.72E-16	1853	2	1.5	0	0.833333333	1.5	0	0
ENSG00000161960	chr17	7474524	7476523	EIF4A1	1973;26781;652965;652966	0.583333333	1	-0.416666667	-0.416666667	-0.981185968	1.89E-13	2.26E-11	1662	3	1	0	1.111111111	2.333333333	0	0.333333333
ENSG00000264772	chr17	7474644	7476643	SNORA67	26781;101928634	0.583333333	1	-0.416666667	-0.416666667	-0.981185968	1.89E-13	2.26E-11	1662	3	1	0	1.111111111	2.333333333	0	0.333333333
ENSG00000231202	chr7	38335335	38337334	TRGVB	NA	0.583333333	1	-0.416666667	-0.416666667	-0.767440553	2.24E-05	0.001232608	2027	1	1	0	1.666666667	2	0	0
ENSG00000054796	chr20	55903315	55905314	SPO11	23626	0.583333333	1	-0.416666667	-0.416666667	-0.767440553	2.24E-05	0.001232608	2027	2	2	1	0.833333333	0.666666667	0	0
ENSG00000146267	chr6	99797439	99799438	FAXC	84553	0.577777778	1	-0.422222222	-0.422222222	-0.793755216	0.000964161	0.04494384	1974	2	0.5	0	2.166666667	2.666666667	0.5	0.5
ENSG00000185633	chr12	57633999	57635998	NDUFA4L2	56901	0.572222222	1	-0.427777778	-0.427777778	-0.794713483	9.87E-05	0.005100261	1973	1	0	0	4	3	1	1
ENSG00000145248	chr4	48483860	48485859	SLC10A4	201780	0.041666667	0.472222222	-0.430555556	-0.430555555	-3.852432141	7.70E-19	1.93E-16	741	2	0	1	2.833333333	1.833333333	0.5	0
ENSG00000179335	chr15	74889341	74891340	CLK3	1198	0	0.444444444	-0.444444444	-0.444444444	-5.506032031	1.43E-05	0.000801965	728	1	0	0	3	3	0	0
ENSG00000174307	chr1	201437866	201439865	PHLDA3	23612	0.5	0.95	-0.4375	-0.45	-3.226534749	6.96E-06	0.00040915	732	5	1.6	0.4	0.733333333	1.666666667	0	0.2
ENSG00000171360	chr17	39596674	39598673	KRT38	8687	0.041666667	0.5	-0.458333333	-0.458333333	-1.717909531	3.15E-19	8.78E-17	850	2	0	1	2.666666667	1.166666667	0.5	0
ENSG00000124181	chr20	39764100	39766099	PLCG1	5335	0.537037037	1	-0.462962963	-0.462962963	-0.905267886	2.79E-13	3.17E-11	1777	3	1	0.333333333	1.444444444	1.666666667	0	0.333333333
