id	Chromosome	Start	End	strand
1	chr6	29862931	29864930	1
2	chr12	49370898	49372897	1
3	chr20	57327907	57329906	1
4	chr16	1050427	1052426	1
5	chr15	42118783	42120782	1
6	chr15	42118783	42120782	1
7	chr15	42118793	42120792	1
8	chr19	10395285	10397284	1
9	chr2	386912	388911	1
10	chr1	44411724	44413723	1
11	chr9	13022392	13024391	1
12	chr8	25902414	25904413	1
13	chr5	177365123	177367122	1
14	chr14	74296339	74298338	1
15	chr4	48490769	48492768	1
16	chr4	83194724	83196723	1
17	chr3	133969190	133971189	1
18	chr9	129621444	129623443	1
19	chr6	58398913	58400912	1
20	chr3	195716690	195718689	1
21	chr7	63559183	63561182	1
22	chr16	3066946	3068945	1
23	chr3	194303240	194305239	1
24	chr2	222435726	222437725	1
25	chr2	219574068	219576067	1
26	chr4	567702	569701	1
27	chr2	130735735	130737734	1
28	chr1	247373659	247375658	1
29	chr20	61272297	61274296	1
30	chr9	116916340	116918339	1
31	chr9	132369663	132371662	1
32	chr9	98636483	98638482	1
33	chr9	128508124	128510123	1
34	chr8	37918899	37920898	1
35	chr8	42734879	42736878	1
36	chr8	42804139	42806138	1
37	chr8	142063889	142065888	1
38	chr8	38757253	38759252	1
39	chr8	107280470	107282469	1
40	chr8	107280872	107282871	1
41	chr8	107280973	107282972	1
42	chr8	144869590	144871589	1
43	chr7	6521422	6523421	1
44	chr7	44924461	44926460	1
45	chr7	156990706	156992705	1
46	chr7	5535049	5537048	1
47	chr7	101969446	101971445	1
48	chr7	55865674	55867673	1
49	chr7	43964537	43966536	1
50	chr7	100661853	100663852	1
51	chr7	23528592	23530591	1
52	chr6	30711832	30713831	1
53	chr6	170095844	170097843	1
54	chr6	56707300	56709299	1
55	chr6	29623258	29625257	1
56	chr6	36589790	36591789	1
57	chr6	153603369	153605368	1
58	chr6	31494994	31496993	1
59	chr5	178449253	178451252	1
60	chr5	177396817	177398816	1
61	chr5	139535404	139537403	1
62	chr5	132072831	132074830	1
63	chr5	157116775	157118774	1
64	chr5	137514176	137516175	1
65	chr4	37701125	37703124	1
66	chr4	25655423	25657422	1
67	chr3	49459687	49461686	1
68	chr3	49458879	49460878	1
69	chr3	48471095	48473094	1
70	chr3	88106924	88108923	1
71	chr22	24890543	24892542	1
72	chr22	32341005	32343004	1
73	chr22	30640484	30642483	1
74	chr22	38243282	38245281	1
75	chr22	38243375	38245374	1
76	chr22	43484935	43486934	1
77	chr21	32253375	32255374	1
78	chr20	18591312	18593311	1
79	chr20	54966894	54968893	1
80	chr2	98018141	98020140	1
81	chr2	27254278	27256277	1
82	chr2	124782251	124784250	1
83	chr2	124781364	124783363	1
84	chr2	3595048	3597047	1
85	chr2	198363218	198365217	1
86	chr2	198363637	198365636	1
87	chr2	130902208	130904207	1
88	chr2	225449611	225451610	1
89	chr2	227698797	227700796	1
90	chr2	128568262	128570261	1
91	chr19	34616378	34618377	1
92	chr19	55400539	55402538	1
93	chr19	46842762	46844761	1
94	chr19	35068107	35070106	1
95	chr19	15574883	15576882	1
96	chr19	39018696	39020695	1
97	chr19	45407511	45409510	1
98	chr19	18157947	18159946	1
99	chr19	7659288	7661287	1
100	chr19	48970789	48972788	1
101	chr19	16283837	16285836	1
102	chr18	24403444	24405443	1
103	chr17	60625587	60627586	1
104	chr17	8126862	8128861	1
105	chr17	6338020	6340019	1
106	chr17	654400	656399	1
107	chr17	1947763	1949762	1
108	chr17	58041623	58043622	1
109	chr17	779642	781641	1
110	chr17	28256795	28258794	1
111	chr17	42580299	42582298	1
112	chr17	48545828	48547827	1
113	chr16	30885043	30887042	1
114	chr16	24681884	24683883	1
115	chr16	74488939	74490938	1
116	chr16	30290173	30292172	1
117	chr16	74454869	74456868	1
118	chr16	74454518	74456517	1
119	chr15	22715105	22717104	1
120	chr15	60770860	60772859	1
121	chr15	66331071	66333070	1
122	chr15	78883119	78885118	1
123	chr15	90198183	90200182	1
124	chr14	60679131	60681130	1
125	chr14	22942806	22944805	1
126	chr14	22943796	22945795	1
127	chr14	22944043	22946042	1
128	chr14	92525378	92527377	1
129	chr14	74223950	74225949	1
130	chr14	91032339	91034338	1
131	chr12	34135002	34137001	1
132	chr12	50704612	50706611	1
133	chr12	122455828	122457827	1
134	chr12	54332928	54334927	1
135	chr12	9217167	9219166	1
136	chr12	27933501	27935500	1
137	chr12	101858983	101860982	1
138	chr12	118682377	118684376	1
139	chr12	49658040	49660039	1
140	chr12	80084378	80086377	1
141	chr12	95610759	95612758	1
142	chr12	95610022	95612021	1
143	chr11	119241916	119243915	1
144	chr11	66479981	66481980	1
145	chr10	99790086	99792085	1
146	chr10	48188112	48190111	1
147	chr10	17658877	17660876	1
148	chr1	234727521	234729520	1
149	chr1	243264536	243266535	1
150	chr1	155247783	155249782	1
151	chr1	233462014	233464013	1
152	chr1	155021542	155023541	1
153	chr1	23569758	23571757	1
154	chr1	41488410	41490409	1
155	chr1	104158499	104160498	1
156	chr1	114447324	114449323	1
157	chr1	121131756	121133755	1
158	chr1	150253453	150255452	1
159	chr14	95236063	95238062	1
160	chr6	155052959	155054958	1
161	chr8	54934590	54936589	1
162	chr7	158622445	158624444	1
163	chr17	72419490	72421489	1
164	chr5	122737539	122739538	1
165	chr9	134359552	134361551	1
166	chr20	61436440	61438439	1
167	chr2	130750179	130752178	1
168	chr12	6552533	6554532	1
169	chr18	14828665	14830664	1
170	chr2	43822686	43824685	1
171	chr7	27135116	27137115	1
172	chr1	19921973	19923972	1
173	chr1	19921977	19923976	1
174	chr2	43998990	44000989	1
175	chr2	43999678	44001677	1
176	chr11	107798520	107800519	1
177	chr1	247334819	247336818	1
178	chr8	140941916	140943915	1
179	chr20	31278317	31280316	1
180	chr20	58151064	58153063	1
181	chr2	127412009	127414008	1
182	chr17	57407550	57409549	1
183	chr16	50726014	50728013	1
184	chr10	13570475	13572474	1
185	chr1	230730830	230732829	1
186	chr1	16067417	16069416	1
187	chr2	235859117	235861116	1
188	chr2	130748962	130750961	1
189	chr19	45999820	46001819	1
190	chr8	142443145	142445144	1
191	chr20	36148117	36150116	1
192	chr7	113724882	113726881	1
193	chr5	173172715	173174714	1
194	chr22	42664259	42666258	1
195	chr21	34890916	34892915	1
196	chr2	3751244	3753243	1
197	chr2	20864924	20866923	1
198	chr14	21737154	21739153	1
199	chr14	101326864	101328863	1
200	chr11	124542194	124544193	1
201	chr1	54878653	54880652	1
202	chr19	13259729	13261728	1
203	chr8	131455407	131457406	1
204	chr9	130157921	130159920	1
205	chr22	23855290	23857289	1
206	chr16	30995019	30997018	1
207	chr16	46864824	46866823	1
208	chr9	21159836	21161835	1
209	chr5	98860667	98862666	1
210	chr19	39858293	39860292	1
211	chr19	14640083	14642082	1
212	chr1	54479827	54481826	1
213	chr6	29689052	29691051	1
214	chr3	193720949	193722948	1
215	chr18	65182283	65184282	1
216	chr11	61524628	61526627	1
217	chr11	107797729	107799728	1
218	chr3	138739269	138741268	1
219	chr9	82476434	82478433	1
220	chr9	88746037	88748036	1
221	chr9	98620686	98622685	1
222	chr9	115774008	115776007	1
223	chr9	132881585	132883584	1
224	chr9	34915672	34917671	1
225	chr9	37459207	37461206	1
226	chr9	79033252	79035251	1
227	chr9	79033350	79035349	1
228	chr9	91585757	91587756	1
229	chr9	91585053	91587052	1
230	chr9	100571791	100573790	1
231	chr9	131019569	131021568	1
232	chr9	136183129	136185128	1
233	chr8	12900359	12902358	1
234	chr8	28558482	28560481	1
235	chr8	49468502	49470501	1
236	chr8	143169688	143171687	1
237	chr7	44923052	44925051	1
238	chr7	74186809	74188808	1
239	chr7	6898962	6900961	1
240	chr7	51680447	51682446	1
241	chr7	72395164	72397163	1
242	chr6	4609390	4611389	1
243	chr6	29548526	29550525	1
244	chr6	29548785	29550784	1
245	chr6	45984982	45986981	1
246	chr6	81151561	81153560	1
247	chr6	157787456	157789455	1
248	chr6	160698171	160700170	1
249	chr6	30071517	30073516	1
250	chr6	134212575	134214574	1
251	chr6	29855546	29857545	1
252	chr5	5049111	5051110	1
253	chr5	52500891	52502890	1
254	chr5	77516508	77518507	1
255	chr5	150284046	150286045	1
256	chr5	172446231	172448230	1
257	chr5	172652927	172654926	1
258	chr5	180110266	180112265	1
259	chr5	80596880	80598879	1
260	chr5	80595909	80597908	1
261	chr4	106816644	106818643	1
262	chr4	42563943	42565942	1
263	chr4	84455567	84457566	1
264	chr4	95128208	95130207	1
265	chr4	95127262	95129261	1
266	chr3	133291074	133293073	1
267	chr3	186640043	186642042	1
268	chr3	151102101	151104100	1
269	chr3	151645464	151647463	1
270	chr3	49377646	49379645	1
271	chr3	129062754	129064753	1
272	chr22	30642341	30644340	1
273	chr22	38450818	38452817	1
274	chr22	30162501	30164500	1
275	chr22	30161858	30163857	1
276	chr22	33255921	33257920	1
277	chr20	37375585	37377584	1
278	chr20	54965927	54967926	1
279	chr2	24297896	24299895	1
280	chr2	62115440	62117439	1
281	chr2	179440330	179442329	1
282	chr2	209118471	209120470	1
283	chr2	128823874	128825873	1
284	chr2	34607355	34609354	1
285	chr2	62080779	62082778	1
286	chr2	73439850	73441849	1
287	chr2	84516306	84518305	1
288	chr2	99223542	99225541	1
289	chr2	108529904	108531903	1
290	chr2	120435243	120437242	1
291	chr2	133051451	133053450	1
292	chr2	154302898	154304897	1
293	chr2	200715397	200717396	1
294	chr2	203858417	203860416	1
295	chr2	219133615	219135614	1
296	chr2	234543600	234545599	1
297	chr2	239847466	239849465	1
298	chr19	10396143	10398142	1
299	chr19	19313734	19315733	1
300	chr19	23013503	23015502	1
301	chr19	28886836	28888835	1
302	chr19	14888854	14890853	1
303	chr19	33368828	33370827	1
304	chr19	50168633	50170632	1
305	chr18	65183718	65185717	1
306	chr18	56471000	56472999	1
307	chr17	7515764	7517763	1
308	chr17	7515882	7517881	1
309	chr17	27229590	27231589	1
310	chr17	27949426	27951425	1
311	chr17	61547465	61549464	1
312	chr17	62074211	62076210	1
313	chr16	30886145	30888144	1
314	chr16	86228287	86230286	1
315	chr16	5255589	5257588	1
316	chr16	15015159	15017158	1
317	chr16	48504545	48506544	1
318	chr15	40615917	40617916	1
319	chr15	44117661	44119660	1
320	chr15	45003015	45005014	1
321	chr15	45002175	45004174	1
322	chr15	65316926	65318925	1
323	chr15	65592457	65594456	1
324	chr15	97093111	97095110	1
325	chr15	65202601	65204600	1
326	chr15	75117388	75119387	1
327	chr15	76194700	76196699	1
328	chr14	102828754	102830753	1
329	chr14	102827800	102829799	1
330	chr14	42880276	42882275	1
331	chr14	45552681	45554680	1
332	chr14	45551802	45553801	1
333	chr14	49287063	49289062	1
334	chr14	50086904	50088903	1
335	chr14	74100145	74102144	1
336	chr14	90356632	90358631	1
337	chr13	113662485	113664484	1
338	chr13	107076621	107078620	1
339	chr12	31900675	31902674	1
340	chr12	100377933	100379932	1
341	chr12	105352023	105354022	1
342	chr12	123846915	123848914	1
343	chr12	19926885	19928884	1
344	chr12	50255456	50257455	1
345	chr12	58026639	58028638	1
346	chr12	80327181	80329180	1
347	chr12	130701203	130703202	1
348	chr11	30445599	30447598	1
349	chr11	57344054	57346053	1
350	chr11	62527516	62529515	1
351	chr11	69973903	69975902	1
352	chr11	73471683	73473682	1
353	chr11	116646093	116648092	1
354	chr10	69632590	69634589	1
355	chr10	85899839	85901838	1
356	chr10	92752877	92754876	1
357	chr10	119805615	119807614	1
358	chr10	119804290	119806289	1
359	chr1	29556955	29558954	1
360	chr1	67881397	67883396	1
361	chr1	94312207	94314206	1
362	chr1	108742972	108744971	1
363	chr1	108741048	108743047	1
364	chr1	117664710	117666709	1
365	chr1	17731756	17733755	1
366	chr1	35219148	35221147	1
367	chr1	181159786	181161785	1
368	chr1	193026046	193028045	1
369	chr1	193027052	193029051	1
