id,Chromosome,Start,End,symbol,entrezID,mean.mean.CLP,mean.mean.GMP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CLP,mean.num.na.GMP,mean.mean.covg.CLP,mean.mean.covg.GMP,mean.nsamples.covg.thres5.CLP,mean.nsamples.covg.thres5.GMP
ENSG00000235949,chr2,155553830,155555829,NA,NA,1,0,1,1,6.658211483,7.53216E-33,1.88092E-29,5,2,1,2.5,1.166666667,0.166666667,0,0
ENSG00000162989,chr2,155553311,155555310,KCNJ3,3760,1,0,1,1,6.658211483,7.53216E-33,1.88092E-29,5,2,1,2.5,1.166666667,0.166666667,0,0
ENSG00000146243,chr6,79575689,79577688,IRAK1BP1,134728,1,0,1,1,6.658211483,7.53216E-33,1.88092E-29,5,1,0,2,1.333333333,0.333333333,0,0
ENSG00000201541,chr16,24344369,24346368,NA,NA,1,0,1,1,6.658211483,7.53216E-33,1.88092E-29,5,1,0,2,1.333333333,0.333333333,0,0
ENSG00000267774,chr18,57362191,57364190,NA,NA,1,0,1,1,6.658211483,7.53216E-33,1.88092E-29,5,1,0,2,2,0.333333333,0,0
ENSG00000171456,chr20,30944655,30946654,ASXL1,171023,1,0,1,1,6.658211483,7.53216E-33,1.88092E-29,5,1,0,2,1.333333333,0.333333333,0,0
ENSG00000198477,chr22,22863006,22865005,ZNF280B,140883,1,0,1,1,6.658211483,1.38654E-19,1.07306E-16,34,1,2,1,0.333333333,1,0,0
ENSG00000271707,chr2,60962351,60964350,ATP1B3P1,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000249780,chr4,12641762,12643761,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,1,0.333333333,0,0
ENSG00000248692,chr4,63030773,63032772,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,1,0.333333333,0,0
ENSG00000269893,chr4,119198364,119200363,SNHG8,677809;100093630,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000270638,chr6,146055206,146057205,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,3,1,2.666666667,0.888888889,0.111111111,0,0
ENSG00000270949,chr6,160527906,160529905,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,1,0.333333333,0,0
ENSG00000237639,chr7,57708727,57710726,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000230298,chr10,30864128,30866127,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000107957,chr10,105614802,105616801,SH3PXD2A,9644,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,2,1,2.5,1,0.166666667,0,0
ENSG00000256734,chr11,18471916,18473915,NA,NA,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,1,0.333333333,0,0
ENSG00000189253,chr11,89608686,89610685,TRIM64B,120146;642446;646754,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
ENSG00000086159,chr12,50359477,50361476,AQP6,363,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,1.333333333,0.333333333,0,0
ENSG00000135447,chr12,54981944,54983943,PPP1R1A,5502,1,0,1,1,6.658211483,9.66098E-18,3.79256E-15,53,1,1,2,0.666666667,0.333333333,0,0
