id	Chromosome	Start	End	strand
1	chr9	45415477	45417476	1
2	chr8	7105375	7107374	1
3	chr8	23192184	23194183	1
4	chr8	87355044	87357043	1
5	chr8	127567641	127569640	1
6	chr8	66504208	66506207	1
7	chr8	66503466	66505465	1
8	chr7	20370871	20372870	1
9	chr7	115849047	115851046	1
10	chr7	44163458	44165457	1
11	chr7	73133503	73135502	1
12	chr7	158382808	158384807	1
13	chr6	34523611	34525610	1
14	chr6	41703498	41705497	1
15	chr6	53231968	53233967	1
16	chr6	90531514	90533513	1
17	chr6	158701795	158703794	1
18	chr6	33255579	33257578	1
19	chr6	84436274	84438273	1
20	chr5	69527319	69529318	1
21	chr4	3633256	3635255	1
22	chr4	88689234	88691233	1
23	chr4	154071994	154073993	1
24	chr3	16555034	16557033	1
25	chr3	45187415	45189414	1
26	chr3	84338905	84340904	1
27	chr3	122645469	122647468	1
28	chr3	93781734	93783733	1
29	chr3	93780260	93782259	1
30	chr3	141862796	141864795	1
31	chr22	35558797	35560796	1
32	chr22	43670461	43672460	1
33	chr22	22005059	22007058	1
34	chr2	173598502	173600501	1
35	chr2	90247239	90249238	1
36	chr19	34080095	34082094	1
37	chr18	77711165	77713164	1
38	chr17	9550478	9552477	1
39	chr17	10599411	10601410	1
40	chr17	17138933	17140932	1
41	chr17	27046068	27048067	1
42	chr17	8300645	8302644	1
43	chr17	72305430	72307429	1
44	chr16	225179	227178	1
45	chr16	227053	229052	1
46	chr15	32892830	32894829	1
47	chr14	23450968	23452967	1
48	chr14	23450407	23452406	1
49	chr14	101418186	101420185	1
50	chr14	78225673	78227672	1
51	chr14	93387925	93389924	1
52	chr13	73027606	73029605	1
53	chr13	96296458	96298457	1
54	chr12	1866678	1868677	1
55	chr12	6602508	6604507	1
56	chr12	43358425	43360424	1
57	chr12	130387712	130389711	1
58	chr11	11203461	11205460	1
59	chr11	50225832	50227831	1
60	chr11	4038678	4040677	1
61	chr11	102678148	102680147	1
62	chr10	77167415	77169414	1
63	chr10	16477442	16479441	1
64	chr1	110428387	110430386	1
65	chr1	27714472	27716471	1
66	chr1	36656016	36658015	1
67	chr1	157961563	157963562	1
68	chr1	49721583	49723582	1
69	chr1	7913073	7915072	1
70	chr1	143243664	143245663	1
71	chr1	149146380	149148379	1
