id,Chromosome,Start,End,mean.mean.CMP,mean.mean.MPP,Difference,mean.mean.diff,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CMP,mean.num.na.MPP,mean.mean.covg.CMP,mean.mean.covg.MPP,mean.nsamples.covg.thres5.CMP,mean.nsamples.covg.thres5.MPP
442128,chr6,2985600,2986800,1,0,1,1,6.658211483,2.58678E-63,4.53255E-59,2,1,0,0,4.666666667,1.333333333,2,0
270238,chr3,46580200,46581000,1,0,1,1,6.658211483,3.68919E-49,1.17531E-45,8,1,0,1,3,0.666666667,1,0
654216,chr8,126429600,126430400,1,0,1,1,6.658211483,3.68919E-49,1.17531E-45,8,1,0,1,2.333333333,0.666666667,0,0
865443,chr12,1573600,1573800,1,0,1,1,6.658211483,3.68919E-49,1.17531E-45,8,1,0,1,1.666666667,0.666666667,0,0
1075438,chr17,234800,235000,1,0,1,1,6.658211483,2.37592E-49,1.17531E-45,7,1,1,0,1.333333333,1.333333333,0,0
1185134,chr19,35411000,35411800,1,0,1,1,6.658211483,3.68919E-49,1.17531E-45,8,1,0,1,1.333333333,1,0,0
13322,chr1,14662000,14662600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,4,0.333333333,1,0
26609,chr1,27230000,27230600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1,0.333333333,0,0
55175,chr1,62193800,62194800,1,0,1,1,6.658211483,5.46531E-33,2.18269E-30,46,1,1,1,0.666666667,0.666666667,0,0
69490,chr1,109834200,109834600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2.333333333,0.333333333,1,0
76333,chr1,117661000,117661200,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,4.666666667,0.333333333,2,0
102150,chr1,180528800,180529200,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.666666667,0.333333333,0,0
184256,chr2,85534000,85534200,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2.666666667,0.333333333,0,0
201320,chr2,121695000,121696400,1,0,1,1,6.658211483,5.46531E-33,2.18269E-30,46,1,1,1,2,0.666666667,0,0
219764,chr2,173927200,173927600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.333333333,0.333333333,0,0
290196,chr3,129296800,129297200,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,3,0.333333333,0,0
295260,chr3,141942000,141942600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
312252,chr3,193462400,193463600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1,0.333333333,0,0
438190,chr5,180313600,180313800,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.333333333,0.333333333,0,0
465982,chr6,34523400,34524800,1,0,1,1,6.658211483,5.46531E-33,2.18269E-30,46,1,1,1,0.666666667,0.666666667,0,0
468836,chr6,37031000,37032400,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.666666667,0.333333333,0,0
473348,chr6,42110400,42111200,1,0,1,1,6.658211483,5.46531E-33,2.18269E-30,46,1,1,1,0.666666667,0.666666667,0,0
487817,chr6,91123600,91124000,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,3,0.333333333,1,0
439613,chr6,159251800,159253000,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
521895,chr6,168211800,168213000,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.666666667,0.333333333,0,0
529299,chr7,4718600,4719000,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,2,0,2.5,1.5,0.166666667,0,0
531007,chr7,6288000,6288600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
568729,chr7,100787000,100787600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1,0.333333333,0,0
593767,chr7,139533000,139533600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.333333333,0.333333333,0,0
613596,chr8,10625200,10625800,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.666666667,0.333333333,0,0
653737,chr8,125949200,125950600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.333333333,0.333333333,0,0
704891,chr9,135869000,135870400,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,3,0.333333333,0,0
767273,chr10,65262000,65262400,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1,0.333333333,0,0
856553,chr11,119351600,119351800,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
860806,chr11,126289200,126289800,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
871396,chr12,14410400,14411800,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
884907,chr12,53352200,53352400,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.666666667,0.333333333,0,0
919257,chr12,124871200,124871600,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.666666667,0.666666667,0,0
929349,chr13,30982200,30982800,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,1.333333333,0.333333333,0,0
939623,chr13,95619600,95620000,1,0,1,1,6.658211483,7.34934E-33,2.18269E-30,59,1,0,2,2,0.333333333,0,0
