id	Chromosome	Start	End	strand
1	chr2	155553830	155555829	1
2	chr2	155553311	155555310	1
3	chr6	79575689	79577688	1
4	chr16	24344369	24346368	1
5	chr18	57362191	57364190	1
6	chr20	30944655	30946654	1
7	chr22	22863006	22865005	1
8	chr2	60962351	60964350	1
9	chr4	12641762	12643761	1
10	chr4	63030773	63032772	1
11	chr4	119198364	119200363	1
12	chr6	146055206	146057205	1
13	chr6	160527906	160529905	1
14	chr7	57708727	57710726	1
15	chr10	30864128	30866127	1
16	chr10	105614802	105616801	1
17	chr11	18471916	18473915	1
18	chr11	89608686	89610685	1
19	chr12	50359477	50361476	1
20	chr12	54981944	54983943	1
21	chr13	53830712	53832711	1
22	chr15	30904574	30906573	1
23	chr20	23618611	23620610	1
24	chr11	50366713	50368712	1
25	chr1	54982433	54984432	1
26	chr8	57165432	57167431	1
27	chr4	40191173	40193172	1
28	chr8	117415496	117417495	1
29	chr20	3995730	3997729	1
30	chr16	71842605	71844604	1
31	chr1	32108150	32110149	1
32	chr19	34616378	34618377	1
33	chr17	26592896	26594895	1
34	chr3	48332366	48334365	1
35	chr7	54645988	54647987	1
36	chr21	45970889	45972888	1
37	chr16	34785780	34787779	1
38	chr18	47397537	47399536	1
39	chr4	186947241	186949240	1
40	chr6	36355665	36357664	1
41	chr1	8483205	8485204	1
42	chr1	172113435	172115434	1
43	chr1	172113285	172115284	1
44	chr2	26216163	26218162	1
45	chr2	61388741	61390740	1
46	chr6	117995165	117997164	1
47	chr9	69476381	69478380	1
48	chr1	78225038	78227037	1
49	chr1	212001688	212003687	1
50	chr8	7579113	7581112	1
51	chr12	126841080	126843079	1
52	chr13	19715622	19717621	1
53	chr15	70114696	70116695	1
54	chr16	32126521	32128520	1
55	chr22	23733458	23735457	1
56	chr22	40827640	40829639	1
57	chr8	121822959	121824958	1
58	chr7	57710326	57712325	1
59	chr8	135724793	135726792	1
60	chr19	56824572	56826571	1
61	chr4	25687581	25689580	1
62	chr9	91585757	91587756	1
63	chr9	91585053	91587052	1
64	chr6	52926101	52928100	1
65	chr3	112736879	112738878	1
66	chr7	99773686	99775685	1
67	chr5	159683760	159685759	1
68	chr3	44801709	44803708	1
69	chr2	155553830	155555829	0
70	chr2	155553311	155555310	0
71	chr6	79575689	79577688	0
72	chr16	24344369	24346368	0
73	chr18	57362191	57364190	0
74	chr20	30944655	30946654	0
75	chr22	22863006	22865005	0
76	chr2	60962351	60964350	0
77	chr4	12641762	12643761	0
78	chr4	63030773	63032772	0
79	chr4	119198364	119200363	0
80	chr6	146055206	146057205	0
81	chr6	160527906	160529905	0
82	chr7	57708727	57710726	0
83	chr10	30864128	30866127	0
84	chr10	105614802	105616801	0
85	chr11	18471916	18473915	0
86	chr11	89608686	89610685	0
87	chr12	50359477	50361476	0
88	chr12	54981944	54983943	0
89	chr13	53830712	53832711	0
90	chr15	30904574	30906573	0
91	chr20	23618611	23620610	0
92	chr11	50366713	50368712	0
93	chr1	54982433	54984432	0
94	chr8	57165432	57167431	0
95	chr4	40191173	40193172	0
96	chr8	117415496	117417495	0
97	chr20	3995730	3997729	0
98	chr16	71842605	71844604	0
99	chr1	32108150	32110149	0
100	chr19	34616378	34618377	0
101	chr17	26592896	26594895	0
102	chr3	48332366	48334365	0
103	chr7	54645988	54647987	0
104	chr21	45970889	45972888	0
105	chr16	34785780	34787779	0
106	chr18	47397537	47399536	0
107	chr4	186947241	186949240	0
108	chr6	36355665	36357664	0
109	chr1	8483205	8485204	0
110	chr1	172113435	172115434	0
111	chr1	172113285	172115284	0
112	chr2	26216163	26218162	0
113	chr2	61388741	61390740	0
114	chr6	117995165	117997164	0
115	chr9	69476381	69478380	0
116	chr1	78225038	78227037	0
117	chr1	212001688	212003687	0
118	chr8	7579113	7581112	0
119	chr12	126841080	126843079	0
120	chr13	19715622	19717621	0
121	chr15	70114696	70116695	0
122	chr16	32126521	32128520	0
123	chr22	23733458	23735457	0
124	chr22	40827640	40829639	0
125	chr8	121822959	121824958	0
126	chr7	57710326	57712325	0
127	chr8	135724793	135726792	0
128	chr19	56824572	56826571	0
129	chr4	25687581	25689580	0
130	chr9	91585757	91587756	0
131	chr9	91585053	91587052	0
132	chr6	52926101	52928100	0
133	chr3	112736879	112738878	0
134	chr7	99773686	99775685	0
135	chr5	159683760	159685759	0
136	chr3	44801709	44803708	0
