id,Chromosome,Start,End,mean.mean.CMP,mean.mean.MLP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CMP,mean.num.na.MLP,mean.mean.covg.CMP,mean.mean.covg.MLP,mean.nsamples.covg.thres5.CMP,mean.nsamples.covg.thres5.MLP
958704,chr17,36856400,36857200,1,0,1,1.00,6.658211483,3.78E-49,2.29E-45,3,1,0,1,1,1.666666667,0,0
500058,chr7,148144800,148145000,1,0,1,1.00,6.658211483,7.52E-33,3.18E-30,28,1,0,2,1.666666667,0.333333333,0,0
501621,chr7,150483000,150484600,1,0,1,1.00,6.658211483,5.59E-33,3.18E-30,22,1,1,1,0.666666667,0.666666667,0,0
515661,chr8,28327600,28328000,1,0,1,1.00,6.658211483,7.52E-33,3.18E-30,28,1,0,2,1.666666667,1.333333333,0,0
739739,chr11,133137800,133139000,1,0,1,1.00,6.658211483,5.59E-33,3.18E-30,22,1,1,1,1.666666667,1,0,0
1054020,chr20,17837400,17838400,1,0,1,1.00,6.658211483,7.52E-33,3.18E-30,28,1,0,2,2,0.333333333,0,0
553771,chr9,199600,200000,1,0,1,1.00,6.658211483,1.21E-19,2.63E-17,76,1,2,1,0.333333333,0.666666667,0,0
571880,chr9,90149600,90150600,1,0,1,1.00,6.658211483,1.21E-19,2.63E-17,76,1,2,1,0.333333333,0.666666667,0,0
913654,chr16,24986800,24987200,1,0,1,1.00,6.658211483,1.21E-19,2.63E-17,76,1,2,1,0.333333333,0.666666667,0,0
363929,chr5,139397400,139397800,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,0.666666667,0.333333333,0,0
368889,chr5,149979800,149980000,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,0.666666667,0.333333333,0,0
506759,chr8,1449800,1450600,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,2,1,2.5,1,0.166666667,0,0
528298,chr8,70832600,70833000,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,1,0.333333333,0,0
560174,chr9,21311800,21312200,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,0.666666667,0.666666667,0,0
660628,chr10,90694800,90695800,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,0.666666667,0.333333333,0,0
689305,chr11,12830200,12830800,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,1,0.333333333,0,0
862814,chr15,31459200,31459600,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,1,0.333333333,0,0
1008255,chr18,59962800,59964400,1,0,1,1.00,6.658211483,9.65E-18,1.35E-15,110,1,1,2,1,0.333333333,0,0
324066,chr5,179175000,179175600,1,0.25,0.75,0.75,1.957771765,2.60E-32,9.67E-30,676,1,0,2,2,1.333333333,0,0
556432,chr9,5600400,5600600,1,0.25,0.75,0.75,4.993658612,5.97E-25,1.45E-22,224,4,0.75,1.75,0.916666667,0.416666667,0,0
959836,chr17,38267600,38268400,1,0.333333333,0.666666667,0.67,1.556673456,2.78E-32,9.67E-30,809,1,0,2,1.333333333,1,0,0
939701,chr17,2025800,2027600,1,0.366666667,0.266666667,0.63,0.442274084,2.72E-05,0.0019749,2393,2,1.5,1,1.833333333,2,0.5,0.5
571822,chr9,90095600,90096000,0.583333333,0,0.583333333,0.58,5.89077093,1.86E-05,0.001378412,245,1,1,0,1.666666667,2,0,0
