id	Chromosome	Start	End	strand
1	chr1	179804760	179806759	1
2	chr4	2793250	2795249	1
3	chr16	34255007	34257006	1
4	chr17	7474524	7476523	1
5	chr17	7474644	7476643	1
6	chr7	38335335	38337334	1
7	chr20	55903315	55905314	1
8	chr6	99797439	99799438	1
9	chr12	57633999	57635998	1
10	chr4	48483860	48485859	1
11	chr15	74889341	74891340	1
12	chr1	201437866	201439865	1
13	chr17	39596674	39598673	1
14	chr20	39764100	39766099	1
15	chr12	26277561	26279560	1
16	chr8	87355044	87357043	1
17	chr17	26988708	26990707	1
18	chr17	26987609	26989608	1
19	chr20	2635243	2637242	1
20	chr20	2635770	2637769	1
21	chr20	2636085	2638084	1
22	chr15	30685553	30687552	1
23	chr3	196024587	196026586	1
24	chr6	74103237	74105236	1
25	chr9	115645938	115647937	1
26	chr12	11249374	11251373	1
27	chr21	45758786	45760785	1
28	chr12	7021409	7023408	1
29	chr1	246688832	246690831	1
30	chr16	49202963	49204962	1
31	chr22	24812347	24814346	1
32	chr10	60143282	60145281	1
33	chr15	72902661	72904660	1
34	chr2	90247239	90249238	1
35	chr2	202096666	202098665	1
36	chr7	15601141	15603140	1
37	chr10	88426706	88428705	1
38	chr19	23577863	23579862	1
39	chr12	108128832	108130831	1
40	chr14	106368030	106370029	1
41	chr5	17117296	17119295	1
42	chr8	103424570	103426569	1
43	chr9	115095448	115097447	1
44	chr4	5051669	5053668	1
45	chr7	148974584	148976583	1
46	chr8	95651196	95653195	1
47	chr8	95651802	95653801	1
48	chr15	23890676	23892675	1
49	chr20	30133807	30135806	1
50	chr2	232315406	232317405	1
51	chr11	75623745	75625744	1
52	chr12	103631754	103633753	1
53	chr2	198568587	198570586	1
54	chr21	34890916	34892915	1
55	chr19	7698135	7700134	1
56	chr17	11922641	11924640	1
57	chr17	9808439	9810438	1
58	chr18	77439246	77441245	1
59	chr18	77438301	77440300	1
60	chr9	101568481	101570480	1
61	chr19	54209207	54211206	1
62	chr19	54210489	54212488	1
63	chr4	165862942	165864941	1
64	chr14	32711800	32713799	1
65	chr5	135637945	135639944	1
66	chr7	135433095	135435094	1
67	chr9	100571791	100573790	1
68	chr2	11805596	11807595	1
69	chr11	57363360	57365359	1
70	chr11	66114664	66116663	1
71	chr12	9217167	9219166	1
72	chr12	72228677	72230676	1
73	chr2	60962351	60964350	1
74	chr8	66504208	66506207	1
75	chr8	66503466	66505465	1
76	chr14	106405609	106407608	1
77	chr15	83085881	83087880	1
78	chr20	24216391	24218390	1
79	chr2	71017276	71019275	1
80	chr4	56081580	56083579	1
81	chr4	141676775	141678774	1
82	chr4	141676182	141678181	1
83	chr7	99194189	99196188	1
84	chr10	16113309	16115308	1
85	chr12	48575866	48577865	1
86	chr12	66524049	66526048	1
87	chr15	23890480	23892479	1
88	chr17	19459024	19461023	1
89	chr17	20411745	20413744	1
90	chr22	21877624	21879623	1
91	chr1	179804760	179806759	0
92	chr4	2793250	2795249	0
93	chr16	34255007	34257006	0
94	chr17	7474524	7476523	0
95	chr17	7474644	7476643	0
96	chr7	38335335	38337334	0
97	chr20	55903315	55905314	0
98	chr6	99797439	99799438	0
99	chr12	57633999	57635998	0
100	chr4	48483860	48485859	0
101	chr15	74889341	74891340	0
102	chr1	201437866	201439865	0
103	chr17	39596674	39598673	0
104	chr20	39764100	39766099	0
105	chr12	26277561	26279560	0
106	chr8	87355044	87357043	0
107	chr17	26988708	26990707	0
108	chr17	26987609	26989608	0
109	chr20	2635243	2637242	0
110	chr20	2635770	2637769	0
111	chr20	2636085	2638084	0
112	chr15	30685553	30687552	0
113	chr3	196024587	196026586	0
114	chr6	74103237	74105236	0
115	chr9	115645938	115647937	0
116	chr12	11249374	11251373	0
117	chr21	45758786	45760785	0
118	chr12	7021409	7023408	0
119	chr1	246688832	246690831	0
120	chr16	49202963	49204962	0
121	chr22	24812347	24814346	0
122	chr10	60143282	60145281	0
123	chr15	72902661	72904660	0
124	chr2	90247239	90249238	0
125	chr2	202096666	202098665	0
126	chr7	15601141	15603140	0
127	chr10	88426706	88428705	0
128	chr19	23577863	23579862	0
129	chr12	108128832	108130831	0
130	chr14	106368030	106370029	0
131	chr5	17117296	17119295	0
132	chr8	103424570	103426569	0
133	chr9	115095448	115097447	0
134	chr4	5051669	5053668	0
135	chr7	148974584	148976583	0
136	chr8	95651196	95653195	0
137	chr8	95651802	95653801	0
138	chr15	23890676	23892675	0
139	chr20	30133807	30135806	0
140	chr2	232315406	232317405	0
141	chr11	75623745	75625744	0
142	chr12	103631754	103633753	0
143	chr2	198568587	198570586	0
144	chr21	34890916	34892915	0
145	chr19	7698135	7700134	0
146	chr17	11922641	11924640	0
147	chr17	9808439	9810438	0
148	chr18	77439246	77441245	0
149	chr18	77438301	77440300	0
150	chr9	101568481	101570480	0
151	chr19	54209207	54211206	0
152	chr19	54210489	54212488	0
153	chr4	165862942	165864941	0
154	chr14	32711800	32713799	0
155	chr5	135637945	135639944	0
156	chr7	135433095	135435094	0
157	chr9	100571791	100573790	0
158	chr2	11805596	11807595	0
159	chr11	57363360	57365359	0
160	chr11	66114664	66116663	0
161	chr12	9217167	9219166	0
162	chr12	72228677	72230676	0
163	chr2	60962351	60964350	0
164	chr8	66504208	66506207	0
165	chr8	66503466	66505465	0
166	chr14	106405609	106407608	0
