id	Chromosome	Start	End	strand
1	chr2	233989200	233990200	1
2	chr3	124312800	124313600	1
3	chr16	72863800	72864400	1
4	chr12	123204600	123204800	1
5	chr22	39664000	39664400	1
6	chr20	44542600	44543000	1
7	chr16	48478800	48479400	1
8	chr1	206310200	206310600	1
9	chr7	150016400	150017800	1
10	chr19	4382000	4382400	1
11	chr19	14475200	14476200	1
12	chr3	185956000	185956800	1
13	chr4	40691800	40692800	1
14	chr4	140093400	140093800	1
15	chr6	223000	223200	1
16	chr9	95890400	95891000	1
17	chr11	83160000	83160400	1
18	chr12	11924600	11926000	1
19	chr13	24035000	24035600	1
20	chr21	36011400	36013400	1
21	chr17	75471000	75471400	1
22	chr2	144234400	144234600	1
23	chr12	6421600	6422800	1
24	chr9	5618200	5619200	1
25	chr6	14910400	14912000	1
26	chr1	28497800	28500200	1
27	chr2	25621200	25622000	1
28	chr8	81770600	81771000	1
29	chr9	126079400	126079800	1
30	chr12	11988200	11990200	1
31	chr12	92505600	92506400	1
32	chr14	77471000	77471600	1
33	chr17	45942400	45942800	1
34	chr18	21451200	21451800	1
35	chr18	56299800	56303600	1
36	chr21	36602800	36603600	1
37	chr3	195839400	195842200	1
38	chr17	5561000	5561600	1
39	chr7	74057400	74058600	1
40	chr19	40915600	40917800	1
41	chr19	50351400	50352800	1
42	chr18	11576200	11576800	1
43	chr7	2020400	2020800	1
44	chr8	101510200	101515600	1
45	chr19	41874000	41874400	1
46	chr18	13608200	13608400	1
47	chr9	5851400	5852000	1
48	chr9	5440600	5440800	1
49	chr10	3893200	3894200	1
50	chr10	116126800	116127400	1
51	chr4	10731000	10735200	1
52	chr4	147016200	147017000	1
53	chr6	32212000	32212400	1
54	chr1	205249800	205250000	1
55	chr4	2794400	2794600	1
56	chr9	6929600	6929800	1
57	chr9	136006800	136007200	1
58	chr15	66715800	66716200	1
59	chr3	32499400	32500000	1
60	chr3	125137200	125137600	1
61	chr16	25058200	25058600	1
62	chr2	99492200	99492600	1
63	chr2	103041600	103043000	1
64	chr2	153026200	153028000	1
65	chr2	203037000	203037200	1
66	chr2	231311600	231312600	1
67	chr12	111350800	111352000	1
68	chr14	102258000	102258400	1
69	chr17	2164400	2165200	1
70	chr17	5124200	5125000	1
71	chr17	30902600	30903600	1
72	chr4	1345400	1345800	1
73	chr4	36327600	36328800	1
74	chr8	81996200	81998400	1
75	chr9	37994600	37995600	1
76	chr12	10438400	10439000	1
77	chr16	69564400	69565000	1
78	chr2	86456000	86457200	1
79	chr2	231459200	231462600	1
80	chr3	150089800	150090200	1
81	chr3	170976400	170979800	1
