id,Chromosome,Start,End,mean.mean.CLP,mean.mean.GMP,mean.mean.diff,Difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CLP,mean.num.na.GMP,mean.mean.covg.CLP,mean.mean.covg.GMP,mean.nsamples.covg.thres5.CLP,mean.nsamples.covg.thres5.GMP
81507,chr1,184851000,184852800,1,0,1,1,6.658211483,7.53216E-33,1.14303E-29,6,1,0,2,1.333333333,0.333333333,0,0
288033,chr4,40190800,40191600,1,0,1,1,6.658211483,5.60182E-33,1.14303E-29,5,1,1,1,1,0.666666667,0,0
581637,chr9,111872800,111873400,1,0,1,1,6.658211483,7.53216E-33,1.14303E-29,6,1,0,2,1.666666667,0.666666667,0,0
650181,chr10,70302600,70302800,1,0,1,1,6.658211483,7.53216E-33,1.14303E-29,6,1,0,2,1.333333333,0.666666667,0,0
844791,chr14,73944200,73945000,1,0,1,1,6.658211483,7.53216E-33,1.14303E-29,6,1,0,2,2,0.333333333,0,0
884311,chr15,70726600,70727600,1,0,1,1,6.658211483,7.53216E-33,1.14303E-29,6,1,0,2,1,0.333333333,0,0
1008838,chr18,60846000,60847800,1,0,1,1,6.658211483,7.53216E-33,1.14303E-29,6,1,0,2,1,0.333333333,0,0
988399,chr18,2644600,2644800,1,0,1,1,6.658211483,1.38654E-19,1.00984E-16,24,1,2,1,0.333333333,0.666666667,0,0
114842,chr2,15680600,15681400,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,0.666666667,0.333333333,0,0
163825,chr2,144456000,144457400,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,0.666666667,0.333333333,0,0
169916,chr2,169327800,169328800,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,0.666666667,0.333333333,0,0
213074,chr3,32499400,32500000,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,0.666666667,0.333333333,0,0
321155,chr4,185428400,185428800,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,0.666666667,0.333333333,0,0
464692,chr7,37685000,37685600,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,0.666666667,0.333333333,0,0
731160,chr11,118764000,118764600,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,2,1.5,2.5,1.333333333,0.166666667,0.5,0
750938,chr12,14437600,14438200,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,1.666666667,0.333333333,0,0
760014,chr12,48150400,48152200,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,1,0.333333333,0,0
792196,chr12,123306000,123306200,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,1.333333333,0.333333333,0,0
922568,chr16,57557000,57557400,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,1.333333333,0.333333333,0,0
1058889,chr20,31166800,31167400,1,0,1,1,6.658211483,9.66098E-18,3.25754E-15,38,1,1,2,1.666666667,0.333333333,0,0
554327,chr9,1009600,1009800,0.75,0,0.75,0.75,6.247927513,2.62219E-19,1.83056E-16,72,1,1,2,2.666666667,0.333333333,0,0
987661,chr18,74185600,74187400,1,0.291666667,0.708333333,0.708333333,1.743328096,3.15069E-06,0.000503226,577,1,0,1,2,2.333333333,0,0
