id	Chromosome	Start	End	strand
1	chr2	90119977	90121976	1
2	chr4	3044328	3046327	1
3	chr17	27076598	27078597	1
4	chr2	200715397	200717396	1
5	chr6	33064573	33066572	1
6	chr6	99872708	99874707	1
7	chr6	99871298	99873297	1
8	chr6	109803941	109805940	1
9	chr7	56550489	56552488	1
10	chr7	63565174	63567173	1
11	chr7	63565455	63567454	1
12	chr17	58322509	58324508	1
13	chr20	22262811	22264810	1
14	chr5	71401561	71403560	1
15	chr10	69607783	69609782	1
16	chr20	18295256	18297255	1
17	chr2	133015043	133017042	1
18	chr2	133014154	133016153	1
19	chr3	97690802	97692801	1
20	chr4	185908651	185910650	1
21	chr5	115780331	115782330	1
22	chr5	177107795	177109794	1
23	chr6	27804823	27806822	1
24	chr6	80246676	80248675	1
25	chr10	111292913	111294912	1
26	chr11	18432354	18434353	1
27	chr14	36872919	36874918	1
28	chr17	46124936	46126935	1
29	chr19	38778291	38780290	1
30	chr20	48329916	48331915	1
31	chr5	21340985	21342984	1
32	chr5	21340442	21342441	1
33	chr16	34230606	34232605	1
34	chr4	2243349	2245348	1
35	chr4	2243392	2245391	1
36	chr12	113414700	113416699	1
37	chr11	55972602	55974601	1
38	chr18	23532933	23534932	1
39	chr7	152304898	152306897	1
40	chr20	30191586	30193585	1
41	chr17	47571155	47573154	1
42	chr7	63565874	63567873	1
43	chr17	72347772	72349771	1
44	chr1	39586216	39588215	1
45	chr13	24520422	24522421	1
46	chr2	87112355	87114354	1
47	chr3	169621549	169623548	1
48	chr3	175786197	175788196	1
49	chr3	175785395	175787394	1
50	chr7	19748211	19750210	1
51	chr12	42630749	42632748	1
52	chr12	84843158	84845157	1
53	chr13	29068766	29070765	1
54	chr21	34099860	34101859	1
55	chr21	34098926	34100925	1
56	chr18	19284267	19286266	1
57	chr6	42109858	42111857	1
58	chr7	73152698	73154697	1
59	chr14	53634272	53636271	1
60	chr6	126069837	126071836	1
61	chr1	40972913	40974912	1
62	chr17	20657315	20659314	1
63	chr17	46124191	46126190	1
64	chr19	38038316	38040315	1
65	chr5	173313783	173315782	1
66	chr12	53439253	53441252	1
67	chr1	40041963	40043962	1
68	chr12	124996268	124998267	1
69	chr10	71929780	71931779	1
70	chr8	1448032	1450031	1
71	chr2	130691391	130693390	1
72	chr2	90119977	90121976	0
73	chr4	3044328	3046327	0
74	chr17	27076598	27078597	0
75	chr2	200715397	200717396	0
76	chr6	33064573	33066572	0
77	chr6	99872708	99874707	0
78	chr6	99871298	99873297	0
79	chr6	109803941	109805940	0
80	chr7	56550489	56552488	0
81	chr7	63565174	63567173	0
82	chr7	63565455	63567454	0
83	chr17	58322509	58324508	0
84	chr20	22262811	22264810	0
85	chr5	71401561	71403560	0
86	chr10	69607783	69609782	0
87	chr20	18295256	18297255	0
88	chr2	133015043	133017042	0
89	chr2	133014154	133016153	0
90	chr3	97690802	97692801	0
91	chr4	185908651	185910650	0
92	chr5	115780331	115782330	0
93	chr5	177107795	177109794	0
94	chr6	27804823	27806822	0
95	chr6	80246676	80248675	0
96	chr10	111292913	111294912	0
97	chr11	18432354	18434353	0
98	chr14	36872919	36874918	0
99	chr17	46124936	46126935	0
100	chr19	38778291	38780290	0
101	chr20	48329916	48331915	0
102	chr5	21340985	21342984	0
103	chr5	21340442	21342441	0
104	chr16	34230606	34232605	0
105	chr4	2243349	2245348	0
106	chr4	2243392	2245391	0
107	chr12	113414700	113416699	0
108	chr11	55972602	55974601	0
109	chr18	23532933	23534932	0
110	chr7	152304898	152306897	0
111	chr20	30191586	30193585	0
112	chr17	47571155	47573154	0
113	chr7	63565874	63567873	0
114	chr17	72347772	72349771	0
115	chr1	39586216	39588215	0
116	chr13	24520422	24522421	0
117	chr2	87112355	87114354	0
118	chr3	169621549	169623548	0
119	chr3	175786197	175788196	0
120	chr3	175785395	175787394	0
121	chr7	19748211	19750210	0
122	chr12	42630749	42632748	0
123	chr12	84843158	84845157	0
124	chr13	29068766	29070765	0
125	chr21	34099860	34101859	0
126	chr21	34098926	34100925	0
127	chr18	19284267	19286266	0
128	chr6	42109858	42111857	0
129	chr7	73152698	73154697	0
130	chr14	53634272	53636271	0
131	chr6	126069837	126071836	0
132	chr1	40972913	40974912	0
133	chr17	20657315	20659314	0
134	chr17	46124191	46126190	0
135	chr19	38038316	38040315	0
136	chr5	173313783	173315782	0
137	chr12	53439253	53441252	0
138	chr1	40041963	40043962	0
139	chr12	124996268	124998267	0
140	chr10	71929780	71931779	0
141	chr8	1448032	1450031	0
142	chr2	130691391	130693390	0
