id,Chromosome,Start,End,symbol,entrezID,mean.mean.CMP,mean.mean.MLP,mean.mean.diff,difference,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.CMP,mean.num.na.MLP,mean.mean.covg.CMP,mean.mean.covg.MLP,mean.nsamples.covg.thres5.CMP,mean.nsamples.covg.thres5.MLP
ENSG00000242766,chr2,90119977,90121976,IGKV1D-17,NA,1,0,1,1,6.658211483,2.43E-49,2.56E-45,2,1,1,0,0.666666667,1.333333333,0,0
ENSG00000199335,chr4,3044328,3046327,RNU6-204P,NA,1,0,1,1,6.658211483,3.78E-49,2.56E-45,3,1,0,1,2,1,0,0
ENSG00000265840,chr17,27076598,27078597,NA,NA,1,0,1,1,6.658211483,3.78E-49,2.56E-45,3,1,0,1,1.333333333,1,0,0
ENSG00000226124,chr2,200715397,200717396,FTCDNL1,NA,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,2,0.333333333,0,0
ENSG00000231461,chr6,33064573,33066572,HLA-DPA2,NA,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,1,0.333333333,0,0
ENSG00000132424,chr6,99872708,99874707,PNISR,25957,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,1.666666667,0.333333333,0,0
ENSG00000228506,chr6,99871298,99873297,NA,NA,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,1.666666667,0.333333333,0,0
ENSG00000112365,chr6,109803941,109805940,ZBTB24,9841,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,2,0.333333333,0,0
ENSG00000225488,chr7,56550489,56552488,NA,100240728,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,2,1,2.5,1.666666667,0.166666667,0,0
ENSG00000248704,chr7,63565174,63567173,MTND4P2,NA,1,0,1,1,6.658211483,5.59E-33,4.85E-30,25,1,1,1,0.666666667,0.666666667,0,0
ENSG00000248315,chr7,63565455,63567454,NA,NA,1,0,1,1,6.658211483,5.59E-33,4.85E-30,25,1,1,1,0.666666667,0.666666667,0,0
ENSG00000241157,chr17,58322509,58324508,NA,NA,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,3,0.333333333,0,0
ENSG00000225321,chr20,22262811,22264810,NA,101929663,1,0,1,1,6.658211483,7.52E-33,4.85E-30,27,1,0,2,1.666666667,0.333333333,0,0
ENSG00000131711,chr5,71401561,71403560,MAP1B,4131,1,0,1,1,6.658211483,1.21E-19,3.71E-17,78,1,2,1,0.333333333,0.666666667,0,0
ENSG00000272892,chr10,69607783,69609782,NA,NA,1,0,1,1,6.658211483,1.21E-19,3.71E-17,78,1,2,1,0.333333333,0.666666667,0,0
ENSG00000237259,chr20,18295256,18297255,NA,NA,1,0,1,1,6.658211483,1.21E-19,3.71E-17,78,1,2,1,0.666666667,0.666666667,0,0
ENSG00000163046,chr2,133015043,133017042,ANKRD30BL,554226;100132004;100132154,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000221288,chr2,133014154,133016153,MIR663B,100313824,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000170854,chr3,97690802,97692801,MINA,84864,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,1,0.333333333,0,0
ENSG00000248517,chr4,185908651,185910650,NA,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,1,0.333333333,0,0
ENSG00000256121,chr5,115780331,115782330,NA,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000249849,chr5,177107795,177109794,NA,NA,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000233822,chr6,27804823,27806822,HIST1H2BN,8341,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
ENSG00000135338,chr6,80246676,80248675,LCA5,167691,1,0,1,1,6.658211483,9.65E-18,1.50E-15,149,1,1,2,0.666666667,0.333333333,0,0
