UniqueID	Chromosome	Start	End	Strand
1	chr2	90119977	90121976	0
2	chr4	3044328	3046327	0
3	chr17	27076598	27078597	0
4	chr2	200715397	200717396	0
5	chr6	33064573	33066572	0
6	chr6	99872708	99874707	0
7	chr6	99871298	99873297	0
8	chr6	109803941	109805940	0
9	chr7	56550489	56552488	0
10	chr7	63565174	63567173	0
11	chr7	63565455	63567454	0
12	chr17	58322509	58324508	0
13	chr20	22262811	22264810	0
14	chr5	71401561	71403560	0
15	chr10	69607783	69609782	0
16	chr20	18295256	18297255	0
17	chr2	133015043	133017042	0
18	chr2	133014154	133016153	0
19	chr3	97690802	97692801	0
20	chr4	185908651	185910650	0
21	chr5	115780331	115782330	0
22	chr5	177107795	177109794	0
23	chr6	27804823	27806822	0
24	chr6	80246676	80248675	0
25	chr10	111292913	111294912	0
26	chr11	18432354	18434353	0
27	chr14	36872919	36874918	0
28	chr17	46124936	46126935	0
29	chr19	38778291	38780290	0
30	chr20	48329916	48331915	0
31	chr5	21340985	21342984	0
32	chr5	21340442	21342441	0
33	chr16	34230606	34232605	0
34	chr4	2243349	2245348	0
35	chr4	2243392	2245391	0
36	chr12	113414700	113416699	0
37	chr11	55972602	55974601	0
38	chr18	23532933	23534932	0
39	chr7	152304898	152306897	0
40	chr20	30191586	30193585	0
41	chr17	47571155	47573154	0
42	chr7	63565874	63567873	0
43	chr17	72347772	72349771	0
44	chr1	39586216	39588215	0
45	chr13	24520422	24522421	0
46	chr2	87112355	87114354	0
47	chr3	169621549	169623548	0
48	chr3	175786197	175788196	0
49	chr3	175785395	175787394	0
50	chr7	19748211	19750210	0
51	chr12	42630749	42632748	0
52	chr12	84843158	84845157	0
53	chr13	29068766	29070765	0
54	chr21	34099860	34101859	0
55	chr21	34098926	34100925	0
56	chr18	19284267	19286266	0
57	chr6	42109858	42111857	0
58	chr7	73152698	73154697	0
59	chr14	53634272	53636271	0
60	chr6	126069837	126071836	0
61	chr1	40972913	40974912	0
62	chr17	20657315	20659314	0
63	chr17	46124191	46126190	0
64	chr19	38038316	38040315	0
65	chr5	173313783	173315782	0
66	chr12	53439253	53441252	0
67	chr1	40041963	40043962	0
68	chr12	124996268	124998267	0
69	chr10	71929780	71931779	0
70	chr8	1448032	1450031	0
71	chr2	130691391	130693390	0
72	chr1	179804760	179806759	0
73	chr4	2793250	2795249	0
74	chr16	34255007	34257006	0
75	chr17	7474524	7476523	0
76	chr17	7474644	7476643	0
77	chr7	38335335	38337334	0
78	chr20	55903315	55905314	0
79	chr6	99797439	99799438	0
80	chr12	57633999	57635998	0
81	chr4	48483860	48485859	0
82	chr15	74889341	74891340	0
83	chr1	201437866	201439865	0
84	chr17	39596674	39598673	0
85	chr20	39764100	39766099	0
86	chr12	26277561	26279560	0
87	chr8	87355044	87357043	0
88	chr17	26988708	26990707	0
89	chr17	26987609	26989608	0
90	chr20	2635243	2637242	0
91	chr20	2635770	2637769	0
92	chr20	2636085	2638084	0
93	chr15	30685553	30687552	0
94	chr3	196024587	196026586	0
95	chr6	74103237	74105236	0
96	chr9	115645938	115647937	0
97	chr12	11249374	11251373	0
98	chr21	45758786	45760785	0
99	chr12	7021409	7023408	0
100	chr1	246688832	246690831	0
101	chr16	49202963	49204962	0
102	chr22	24812347	24814346	0
103	chr10	60143282	60145281	0
104	chr15	72902661	72904660	0
105	chr2	90247239	90249238	0
106	chr2	202096666	202098665	0
107	chr7	15601141	15603140	0
108	chr10	88426706	88428705	0
109	chr19	23577863	23579862	0
110	chr12	108128832	108130831	0
111	chr14	106368030	106370029	0
