id	Chromosome	Start	End	symbol	entrezID	mean.mean.CLP	mean.mean.GMP	mean.mean.diff	Difference	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.CLP	mean.num.na.GMP	mean.mean.covg.CLP	mean.mean.covg.GMP	mean.nsamples.covg.thres5.CLP	mean.nsamples.covg.thres5.GMP
ENSG00000182544	chr12	53643535	53645534	MFSD5	84975	0.6	1	-0.4	-0.4	-0.727474145	0.000296434	0.033596323	1764	1	0	1	3	1.333333333	1	0
ENSG00000120910	chr8	22296832	22298831	PPP3CC	5533	0.5	1	-0.5	-0.5	-0.985786141	2.01E-17	6.65E-15	1280	1	2	1	0.666666667	0.666666667	0	0
ENSG00000266628	chr14	77817403	77819402	RN7SL137P	NA	0.5	1	-0.5	-0.5	-0.985786141	2.01E-17	6.65E-15	1280	1	2	1	0.666666667	1.666666667	0	0
ENSG00000248918	chr5	50263994	50265993	NA	NA	0.425	1	-0.4	-0.575	-0.727474145	3.38E-32	4.20E-29	1764	2	1.5	1.5	1.666666667	0.5	0.5	0
ENSG00000248338	chr4	29214520	29216519	NA	NA	0	0.583333333	-0.583333333	-0.583333333	-5.89077093	1.86E-05	0.002486105	203	1	0	1	1.333333333	1.666666667	0	0
ENSG00000119969	chr10	96304047	96306046	HELLS	3070	0.375	0.972222222	-0.597222222	-0.597222222	-3.145767518	1.59E-08	3.10E-06	333	3	0.333333333	1.333333333	2	1.333333333	0.333333333	0.333333333
ENSG00000183513	chr2	99224479	99226478	COA5	493753	0.333333333	1	-0.666666667	-0.666666667	-1.556673456	2.78E-32	4.20E-29	757	1	2	0	1	1.333333333	0	0
ENSG00000122674	chr7	5936856	5938855	CCZ1	51622;221960	0.333333333	1	-0.666666667	-0.666666667	-1.556673456	1.89E-17	6.65E-15	757	2	2.5	1.5	0.5	0.833333333	0	0
ENSG00000260409	chr15	20961013	20963012	NA	NA	0.333333333	1	-0.666666667	-0.666666667	-1.556673456	1.89E-17	6.65E-15	757	1	2	1	1	0.666666667	0	0
ENSG00000198711	chr1	54702210	54704209	SSBP3-AS1	NA	0	1	-1	-1	-6.658211483	1.39E-19	1.07E-16	34	1	1	2	1.333333333	0.333333333	0	0
ENSG00000258367	chr14	19337905	19339904	NA	NA	0	1	-1	-1	-6.658211483	9.66E-18	3.79E-15	53	1	2	1	0.333333333	0.666666667	0	0
