id	Chromosome	Start	End	strand
1	chr9	272200	272400	1
2	chr5	10527400	10528600	1
3	chr16	72863800	72864400	1
4	chr1	17863000	17863400	1
5	chr13	114141000	114141600	1
6	chr12	117111800	117112000	1
7	chr12	123204600	123204800	1
8	chr16	67538800	67539200	1
9	chr17	79024400	79024600	1
10	chr20	44542600	44543000	1
11	chr2	65068400	65069400	1
12	chr7	150016400	150017800	1
13	chr19	4382000	4382400	1
14	chr20	61620200	61621200	1
15	chr4	140093400	140093800	1
16	chr15	59706200	59706600	1
17	chr1	206310200	206310600	1
18	chr7	23475000	23475200	1
19	chr12	6421600	6422800	1
20	chr20	43323800	43325000	1
21	chr3	195839400	195842200	1
22	chr1	92217200	92217600	1
23	chr2	25621200	25622000	1
24	chr4	40691800	40692800	1
25	chr16	73051200	73051600	1
26	chr19	46065800	46066600	1
27	chr21	36011400	36013400	1
28	chr21	36602800	36603600	1
29	chr16	3857400	3858000	1
30	chr15	62344600	62345200	1
31	chr20	61370800	61371200	1
32	chr10	124067200	124067800	1
33	chr14	63935400	63937400	1
34	chr16	4578800	4579200	1
35	chr16	17367400	17367600	1
36	chr6	3237600	3238400	1
37	chr17	36188200	36188600	1
38	chr12	11878400	11884000	1
39	chr20	47795600	47795800	1
40	chr9	5440600	5440800	1
41	chr9	36458400	36459200	1
42	chr10	116126800	116127400	1
43	chr10	12542200	12543200	1
44	chr1	205249800	205250000	1
45	chr2	20386000	20387200	1
46	chr10	4074600	4075200	1
47	chr10	71495200	71495400	1
48	chr16	2559600	2560600	1
49	chr17	6451400	6452000	1
50	chr17	5124200	5125000	1
51	chr2	144234400	144234600	1
52	chr6	138913000	138913400	1
53	chr6	149689800	149690600	1
54	chr9	6929600	6929800	1
55	chr17	40489200	40490000	1
56	chr2	86456000	86457200	1
57	chr2	99492200	99492600	1
58	chr4	69522600	69523400	1
59	chr5	137372200	137373000	1
60	chr6	79959800	79960600	1
61	chr11	44580600	44581800	1
62	chr12	111350800	111352000	1
63	chr15	85895800	85897000	1
64	chr17	2164400	2165200	1
65	chr17	30902600	30903600	1
66	chr11	65879400	65880400	1
67	chr9	272200	272400	0
68	chr5	10527400	10528600	0
69	chr16	72863800	72864400	0
70	chr1	17863000	17863400	0
71	chr13	114141000	114141600	0
72	chr12	117111800	117112000	0
73	chr12	123204600	123204800	0
74	chr16	67538800	67539200	0
75	chr17	79024400	79024600	0
76	chr20	44542600	44543000	0
77	chr2	65068400	65069400	0
78	chr7	150016400	150017800	0
79	chr19	4382000	4382400	0
80	chr20	61620200	61621200	0
81	chr4	140093400	140093800	0
82	chr15	59706200	59706600	0
83	chr1	206310200	206310600	0
84	chr7	23475000	23475200	0
85	chr12	6421600	6422800	0
86	chr20	43323800	43325000	0
87	chr3	195839400	195842200	0
88	chr1	92217200	92217600	0
89	chr2	25621200	25622000	0
90	chr4	40691800	40692800	0
91	chr16	73051200	73051600	0
92	chr19	46065800	46066600	0
93	chr21	36011400	36013400	0
94	chr21	36602800	36603600	0
95	chr16	3857400	3858000	0
96	chr15	62344600	62345200	0
97	chr20	61370800	61371200	0
98	chr10	124067200	124067800	0
99	chr14	63935400	63937400	0
100	chr16	4578800	4579200	0
101	chr16	17367400	17367600	0
