UniqueID	Chromosome	Start	End	Strand
1	chr7	20370871	20372870	0
2	chr6	34523611	34525610	0
3	chr3	154373583	154375582	0
4	chr22	43670461	43672460	0
5	chr2	65866812	65868811	0
6	chr2	207474037	207476036	0
7	chr2	173598502	173600501	0
8	chr19	34080095	34082094	0
9	chr19	52783550	52785549	0
10	chr17	9550478	9552477	0
11	chr17	29294303	29296302	0
12	chr17	79904610	79906609	0
13	chr16	28984042	28986041	0
14	chr16	3048403	3050402	0
15	chr16	67424254	67426253	0
16	chr16	69477694	69479693	0
17	chr15	32892830	32894829	0
18	chr15	42500015	42502014	0
19	chr15	42499111	42501110	0
20	chr13	73027606	73029605	0
21	chr13	96296458	96298457	0
22	chr12	1866678	1868677	0
23	chr11	70047769	70049768	0
24	chr11	102101154	102103153	0
25	chr11	102678148	102680147	0
26	chr10	22505503	22507502	0
27	chr10	16859028	16861027	0
28	chr1	228128885	228130884	0
29	chr1	201474869	201476868	0
30	chr1	166944220	166946219	0
31	chr1	120394439	120396438	0
32	chr1	27338828	27340827	0
33	chr11	67054518	67056517	0
34	chr10	103844988	103846987	0
35	chr6	27234392	27236391	0
36	chr3	48332366	48334365	0
37	chr22	42074215	42076214	0
38	chr20	44175566	44177565	0
39	chr20	44175892	44177891	0
40	chr18	3601498	3603497	0
41	chr15	94575387	94577386	0
42	chr20	61667881	61669880	0
43	chr20	61667863	61669862	0
44	chr17	27348159	27350158	0
45	chr19	18395806	18397805	0
46	chr12	58174872	58176871	0
47	chr16	12009096	12011095	0
48	chr4	7192765	7194764	0
49	chr11	63847662	63849661	0
50	chr11	128775431	128777430	0
51	chr5	75048805	75050804	0
52	chr1	224140642	224142641	0
53	chr19	55082887	55084886	0
54	chr18	78004930	78006929	0
55	chr3	52188207	52190206	0
56	chr12	6960731	6962730	0
57	chr2	74648219	74650218	0
58	chr16	81109424	81111423	0
59	chr6	73308863	73310862	0
60	chr6	42109858	42111857	0
61	chr6	164506194	164508193	0
62	chr5	8157402	8159401	0
63	chr5	156349630	156351629	0
64	chr4	110223314	110225313	0
65	chr4	110222691	110224690	0
66	chr4	108909370	108911369	0
67	chr3	194991397	194993396	0
68	chr21	40377580	40379579	0
69	chr20	236877	238876	0
70	chr2	85910798	85912797	0
71	chr2	106905010	106907009	0
72	chr2	178862998	178864997	0
73	chr19	105971	107970	0
74	chr19	44329944	44331943	0
75	chr19	7700267	7702266	0
76	chr19	49313787	49315786	0
77	chr19	44528915	44530914	0
78	chr19	44527994	44529993	0
79	chr19	44528006	44530005	0
80	chr18	61635659	61637658	0
81	chr17	10599411	10601410	0
82	chr17	61676731	61678730	0
83	chr17	16340636	16342635	0
84	chr17	5184058	5186057	0
85	chr17	79792427	79794426	0
86	chr16	5665698	5667697	0
87	chr16	56277932	56279931	0
88	chr15	39871780	39873779	0
89	chr15	50474515	50476514	0
90	chr15	78112743	78114742	0
91	chr15	69617260	69619259	0
92	chr15	32893988	32895987	0
93	chr15	64692172	64694171	0
94	chr15	41289972	41291971	0
95	chr15	90437075	90439074	0
96	chr14	24639562	24641561	0
97	chr12	118572163	118574162	0
98	chr12	121585313	121587312	0
99	chr11	44331217	44333216	0
100	chr11	49426242	49428241	0
101	chr11	71823327	71825326	0
102	chr1	155206129	155208128	0
103	chr1	44455531	44457530	0
104	chr1	156570789	156572788	0
105	chr5	37207966	37209965	0
106	chr11	35638235	35640234	0
107	chr12	124085124	124087123	0
108	chr16	12009440	12011439	0
109	chr13	101231872	101233871	0
110	chr2	74647305	74649304	0
111	chr19	58464628	58466627	0
112	chr19	51686661	51688660	0
113	chr10	86086842	86088841	0
114	chr6	117380345	117382344	0
115	chr20	46198179	46200178	0
116	chr11	78128895	78130894	0
117	chr1	203121529	203123528	0
118	chr22	50526808	50528807	0
119	chr17	40549527	40551526	0
120	chr19	16434128	16436127	0
121	chr6	29862931	29864930	0
122	chr12	49370898	49372897	0
123	chr20	57327907	57329906	0
124	chr16	1050427	1052426	0
125	chr15	42118783	42120782	0
126	chr15	42118783	42120782	0
127	chr15	42118793	42120792	0
128	chr19	10395285	10397284	0
129	chr2	386912	388911	0
130	chr1	44411724	44413723	0
131	chr9	13022392	13024391	0
132	chr8	25902414	25904413	0
133	chr5	177365123	177367122	0
134	chr14	74296339	74298338	0
135	chr4	48490769	48492768	0
136	chr4	83194724	83196723	0
137	chr3	133969190	133971189	0
138	chr9	129621444	129623443	0
139	chr6	58398913	58400912	0
140	chr3	195716690	195718689	0
141	chr7	63559183	63561182	0
142	chr16	3066946	3068945	0
143	chr3	194303240	194305239	0
144	chr2	222435726	222437725	0
145	chr2	219574068	219576067	0
146	chr4	567702	569701	0
147	chr2	130735735	130737734	0
148	chr1	247373659	247375658	0
149	chr20	61272297	61274296	0
150	chr9	116916340	116918339	0
151	chr9	132369663	132371662	0
152	chr9	98636483	98638482	0
153	chr9	128508124	128510123	0
154	chr8	37918899	37920898	0
155	chr8	42734879	42736878	0
156	chr8	42804139	42806138	0
157	chr8	142063889	142065888	0
158	chr8	38757253	38759252	0
159	chr8	107280470	107282469	0
160	chr8	107280872	107282871	0
161	chr8	107280973	107282972	0
162	chr8	144869590	144871589	0
163	chr7	6521422	6523421	0
164	chr7	44924461	44926460	0
165	chr7	156990706	156992705	0
166	chr7	5535049	5537048	0
167	chr7	101969446	101971445	0
168	chr7	55865674	55867673	0
169	chr7	43964537	43966536	0
170	chr7	100661853	100663852	0
171	chr7	23528592	23530591	0
172	chr6	30711832	30713831	0
173	chr6	170095844	170097843	0
174	chr6	56707300	56709299	0
175	chr6	29623258	29625257	0
176	chr6	36589790	36591789	0
177	chr6	153603369	153605368	0
178	chr6	31494994	31496993	0
179	chr5	178449253	178451252	0
180	chr5	177396817	177398816	0
181	chr5	139535404	139537403	0
182	chr5	132072831	132074830	0
183	chr5	157116775	157118774	0
184	chr5	137514176	137516175	0
185	chr4	37701125	37703124	0
186	chr4	25655423	25657422	0
187	chr3	49459687	49461686	0
188	chr3	49458879	49460878	0
189	chr3	48471095	48473094	0
190	chr3	88106924	88108923	0
191	chr22	24890543	24892542	0
192	chr22	32341005	32343004	0
193	chr22	30640484	30642483	0
194	chr22	38243282	38245281	0
195	chr22	38243375	38245374	0
196	chr22	43484935	43486934	0
197	chr21	32253375	32255374	0
198	chr20	18591312	18593311	0
199	chr20	54966894	54968893	0
200	chr2	98018141	98020140	0
201	chr2	27254278	27256277	0
202	chr2	124782251	124784250	0
203	chr2	124781364	124783363	0
204	chr2	3595048	3597047	0
