id	Chromosome	Start	End	strand
1	chr14	105558200	105559000	1
2	chr1	53639000	53639400	1
3	chr5	142600200	142601600	1
4	chr1	180530800	180531000	1
5	chr7	16786200	16786600	1
6	chr19	2056800	2057000	1
7	chr5	141394400	141395200	1
8	chr11	58904200	58905000	1
9	chr3	171917800	171918600	1
10	chr4	160031400	160031800	1
11	chr16	15686200	15687200	1
12	chr2	69803600	69804400	1
13	chr14	105181600	105182000	1
14	chr21	10600000	10600600	1
15	chr6	27320800	27321000	1
16	chr7	43878200	43878400	1
17	chr11	66756200	66756600	1
18	chr19	8130400	8131200	1
19	chr1	173993200	173994000	1
20	chr6	7255000	7255800	1
21	chr12	1712200	1712600	1
22	chr14	102561000	102561600	1
23	chr2	98355800	98356800	1
24	chr1	27097600	27099200	1
25	chr2	220460600	220461200	1
26	chr6	16230800	16231400	1
27	chr5	173189000	173190400	1
28	chr7	135460400	135461200	1
29	chr7	150000600	150001200	1
30	chr17	6367800	6369000	1
31	chr20	24931000	24931400	1
32	chr1	201554200	201554600	1
33	chr6	34219600	34220200	1
34	chr1	21361000	21361600	1
35	chr2	233887400	233888200	1
36	chr4	173878400	173879000	1
37	chr12	89783200	89784400	1
38	chr1	246494800	246495400	1
39	chr5	39100800	39101000	1
40	chr14	105558200	105559000	0
41	chr1	53639000	53639400	0
42	chr5	142600200	142601600	0
43	chr1	180530800	180531000	0
44	chr7	16786200	16786600	0
45	chr19	2056800	2057000	0
46	chr5	141394400	141395200	0
47	chr11	58904200	58905000	0
48	chr3	171917800	171918600	0
49	chr4	160031400	160031800	0
50	chr16	15686200	15687200	0
51	chr2	69803600	69804400	0
52	chr14	105181600	105182000	0
53	chr21	10600000	10600600	0
54	chr6	27320800	27321000	0
55	chr7	43878200	43878400	0
56	chr11	66756200	66756600	0
57	chr19	8130400	8131200	0
58	chr1	173993200	173994000	0
59	chr6	7255000	7255800	0
60	chr12	1712200	1712600	0
61	chr14	102561000	102561600	0
62	chr2	98355800	98356800	0
63	chr1	27097600	27099200	0
64	chr2	220460600	220461200	0
65	chr6	16230800	16231400	0
66	chr5	173189000	173190400	0
67	chr7	135460400	135461200	0
68	chr7	150000600	150001200	0
69	chr17	6367800	6369000	0
70	chr20	24931000	24931400	0
71	chr1	201554200	201554600	0
72	chr6	34219600	34220200	0
73	chr1	21361000	21361600	0
74	chr2	233887400	233888200	0
75	chr4	173878400	173879000	0
76	chr12	89783200	89784400	0
77	chr1	246494800	246495400	0
78	chr5	39100800	39101000	0
79	chr9	21979000	21979400	1
80	chr11	9263400	9264600	1
81	chr5	142599800	142603000	1
82	chr19	40189600	40191200	1
83	chr22	19607600	19608000	1
84	chr12	7905600	7906400	1
85	chr2	15452400	15453000	1
86	chr2	86471600	86471800	1
87	chr3	44086400	44088000	1
88	chr17	7039400	7039600	1
89	chr19	8130400	8130800	1
90	chr20	3082600	3083200	1
91	chr12	1712200	1713800	1
92	chr16	81830200	81831200	1
93	chr6	53305000	53305800	1
94	chr6	106643600	106644000	1
95	chr1	85319600	85320000	1
96	chr17	40676200	40676600	1
97	chr9	6955600	6956000	1
98	chr10	99315000	99315600	1
99	chr1	246495200	246496000	1
100	chr9	97575200	97575400	1
101	chr11	62195000	62195800	1
102	chr17	26398600	26399600	1
103	chr20	52510000	52511800	1
104	chr9	21979000	21979400	0
105	chr11	9263400	9264600	0
106	chr5	142599800	142603000	0
107	chr19	40189600	40191200	0
108	chr22	19607600	19608000	0
109	chr12	7905600	7906400	0
110	chr2	15452400	15453000	0
111	chr2	86471600	86471800	0
112	chr3	44086400	44088000	0
113	chr17	7039400	7039600	0
114	chr19	8130400	8130800	0
115	chr20	3082600	3083200	0
116	chr12	1712200	1713800	0
117	chr16	81830200	81831200	0
118	chr6	53305000	53305800	0
119	chr6	106643600	106644000	0
120	chr1	85319600	85320000	0
121	chr17	40676200	40676600	0
122	chr9	6955600	6956000	0
123	chr10	99315000	99315600	0
124	chr1	246495200	246496000	0
125	chr9	97575200	97575400	0
126	chr11	62195000	62195800	0
127	chr17	26398600	26399600	0
128	chr20	52510000	52511800	0
