id,Chromosome,Start,End,mean.mean.HSC,mean.mean.MPP,Difference,mean.mean.diff,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.HSC,mean.num.na.MPP,mean.mean.covg.HSC,mean.mean.covg.MPP,mean.nsamples.covg.thres5.HSC,mean.nsamples.covg.thres5.MPP
668625,chr10,103660200,103660800,1,0,1,1,6.658211483,3.22787E-49,2.86796E-45,2,1,0,1,1.333333333,2,0,0
143612,chr2,85123800,85124000,1,0,1,1,6.658211483,6.44299E-33,1.65931E-30,18,1,0,2,1,0.333333333,0,0
246896,chr3,129296400,129297400,1,0,1,1,6.658211483,6.44299E-33,1.65931E-30,18,1,0,2,1.333333333,0.333333333,0,0
509388,chr8,10990600,10992000,1,0,1,1,6.658211483,4.78878E-33,1.65931E-30,16,1,1,1,0.666666667,0.666666667,0,0
925071,chr16,67841600,67841800,1,0,1,1,6.658211483,1.54211E-33,1.65931E-30,11,1,2,0,0.333333333,2.333333333,0,0
985811,chr17,79564800,79566000,1,0,1,1,6.658211483,4.78878E-33,1.65931E-30,16,1,1,1,1,0.666666667,0,0
98009,chr1,226870400,226871600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1,0,0
101174,chr1,232726800,232727000,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.666666667,2,0,0
182828,chr2,203534400,203535200,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,2,2.5,1.5,0.166666667,0.833333333,0,0
243788,chr3,124653800,124654600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1.333333333,0,0
263077,chr3,175196000,175196400,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
273073,chr3,195907200,195907600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
276504,chr4,792200,792600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,2,0,0
280371,chr4,6942600,6943200,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1.666666667,0,0
385300,chr6,2857000,2858200,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1.333333333,0,0
387951,chr6,7073600,7073800,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1,0,0
531315,chr8,81279800,81280400,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,2.666666667,0,1
544640,chr8,126429800,126430600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
706649,chr11,64918600,64920800,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1,0,0
859537,chr14,106158000,106158400,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1,0,0
925634,chr16,68403800,68404400,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
936556,chr16,89098200,89099000,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
938989,chr17,1284000,1284600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,1.333333333,0,0
956014,chr17,33358400,33360600,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
958672,chr17,36813200,36814000,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
1074194,chr20,56347600,56348000,1,0,1,1,6.658211483,5.63029E-21,8.47884E-19,95,1,2,1,0.333333333,0.666666667,0,0
22760,chr1,31486000,31486400,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
64391,chr1,153706000,153707000,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,1,0.333333333,0,0
105596,chr1,245083000,245084200,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
381186,chr5,179110600,179111600,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,1,0.666666667,0,0
553771,chr9,199600,200000,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.666666667,0,0
726335,chr11,111990200,111991000,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
750921,chr12,14410800,14411200,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
857771,chr14,103824000,103824200,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
858670,chr14,105162000,105162200,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
915533,chr16,29703000,29703400,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,1.333333333,0.333333333,0,0
933711,chr16,85115800,85116000,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
963372,chr17,42495400,42496200,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,1,0.333333333,0,0
1011879,chr18,74778000,74779200,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
1017224,chr19,4815400,4815800,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
1100293,chr22,35544000,35544600,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,1,0.333333333,0,0
1106738,chr22,43063400,43063600,1,0,1,1,6.658211483,8.22374E-18,5.35296E-16,158,1,1,2,0.666666667,0.333333333,0,0
1087752,chr21,45562200,45562600,1,0.25,0.75,0.75,3.821998812,3.29039E-19,4.36346E-17,679,2,2,0,0.666666667,1.5,0,0
540767,chr8,116459200,116459600,1,0.25,0.75,0.75,1.957771765,1.55934E-17,9.63028E-16,970,1,1,2,1,1.333333333,0,0
1032754,chr19,38452000,38453000,1,0.25,0.75,0.75,3.821998812,3.87723E-12,1.90854E-10,679,2,2,0.5,0.333333333,1.333333333,0,0
992373,chr18,11500400,11500800,1,0.25,0.75,1,6.658211483,7.55131E-11,3.62667E-09,370,5,2.2,1.6,0.266666667,0.533333333,0,0
1110289,chr22,47395600,47396200,1,0.291666667,0.708333333,1,6.658211483,8.22374E-18,5.35296E-16,158,2,2,1,0.333333333,1.666666667,0,0
939415,chr17,1724200,1724600,0.666666667,0,0.666666667,0.666666667,6.080373416,1.10532E-20,1.63286E-18,520,1,2,1,1,1,0,0
554208,chr9,859000,859800,0.7,0.075,0.625,0.4,2.458813505,5.79149E-09,2.42723E-07,1308,6,2.166666667,2,0.333333333,0.833333333,0,0.166666667
916598,chr16,31005800,31006200,1,0.375,0.625,0.625,1.391424942,0.001719252,0.038188878,1130,1,1,1,0.666666667,2.666666667,0,0
983657,chr17,77034400,77034600,1,0.4,0.6,0.6,1.300659478,2.5064E-32,5.49829E-30,1157,1,0,2,1.666666667,1.666666667,0,1
87724,chr1,204386600,204387400,1,0.4,0.6,0.6,1.300659478,1.6559E-17,9.63028E-16,1157,1,1,2,0.666666667,1.666666667,0,1
992174,chr18,11109000,11109200,0.833333333,0.277777778,0.555555556,0.722222222,3.74741306,2.35205E-10,1.09701E-08,687,3,1.666666667,1.666666667,0.666666667,0.666666667,0,0
505007,chr7,158394200,158395800,1,0.458333333,0.541666667,0.541666667,3.391222197,3.98892E-19,5.212E-17,707,2,2,0,0.5,2.5,0,0
689915,chr11,14259200,14259600,1,0.477777778,0.522222222,0.522222222,1.050059355,2.88016E-06,0.000108664,1231,1,0,0,1.333333333,3.333333333,0,1
699973,chr11,46238000,46238200,0.5,0,0.5,0.5,5.672425342,6.443E-33,1.65931E-30,569,1,2,0,0.666666667,2.333333333,0,0
755175,chr12,27779200,27780000,1,0.5,0.5,1,6.658211483,1.54211E-33,1.65931E-30,11,2,2.5,0.5,0.166666667,1.333333333,0,0
912444,chr16,23301800,23302400,0.5,0,0.5,0.5,5.672425342,6.443E-33,1.65931E-30,569,1,2,0,0.666666667,3.333333333,0,1
936554,chr16,89097600,89098000,0.5,0,0.5,0.5,5.672425342,6.443E-33,1.65931E-30,569,1,2,0,0.666666667,3.333333333,0,1
1017298,chr19,4872000,4872400,1,0.5,0.5,0.5,0.985786141,2.34282E-33,1.65931E-30,1245,1,1,1,0.666666667,1.333333333,0,0
1026859,chr19,18518800,18519400,1,0.5,0.5,0.5,0.985786141,2.34282E-33,1.65931E-30,1245,1,1,1,0.666666667,1.333333333,0,0
1044521,chr19,55062800,55063800,0.5,0,0.5,0.5,5.672425342,6.443E-33,1.65931E-30,569,3,2.666666667,0.666666667,0.222222222,1.777777778,0,0
288012,chr4,40175600,40176000,1,0.5,0.5,0.5,0.985786141,2.6919E-32,5.49829E-30,1245,1,0,2,1,0.666666667,0,0
551074,chr8,143407800,143408200,0.5,0,0.5,0.5,5.672425342,1.17618E-20,1.63286E-18,569,1,2,1,0.666666667,1,0,0
560643,chr9,22176000,22176400,0.5,0,0.5,0.5,5.672425342,1.17618E-20,1.63286E-18,569,1,2,1,0.666666667,0.666666667,0,0
563689,chr9,35657000,35657200,1,0.5,0.5,0.5,0.985786141,1.17618E-20,1.63286E-18,1245,2,2.5,1,0.166666667,1.166666667,0,0
802671,chr13,30719800,30721400,1,0.5,0.5,0.5,0.985786141,1.17618E-20,1.63286E-18,1245,1,2,1,0.333333333,1.333333333,0,0
846621,chr14,76383800,76384200,0.5,0,0.5,0.5,5.672425342,1.17618E-20,1.63286E-18,569,1,2,1,0.666666667,1,0,0
1019008,chr19,7225600,7226200,1,0.5,0.5,0.5,0.985786141,1.17618E-20,1.63286E-18,1245,1,2,1,0.333333333,1.333333333,0,0
1044572,chr19,55118200,55119000,0.5,0,0.5,0.5,5.672425342,1.17618E-20,1.63286E-18,569,1,2,1,0.666666667,1,0,0
1025650,chr19,17244400,17244800,0.5,0,0.5,0.5,3.329105741,5.03785E-19,6.53449E-17,709,2,1.5,0.5,0.5,1.333333333,0,0
683264,chr11,1405400,1406200,1,0.5,0.5,1,6.658211483,8.22374E-18,5.35296E-16,158,2,2,1.5,0.333333333,0.666666667,0,0
370985,chr5,156351400,156352200,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
383480,chr6,153800,154200,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
655731,chr10,79171000,79172200,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,1,0.666666667,0,0
673972,chr10,116259800,116260600,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,1,0.666666667,0,0
740785,chr12,6421600,6422800,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,1,0.666666667,0,0
790117,chr12,120911800,120912800,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
821113,chr13,109814000,109814200,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
922435,chr16,57410800,57411000,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,1.333333333,1.333333333,0,0
944144,chr17,7994200,7994400,1,0.5,0.5,0.5,0.985786141,1.71795E-17,9.63028E-16,1245,1,1,2,0.666666667,0.666666667,0,0
