id	Chromosome	Start	End	symbol	entrezID	mean.mean.CMP	mean.mean.MPP	Difference	mean.mean.diff	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.CMP	mean.num.na.MPP	mean.mean.covg.CMP	mean.mean.covg.MPP	mean.nsamples.covg.thres5.CMP	mean.nsamples.covg.thres5.MPP
ENSG00000252937	chr3	73290548	73292547	RNU6-1270P	NA	1	0	1	1	6.658211483	3.69E-49	1.71E-45	2	1	0	1	4.333333333	0.666666667	2	0
ENSG00000135269	chr7	115849047	115851046	TES	26136	1	0	1	1	6.658211483	3.69E-49	1.71E-45	2	1	0	1	1.666666667	0.666666667	0	0
ENSG00000266852	chr10	106027678	106029677	MIR4482-1	100616323	1	0	1	1	6.658211483	3.69E-49	1.71E-45	2	1	0	1	1.666666667	1	0	0
ENSG00000065621	chr10	106027131	106029130	GSTO2	119391	1	0	1	1	6.658211483	3.69E-49	1.71E-45	2	1	0	1	1.666666667	1	0	0
ENSG00000053702	chr12	2944211	2946210	NRIP2	83714	1	0	1	1	6.658211483	3.69E-49	1.71E-45	2	2	0.5	2	2	0.333333333	0	0
ENSG00000231207	chr1	27714472	27716471	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.666666667	0.333333333	0	0
ENSG00000197852	chr1	112297947	112299946	FAM212B	55924;101928718	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1	0.333333333	0	0
ENSG00000064703	chr1	112296367	112298366	DDX20	11218	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1	0.333333333	0	0
ENSG00000228106	chr1	222986864	222988863	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.333333333	0.333333333	0	0
ENSG00000154309	chr1	222986906	222988905	DISP1	84976	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.333333333	0.333333333	0	0
ENSG00000221445	chr2	25551091	25553090	MIR1301	100302246	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.333333333	0.666666667	0	0
ENSG00000236485	chr2	132751235	132753234	NA	101928067	1	0	1	1	6.658211483	5.47E-33	3.20E-30	22	1	1	1	1	1.333333333	0	0
ENSG00000091428	chr2	173598502	173600501	RAPGEF4	11069	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.333333333	0.333333333	0	0
ENSG00000212240	chr6	28881922	28883921	RNU6-930P	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.333333333	0.333333333	0	0
ENSG00000124664	chr6	34523611	34525610	SPDEF	25803	1	0	1	1	6.658211483	5.47E-33	3.20E-30	22	1	1	1	0.666666667	0.666666667	0	0
ENSG00000218049	chr6	53231968	53233967	RPL31P33	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.666666667	0.333333333	0	0
ENSG00000236537	chr6	158701795	158703794	NA	101930415	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.666666667	0.333333333	0	0
ENSG00000106089	chr7	73133503	73135502	STX1A	6804	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.333333333	0.333333333	0	0
ENSG00000253837	chr8	23192184	23194183	NA	100507156	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2	0.333333333	0	0
ENSG00000254010	chr8	127567641	127569640	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	3	0.333333333	0	0
ENSG00000148484	chr10	16859028	16861027	RSU1	6251	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.666666667	0.333333333	0	0
ENSG00000272692	chr10	77167415	77169414	NA	101929234	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	2	1	2.5	1.166666667	0.166666667	0	0
ENSG00000236662	chr10	102744872	102746871	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	2	0.5	2.5	1	0.166666667	0	0
ENSG00000111639	chr12	6602508	6604507	MRPL51	51258	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	2	0.5	2.5	2	0.166666667	0	0
ENSG00000135452	chr12	58130296	58132295	TSPAN31	6302	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.333333333	0.333333333	0	0
ENSG00000212377	chr13	73027606	73029605	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.333333333	0.333333333	0	0
ENSG00000225530	chr13	90014979	90016978	SP3P	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.666666667	0.333333333	0	0
ENSG00000134874	chr13	96296458	96298457	DZIP1	22873	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.333333333	0.333333333	0	0
ENSG00000100604	chr14	93387925	93389924	CHGA	1113	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.666666667	0.333333333	0	0
ENSG00000201839	chr14	101418186	101420185	SNORD114-3	767579	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1.333333333	0.333333333	0	0
ENSG00000236170	chr14	106384878	106386877	IGHD1-1	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	1	0.333333333	0	0
ENSG00000242480	chr15	32892830	32894829	RN7SL286P	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2	0.333333333	0	0
ENSG00000206172	chr16	225179	227178	HBA1	3039;3040	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	2	0.5	2.5	2.333333333	0.166666667	0	0
ENSG00000207243	chr16	227053	229052	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2.666666667	0.333333333	0	0
ENSG00000259797	chr16	68349204	68351203	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2	0.333333333	0	0
ENSG00000262296	chr17	9550478	9552477	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	2	0.333333333	0	0
ENSG00000266498	chr17	17138933	17140932	NA	NA	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	3.666666667	0.333333333	1	0
ENSG00000122490	chr18	77711165	77713164	PQLC1	80148	1	0	1	1	6.658211483	5.47E-33	3.20E-30	22	1	1	1	0.666666667	0.666666667	0	0
ENSG00000100023	chr22	22005059	22007058	PPIL2	23759	1	0	1	1	6.658211483	7.35E-33	3.20E-30	29	1	0	2	3	0.333333333	0	0
ENSG00000238153	chr22	35558797	35560796	NA	NA	1	0	1	1	6.658211483	5.47E-33	3.20E-30	22	1	1	1	1.333333333	1	0	0
ENSG00000230114	chr1	49721583	49723582	NA	101929721	1	0	1	1	6.658211483	5.84E-20	1.05E-17	146	1	2	1	0.333333333	1	0	0
ENSG00000238526	chr1	150232593	150234592	NA	NA	1	0	1	1	6.658211483	5.84E-20	1.05E-17	146	1	2	1	0.333333333	0.666666667	0	0
ENSG00000163219	chr2	68905233	68907232	ARHGAP25	9938	1	0	1	1	6.658211483	5.84E-20	1.05E-17	146	1	2	1	0.333333333	0.666666667	0	0
ENSG00000221211	chr3	122645469	122647468	NA	NA	1	0	1	1	6.658211483	1.01E-19	1.77E-17	157	2	1	2	0.833333333	0.333333333	0	0
ENSG00000049247	chr1	7913073	7915072	UTS2	10911	1	0	1	1	6.658211483	9.42E-18	7.76E-16	282	2	0.5	2.5	1.166666667	0.166666667	0	0
ENSG00000227205	chr1	120394439	120396438	PFN1P9	NA	1	0	1	1	6.658211483	9.42E-18	7.76E-16	282	1	1	2	1.333333333	0.666666667	0	0
