id,Chromosome,Start,End,mean.mean.MLP,mean.mean.MPP,Difference,mean.mean.diff,mean.mean.quot.log2,comb.p.val,comb.p.adj.fdr,combinedRank,num.sites,mean.num.na.MLP,mean.num.na.MPP,mean.mean.covg.MLP,mean.mean.covg.MPP,mean.nsamples.covg.thres5.MLP,mean.nsamples.covg.thres5.MPP
53396,chr1,110428800,110429400,1,0,1,1,6.658211483,3.64892E-49,1.1204E-45,4,1,0,1,1.333333333,1,0,0
718212,chr11,83160000,83160400,1,0,1,1,6.658211483,3.64892E-49,1.1204E-45,4,1,0,1,1.333333333,0.666666667,0,0
938989,chr17,1284000,1284600,1,0,1,1,6.658211483,3.64892E-49,1.1204E-45,4,1,0,1,1.333333333,1.333333333,0,0
64391,chr1,153706000,153707000,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,0.333333333,0,0
88112,chr1,204775800,204776200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,0.333333333,0,0
99532,chr1,229688400,229689400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,0.333333333,0,0
143612,chr2,85123800,85124000,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3.666666667,0.333333333,1,0
225364,chr3,53785200,53786400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3,0.333333333,1,0
236645,chr3,107352400,107353000,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1,0.666666667,0,0
246896,chr3,129296400,129297400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,0.333333333,0,0
271039,chr3,193462400,193462800,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,0.333333333,0,0
339451,chr5,67561200,67564200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,0.333333333,0,0
372017,chr5,158106600,158106800,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,1,0,0
377427,chr5,172115800,172116200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,0.333333333,0,0
381186,chr5,179110600,179111600,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,0.666666667,0,0
400834,chr6,32212000,32212400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,4,0.333333333,1,0
407931,chr6,41975000,41975600,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2.666666667,0.333333333,0,0
513241,chr8,23193400,23194000,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3.666666667,0.333333333,1,0
515718,chr8,28413000,28415200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1,0.333333333,0,0
538714,chr8,103809400,103810200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3,0.333333333,0,0
544640,chr8,126429800,126430600,1,0,1,1,6.658211483,5.40631E-33,2.12605E-30,23,1,1,1,2.333333333,0.666666667,1,0
563694,chr9,35660800,35661600,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.333333333,0.666666667,0,0
575159,chr9,95890400,95891000,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1,0.333333333,0,0
595427,chr9,135869800,135870600,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2.333333333,0.333333333,0,0
634331,chr10,13841200,13841400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2.333333333,0.333333333,1,0
648146,chr10,63754000,63754400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3,0.333333333,0,0
752731,chr12,24330600,24330800,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,0.333333333,0,0
752732,chr12,24330800,24331200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,0.333333333,0,0
794934,chr12,131578600,131578800,1,0,1,1,6.658211483,5.40631E-33,2.12605E-30,23,1,1,1,1.333333333,1,0,0
837670,chr14,63902000,63903400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.333333333,0.333333333,0,0
858670,chr14,105162000,105162200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,5,0.333333333,2,0
879026,chr15,64189600,64190000,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,0.333333333,0,0
915533,chr16,29703000,29703400,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3,0.333333333,1,0
916108,chr16,30426800,30427800,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1,0.333333333,0,0
925634,chr16,68403800,68404400,1,0,1,1,6.658211483,5.40631E-33,2.12605E-30,23,1,1,1,0.666666667,0.666666667,0,0
925874,chr16,68796000,68796200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2.333333333,0.333333333,0,0
955042,chr17,31888600,31888800,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2.333333333,0.333333333,0,0
956014,chr17,33358400,33360600,1,0,1,1,6.658211483,5.40631E-33,2.12605E-30,23,1,1,1,1,0.666666667,0,0
965346,chr17,45317800,45318200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.666666667,0.333333333,0,0
1011879,chr18,74778000,74779200,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,3.333333333,0.333333333,1,0
1041544,chr19,50351400,50352800,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,2,1.666666667,0,1
1100293,chr22,35544000,35544600,1,0,1,1,6.658211483,7.27032E-33,2.12605E-30,28,1,0,2,1.333333333,0.333333333,0,0
841037,chr14,68844000,68845200,1,0,1,1,6.658211483,4.9152E-20,5.88005E-18,145,1,2,1,0.333333333,1,0,0
853900,chr14,96112200,96112800,1,0,1,1,6.658211483,4.9152E-20,5.88005E-18,145,1,2,1,0.333333333,1.333333333,0,0
926429,chr16,69564400,69565000,1,0,1,1,6.658211483,4.9152E-20,5.88005E-18,145,2,2.5,1,0.166666667,0.666666667,0,0
944263,chr17,8100000,8100200,1,0,1,1,6.658211483,4.9152E-20,5.88005E-18,145,1,2,1,0.333333333,0.666666667,0,0
945087,chr17,9203600,9204200,1,0,1,1,6.658211483,4.9152E-20,5.88005E-18,145,1,2,1,0.666666667,1,0,0
953192,chr17,29265400,29265600,1,0,1,1,6.658211483,4.9152E-20,5.88005E-18,145,1,2,1,0.333333333,0.666666667,0,0
45542,chr1,85319600,85320000,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,0.666666667,0.333333333,0,0
101180,chr1,232733200,232733400,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,0.666666667,0.333333333,0,0
202742,chr3,5037200,5037800,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,1,0.333333333,0,0
204468,chr3,10273200,10273800,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,1.666666667,0.333333333,0,0
270211,chr3,190335600,190336000,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,0.666666667,0.333333333,0,0
270304,chr3,190963400,190963800,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,1,0.333333333,0,0
282154,chr4,10731000,10735200,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,1,0.333333333,0,0
447117,chr6,167503800,167504200,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,1.333333333,0.333333333,0,0
491232,chr7,127460000,127460800,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,0.666666667,0.333333333,0,0
587728,chr9,126079400,126079800,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,0.666666667,0.333333333,0,0
595558,chr9,136006800,136007200,1,0,1,1,6.658211483,9.31407E-18,6.49974E-16,221,1,1,2,1.666666667,0.333333333,0,0
