id	Chromosome	Start	End	strand
1	chr11	67978000	67978800	1
2	chr11	114103000	114103800	1
3	chr1	150107400	150108000	1
4	chr1	225647600	225648400	1
5	chr2	26397200	26398000	1
6	chr3	58034000	58034400	1
7	chr5	180705000	180706400	1
8	chr7	116003200	116003600	1
9	chr7	138065200	138065800	1
10	chr7	154447400	154448200	1
11	chr10	70302600	70302800	1
12	chr12	34506200	34509000	1
13	chr12	117489600	117492400	1
14	chr12	125116800	125117000	1
15	chr14	69206400	69207600	1
16	chr15	70726400	70728000	1
17	chr17	8324400	8325200	1
18	chr17	77070400	77070800	1
19	chr19	45934600	45934800	1
20	chr22	40478000	40478800	1
21	chr5	149543400	149543600	1
22	chr1	28653600	28653800	1
23	chr1	182139800	182140000	1
24	chr2	12466400	12466800	1
25	chr2	65520800	65521400	1
26	chr4	13545400	13545600	1
27	chr5	32584600	32585200	1
28	chr8	30906400	30907000	1
29	chr8	61273200	61273600	1
30	chr9	71819800	71821400	1
31	chr10	101426600	101427400	1
32	chr12	14437000	14437800	1
33	chr12	48151400	48152000	1
34	chr14	91606000	91607000	1
35	chr16	81222800	81223400	1
36	chr17	44813000	44813200	1
37	chr19	21876600	21877000	1
38	chr1	9473000	9473800	1
39	chr1	37944800	37945600	1
40	chr4	2867800	2868200	1
41	chr5	163774800	163775200	1
42	chr11	12824000	12825200	1
43	chr3	195479600	195480200	1
44	chr20	49277200	49277800	1
45	chr3	184031400	184031600	1
46	chr17	80869000	80869600	1
47	chr15	33311800	33312200	1
48	chr5	126359400	126360400	1
49	chr22	36785400	36786200	1
50	chr17	26593200	26596200	1
51	chr10	112836200	112836600	1
52	chr20	60949400	60950000	1
53	chr2	241559800	241560000	1
54	chr15	72995200	72995600	1
55	chr20	31259800	31260400	1
56	chr8	584400	585000	1
57	chr15	77926400	77927400	1
58	chr19	46431000	46431600	1
59	chr5	169731000	169731600	1
60	chr5	173157600	173158000	1
61	chr8	55097400	55097800	1
62	chr9	97315800	97316000	1
63	chr9	132998000	132998200	1
64	chr15	70669400	70670000	1
65	chr17	78038000	78038400	1
66	chr19	56756600	56757600	1
67	chr6	25996800	25997800	1
68	chr4	38887000	38888000	1
69	chr11	118764200	118765200	1
70	chr19	47129600	47130200	1
71	chr3	4911200	4912800	1
72	chr22	39474200	39475400	1
73	chr1	22264800	22265600	1
74	chr11	65908800	65909400	1
75	chr20	42639000	42639600	1
76	chr6	14922600	14922800	1
77	chr9	14372800	14373400	1
78	chr11	57147600	57150600	1
79	chr10	71063200	71064000	1
80	chr18	12315600	12315800	1
81	chr12	188000	188600	1
82	chr13	114198200	114199600	1
83	chr4	186039200	186040600	1
84	chr10	35503800	35504200	1
85	chr22	39472000	39472400	1
86	chr1	59474200	59474600	1
87	chr11	67978000	67978800	0
88	chr11	114103000	114103800	0
89	chr1	150107400	150108000	0
90	chr1	225647600	225648400	0
91	chr2	26397200	26398000	0
92	chr3	58034000	58034400	0
93	chr5	180705000	180706400	0
94	chr7	116003200	116003600	0
95	chr7	138065200	138065800	0
96	chr7	154447400	154448200	0
97	chr10	70302600	70302800	0
98	chr12	34506200	34509000	0
99	chr12	117489600	117492400	0
100	chr12	125116800	125117000	0
101	chr14	69206400	69207600	0
102	chr15	70726400	70728000	0
103	chr17	8324400	8325200	0
104	chr17	77070400	77070800	0
105	chr19	45934600	45934800	0
106	chr22	40478000	40478800	0
107	chr5	149543400	149543600	0
108	chr1	28653600	28653800	0
109	chr1	182139800	182140000	0
110	chr2	12466400	12466800	0
111	chr2	65520800	65521400	0
112	chr4	13545400	13545600	0
113	chr5	32584600	32585200	0
114	chr8	30906400	30907000	0
115	chr8	61273200	61273600	0
116	chr9	71819800	71821400	0
117	chr10	101426600	101427400	0
118	chr12	14437000	14437800	0
119	chr12	48151400	48152000	0
120	chr14	91606000	91607000	0
121	chr16	81222800	81223400	0
122	chr17	44813000	44813200	0
123	chr19	21876600	21877000	0
124	chr1	9473000	9473800	0
125	chr1	37944800	37945600	0
126	chr4	2867800	2868200	0
