id	Chromosome	Start	End	symbol	entrezID	mean.mean.MLP	mean.mean.MPP	Difference	mean.mean.diff	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.MLP	mean.num.na.MPP	mean.mean.covg.MLP	mean.mean.covg.MPP	mean.nsamples.covg.thres5.MLP	mean.nsamples.covg.thres5.MPP
ENSG00000235037	chr9	45415477	45417476	NA	NA	1	0	1	1	6.658211483	9.31E-18	7.64E-16	290	2	1.5	2.5	0.5	0.166666667	0	0
ENSG00000177306	chr8	7105375	7107374	OR7E125P	NA	1	0	1	1	6.658211483	7.27E-33	2.98E-30	31	1	0	2	1	0.333333333	0	0
ENSG00000253837	chr8	23192184	23194183	NA	100507156	1	0	1	1	6.658211483	7.27E-33	2.98E-30	31	1	0	2	3.666666667	0.333333333	1	0
ENSG00000254231	chr8	87355044	87357043	NA	NA	1	0	1	1	6.658211483	7.27E-33	2.98E-30	31	1	0	2	1.333333333	0.333333333	0	0
ENSG00000254010	chr8	127567641	127569640	NA	NA	1	0	1	1	6.658211483	7.27E-33	2.98E-30	31	1	0	2	2.666666667	0.333333333	0	0
ENSG00000272010	chr8	66504208	66506207	NA	NA	1	0	1	1	6.658211483	4.92E-20	9.27E-18	135	1	2	1	0.333333333	0.666666667	0	0
ENSG00000200714	chr8	66503466	66505465	NA	NA	1	0	1	1	6.658211483	4.92E-20	9.27E-18	135	1	2	1	0.333333333	0.666666667	0	0
ENSG00000271133	chr7	20370871	20372870	NA	101927811	1	0	1	1	6.658211483	5.41E-33	2.98E-30	25	1	1	1	0.666666667	0.666666667	0	0
ENSG00000135269	chr7	115849047	115851046	TES	26136	1	0	1	1	6.658211483	5.41E-33	2.98E-30	25	1	1	1	0.666666667	0.666666667	0	0
ENSG00000106628	chr7	44163458	44165457	POLD2	5425	1	0	1	1	6.658211483	9.31E-18	7.64E-16	290	1	1	2	1.666666667	0.333333333	0	0
ENSG00000106089	chr7	73133503	73135502	STX1A	6804	1	0	1	1	6.658211483	9.31E-18	7.64E-16	290	1	1	2	0.666666667	0.333333333	0	0
ENSG00000265598	chr7	158382808	158384807	MIR5707	100847032	1	0	1	1	6.658211483	9.31E-18	7.64E-16	290	1	1	2	2	0.666666667	0	0
ENSG00000124664	chr6	34523611	34525610	SPDEF	25803	1	0	1	1	6.658211483	3.65E-49	1.70E-45	2	1	0	1	1.333333333	0.666666667	0	0
ENSG00000112561	chr6	41703498	41705497	TFEB	7942	1	0	1	1	6.658211483	7.27E-33	2.98E-30	31	1	0	2	2	0.333333333	0	0
