id	Chromosome	Start	End	strand
1	chr7	99155660	99157659	1
2	chr16	18025077	18027076	1
3	chr6	99797439	99799438	1
4	chr19	23577863	23579862	1
5	chr20	57262687	57264686	1
6	chr11	45671579	45673578	1
7	chr17	26988708	26990707	1
8	chr17	26987609	26989608	1
9	chr9	130231654	130233653	1
10	chr19	48321203	48323202	1
11	chr21	45339283	45341282	1
12	chr5	140304802	140306801	1
13	chr11	123909218	123911217	1
14	chr15	22715105	22717104	1
15	chr20	54966894	54968893	1
16	chr8	103424570	103426569	1
17	chr5	154319130	154321129	1
18	chr6	74103237	74105236	1
19	chr9	86585648	86587647	1
20	chr9	115645938	115647937	1
21	chr12	11249374	11251373	1
22	chr17	25382925	25384924	1
23	chr1	29203349	29205348	1
24	chr4	5051669	5053668	1
25	chr8	95651196	95653195	1
26	chr8	95651802	95653801	1
27	chr10	60143282	60145281	1
28	chr12	103631754	103633753	1
29	chr22	26954992	26956991	1
30	chr22	33255921	33257920	1
31	chr11	119203737	119205736	1
32	chr20	48787587	48789586	1
33	chr17	9808439	9810438	1
34	chr16	5255589	5257588	1
35	chr17	11922641	11924640	1
36	chr16	89004697	89006696	1
37	chr10	51610725	51612724	1
38	chr17	43297311	43299310	1
39	chr19	53311577	53313576	1
40	chr4	156297623	156299622	1
41	chr9	44117945	44119944	1
42	chr22	23855290	23857289	1
43	chr9	100571791	100573790	1
44	chr1	246688832	246690831	1
45	chr11	12694469	12696468	1
46	chr11	18209047	18211046	1
47	chr20	54965927	54967926	1
48	chr5	135637945	135639944	1
49	chr6	30071517	30073516	1
50	chr15	64987321	64989320	1
51	chr1	147834166	147836165	1
52	chr2	60962351	60964350	1
53	chr9	79685516	79687515	1
54	chr19	11544609	11546608	1
55	chr20	24216391	24218390	1
56	chr2	11805596	11807595	1
57	chr4	56081580	56083579	1
58	chr7	57710326	57712325	1
59	chr7	57708727	57710726	1
60	chr12	9217167	9219166	1
61	chr12	72228677	72230676	1
62	chr20	25565654	25567653	1
63	chr7	99155660	99157659	0
64	chr16	18025077	18027076	0
65	chr6	99797439	99799438	0
66	chr19	23577863	23579862	0
67	chr20	57262687	57264686	0
68	chr11	45671579	45673578	0
69	chr17	26988708	26990707	0
70	chr17	26987609	26989608	0
71	chr9	130231654	130233653	0
72	chr19	48321203	48323202	0
73	chr21	45339283	45341282	0
74	chr5	140304802	140306801	0
75	chr11	123909218	123911217	0
76	chr15	22715105	22717104	0
77	chr20	54966894	54968893	0
78	chr8	103424570	103426569	0
79	chr5	154319130	154321129	0
80	chr6	74103237	74105236	0
81	chr9	86585648	86587647	0
82	chr9	115645938	115647937	0
83	chr12	11249374	11251373	0
84	chr17	25382925	25384924	0
85	chr1	29203349	29205348	0
86	chr4	5051669	5053668	0
87	chr8	95651196	95653195	0
88	chr8	95651802	95653801	0
89	chr10	60143282	60145281	0
90	chr12	103631754	103633753	0
91	chr22	26954992	26956991	0
92	chr22	33255921	33257920	0
93	chr11	119203737	119205736	0
94	chr20	48787587	48789586	0
95	chr17	9808439	9810438	0
96	chr16	5255589	5257588	0
97	chr17	11922641	11924640	0
98	chr16	89004697	89006696	0
99	chr10	51610725	51612724	0
100	chr17	43297311	43299310	0
101	chr19	53311577	53313576	0
102	chr4	156297623	156299622	0
103	chr9	44117945	44119944	0
104	chr22	23855290	23857289	0
105	chr9	100571791	100573790	0
106	chr1	246688832	246690831	0
107	chr11	12694469	12696468	0
108	chr11	18209047	18211046	0
109	chr20	54965927	54967926	0
110	chr5	135637945	135639944	0
111	chr6	30071517	30073516	0
112	chr15	64987321	64989320	0
113	chr1	147834166	147836165	0
114	chr2	60962351	60964350	0
115	chr9	79685516	79687515	0
116	chr19	11544609	11546608	0
117	chr20	24216391	24218390	0
118	chr2	11805596	11807595	0
119	chr4	56081580	56083579	0
120	chr7	57710326	57712325	0
121	chr7	57708727	57710726	0
122	chr12	9217167	9219166	0
123	chr12	72228677	72230676	0
124	chr20	25565654	25567653	0
