id	Chromosome	Start	End	strand
1	chr7	20370871	20372870	1
2	chr6	34523611	34525610	1
3	chr3	154373583	154375582	1
4	chr22	43670461	43672460	1
5	chr2	65866812	65868811	1
6	chr2	207474037	207476036	1
7	chr2	173598502	173600501	1
8	chr19	34080095	34082094	1
9	chr19	52783550	52785549	1
10	chr17	9550478	9552477	1
11	chr17	29294303	29296302	1
12	chr17	79904610	79906609	1
13	chr16	28984042	28986041	1
14	chr16	3048403	3050402	1
15	chr16	67424254	67426253	1
16	chr16	69477694	69479693	1
17	chr15	32892830	32894829	1
18	chr15	42500015	42502014	1
19	chr15	42499111	42501110	1
20	chr13	73027606	73029605	1
21	chr13	96296458	96298457	1
22	chr12	1866678	1868677	1
23	chr11	70047769	70049768	1
24	chr11	102101154	102103153	1
25	chr11	102678148	102680147	1
26	chr10	22505503	22507502	1
27	chr10	16859028	16861027	1
28	chr1	228128885	228130884	1
29	chr1	201474869	201476868	1
30	chr1	166944220	166946219	1
31	chr1	120394439	120396438	1
32	chr1	27338828	27340827	1
33	chr11	67054518	67056517	1
34	chr10	103844988	103846987	1
35	chr6	27234392	27236391	1
36	chr3	48332366	48334365	1
37	chr22	42074215	42076214	1
38	chr20	44175566	44177565	1
39	chr20	44175892	44177891	1
40	chr18	3601498	3603497	1
41	chr15	94575387	94577386	1
42	chr20	61667881	61669880	1
43	chr20	61667863	61669862	1
44	chr17	27348159	27350158	1
45	chr19	18395806	18397805	1
46	chr12	58174872	58176871	1
47	chr16	12009096	12011095	1
48	chr4	7192765	7194764	1
49	chr11	63847662	63849661	1
50	chr11	128775431	128777430	1
51	chr5	75048805	75050804	1
52	chr1	224140642	224142641	1
53	chr19	55082887	55084886	1
54	chr18	78004930	78006929	1
55	chr3	52188207	52190206	1
56	chr12	6960731	6962730	1
57	chr2	74648219	74650218	1
58	chr16	81109424	81111423	1
59	chr6	73308863	73310862	1
60	chr6	42109858	42111857	1
61	chr6	164506194	164508193	1
62	chr5	8157402	8159401	1
63	chr5	156349630	156351629	1
64	chr4	110223314	110225313	1
65	chr4	110222691	110224690	1
66	chr4	108909370	108911369	1
67	chr3	194991397	194993396	1
68	chr21	40377580	40379579	1
69	chr20	236877	238876	1
70	chr2	85910798	85912797	1
71	chr2	106905010	106907009	1
72	chr2	178862998	178864997	1
73	chr19	105971	107970	1
74	chr19	44329944	44331943	1
75	chr19	7700267	7702266	1
76	chr19	49313787	49315786	1
77	chr19	44528915	44530914	1
78	chr19	44527994	44529993	1
79	chr19	44528006	44530005	1
80	chr18	61635659	61637658	1
81	chr17	10599411	10601410	1
82	chr17	61676731	61678730	1
83	chr17	16340636	16342635	1
84	chr17	5184058	5186057	1
85	chr17	79792427	79794426	1
86	chr16	5665698	5667697	1
87	chr16	56277932	56279931	1
88	chr15	39871780	39873779	1
89	chr15	50474515	50476514	1
90	chr15	78112743	78114742	1
91	chr15	69617260	69619259	1
92	chr15	32893988	32895987	1
93	chr15	64692172	64694171	1
94	chr15	41289972	41291971	1
95	chr15	90437075	90439074	1
96	chr14	24639562	24641561	1
97	chr12	118572163	118574162	1
98	chr12	121585313	121587312	1
99	chr11	44331217	44333216	1
100	chr11	49426242	49428241	1
101	chr11	71823327	71825326	1
102	chr1	155206129	155208128	1
103	chr1	44455531	44457530	1
104	chr1	156570789	156572788	1
105	chr5	37207966	37209965	1
106	chr11	35638235	35640234	1
107	chr12	124085124	124087123	1
108	chr16	12009440	12011439	1
109	chr13	101231872	101233871	1
110	chr2	74647305	74649304	1
111	chr19	58464628	58466627	1
112	chr19	51686661	51688660	1
113	chr10	86086842	86088841	1
114	chr6	117380345	117382344	1
115	chr20	46198179	46200178	1
116	chr11	78128895	78130894	1
117	chr1	203121529	203123528	1
118	chr22	50526808	50528807	1
119	chr17	40549527	40551526	1
120	chr19	16434128	16436127	1
121	chr7	20370871	20372870	0
122	chr6	34523611	34525610	0
123	chr3	154373583	154375582	0
124	chr22	43670461	43672460	0
125	chr2	65866812	65868811	0
126	chr2	207474037	207476036	0
127	chr2	173598502	173600501	0
128	chr19	34080095	34082094	0
129	chr19	52783550	52785549	0
130	chr17	9550478	9552477	0
131	chr17	29294303	29296302	0
132	chr17	79904610	79906609	0
133	chr16	28984042	28986041	0
134	chr16	3048403	3050402	0
135	chr16	67424254	67426253	0
136	chr16	69477694	69479693	0
137	chr15	32892830	32894829	0
138	chr15	42500015	42502014	0
139	chr15	42499111	42501110	0
140	chr13	73027606	73029605	0
141	chr13	96296458	96298457	0
142	chr12	1866678	1868677	0
143	chr11	70047769	70049768	0
