id	Chromosome	Start	End	strand
1	chr5	122856800	122857600	1
2	chr8	126429800	126430600	1
3	chr17	1284000	1284600	1
4	chr2	65065400	65066000	1
5	chr1	31486000	31486400	1
6	chr1	229688400	229689400	1
7	chr2	15003400	15003800	1
8	chr3	10273200	10273800	1
9	chr3	53785200	53786400	1
10	chr3	129296400	129297400	1
11	chr3	190963400	190963800	1
12	chr3	193462400	193462800	1
13	chr6	41975000	41975600	1
14	chr8	23193400	23194000	1
15	chr9	135869800	135870600	1
16	chr10	11667400	11667800	1
17	chr10	13841200	13841400	1
18	chr10	63754000	63754400	1
19	chr11	126288800	126289600	1
20	chr12	14410800	14411200	1
21	chr12	132555400	132555600	1
22	chr14	35824800	35825200	1
23	chr16	68403800	68404400	1
24	chr16	68796000	68796200	1
25	chr17	36856400	36857200	1
26	chr18	74778000	74779200	1
27	chr18	77139200	77139600	1
28	chr22	30789200	30789600	1
29	chr22	42163800	42164400	1
30	chr9	87369200	87371400	1
31	chr11	35412400	35413200	1
32	chr16	24986800	24987200	1
33	chr16	48868000	48868400	1
34	chr1	9764800	9765200	1
35	chr1	42183200	42183600	1
36	chr1	85319600	85320000	1
37	chr1	153706000	153707000	1
38	chr1	232733200	232733400	1
39	chr1	245083000	245084200	1
40	chr2	85123800	85124000	1
41	chr2	152906800	152907400	1
42	chr2	240189400	240189600	1
43	chr3	190335600	190336000	1
44	chr5	172115800	172116200	1
45	chr5	179110600	179111600	1
46	chr6	53167600	53168000	1
47	chr6	64247000	64247400	1
48	chr7	68899200	68899800	1
49	chr8	25963000	25963600	1
50	chr8	80672400	80673000	1
51	chr8	103809400	103810200	1
52	chr8	126265800	126268000	1
53	chr9	35660800	35661600	1
54	chr10	12233800	12234000	1
55	chr10	111841400	111841600	1
56	chr11	111990200	111991000	1
57	chr11	133137800	133139000	1
58	chr12	732400	733000	1
59	chr12	24330600	24330800	1
60	chr12	24330800	24331200	1
61	chr12	105076200	105077200	1
62	chr13	97929400	97929800	1
63	chr14	23264400	23265000	1
64	chr14	23298400	23298600	1
65	chr15	64182800	64183200	1
66	chr15	90955400	90955800	1
67	chr16	21378800	21379800	1
68	chr16	30426800	30427800	1
69	chr17	45317800	45318200	1
70	chr17	57931000	57931400	1
71	chr19	4815400	4815800	1
72	chr19	6987600	6987800	1
73	chr20	49141000	49142400	1
74	chr22	23767200	23767400	1
75	chr22	43063400	43063600	1
76	chr8	142398800	142399400	1
77	chr13	99141000	99141600	1
78	chr10	8173200	8174200	1
79	chr15	79309000	79309800	1
80	chr19	47596600	47598800	1
81	chr21	40157800	40158600	1
82	chr6	88947400	88947600	1
83	chr17	77894800	77895800	1
84	chr19	50849800	50851200	1
85	chr17	75468000	75470400	1
86	chr18	11500400	11500800	1
87	chr22	48314600	48315600	1
88	chr9	6702000	6702400	1
89	chr17	77034400	77034600	1
90	chr19	1849200	1849400	1
91	chr16	29766800	29768400	1
92	chr19	3665200	3666000	1
93	chr9	859000	859800	1
94	chr13	30719800	30721400	1
95	chr9	35845200	35846400	1
96	chr16	48478800	48479400	1
97	chr11	64784600	64785000	1
98	chr11	130503800	130504800	1
99	chr19	18518800	18519400	1
100	chr6	44003000	44004000	1
101	chr1	210504600	210505400	1
102	chr1	233733600	233734000	1
103	chr2	25931800	25932200	1
104	chr2	47212000	47214400	1
105	chr2	55204200	55204800	1
106	chr2	218946200	218946600	1
107	chr3	12688800	12690400	1
108	chr4	40175600	40176000	1
109	chr6	17715200	17715800	1
110	chr6	41495200	41495800	1
111	chr6	111505600	111506400	1
112	chr7	138810400	138811000	1
113	chr8	28327600	28328000	1
114	chr9	109514800	109515400	1
115	chr10	35434800	35435800	1
116	chr11	10463200	10463400	1
117	chr11	126291200	126292000	1
118	chr12	1711800	1712000	1
119	chr12	93518400	93519200	1
120	chr12	109022200	109023400	1
121	chr12	116974800	116976800	1
122	chr12	121686400	121687000	1
123	chr13	100030400	100031200	1
124	chr13	109814000	109814200	1
125	chr14	81938000	81938400	1
126	chr15	90396000	90396400	1
127	chr16	3892200	3892800	1
128	chr16	57410800	57411000	1
129	chr16	84840400	84840600	1
130	chr16	87836600	87837200	1
131	chr17	6364200	6365400	1
132	chr17	7994200	7994400	1
133	chr17	54864200	54865000	1
134	chr19	14282200	14283200	1
135	chr19	48909000	48909600	1
136	chr19	49717800	49718400	1
137	chr4	6690600	6691200	1
138	chr3	45594600	45594800	1
139	chr6	34151800	34152000	1
140	chr8	10987000	10990600	1
141	chr9	93684600	93685600	1
142	chr10	30986400	30987600	1
143	chr11	83160000	83160400	1
144	chr19	4648200	4648600	1
145	chr7	101636400	101637000	1
146	chr13	27701600	27702200	1
