id	Chromosome	Start	End	symbol	entrezID	mean.mean.CMP	mean.mean.MPP	Difference	mean.mean.diff	mean.mean.quot.log2	comb.p.val	comb.p.adj.fdr	combinedRank	num.sites	mean.num.na.CMP	mean.num.na.MPP	mean.mean.covg.CMP	mean.mean.covg.MPP	mean.nsamples.covg.thres5.CMP	mean.nsamples.covg.thres5.MPP
ENSG00000221909	chr7	99155660	99157659	FAM200A	221786	0.583333333	1	-0.416666667	-0.416666667	-0.767440553	0.000790531	0.019202932	2794	1	1	1	1.666666667	1	0	0
ENSG00000228071	chr16	18025077	18027076	RPL7P47	NA	0.583333333	1	-0.416666667	-0.416666667	-0.767440553	0.000790531	0.019202932	2794	1	1	1	1.666666667	1	0	0
ENSG00000146267	chr6	99797439	99799438	FAXC	84553	0.577777778	1	-0.422222222	-0.344444444	-0.601724291	9.48E-06	0.000274739	3169	2	0.5	1.5	2.166666667	0.5	0.5	0
ENSG00000167232	chr19	23577863	23579862	ZNF91	7644	0.5	0.9375	-0.4375	-0.4375	-3.233802775	1.35E-11	7.27E-10	1180	2	1	1.5	1	1.166666667	0	0
ENSG00000215440	chr20	57262687	57264686	NPEPL1	79716;100652930	0.555555556	1	-0.444444444	-0.444444444	-0.836614638	0.00139798	0.033376617	2642	1	0	2	2.333333333	0.333333333	0	0
ENSG00000255091	chr11	45671579	45673578	NA	NA	0.541666667	1	-0.458333333	-0.458333333	-0.872486577	1.30E-05	0.000369816	2579	1	0	1	4	1.333333333	1	0
ENSG00000132581	chr17	26988708	26990707	SDF2	6388	0.5	1	-0.5	-0.5	-0.985786141	1.65E-47	5.11E-44	2253	1	1	0	2.666666667	4	1	1
ENSG00000109111	chr17	26987609	26989608	SUPT6H	6830	0.5	1	-0.5	-0.5	-0.985786141	1.65E-47	5.11E-44	2253	1	1	0	2.666666667	4	1	1
ENSG00000200788	chr9	130231654	130233653	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	5.47E-33	3.20E-30	2253	1	1	1	1.333333333	1.333333333	0	0
ENSG00000105392	chr19	48321203	48323202	CRX	1406	0	0.5	-0.5	-0.5	-5.672425342	7.35E-33	3.20E-30	477	1	0	2	2.333333333	0.666666667	0	0
ENSG00000199598	chr21	45339283	45341282	RNU6-859P	NA	0.5	1	-0.5	-1	-6.658211483	5.84E-20	1.05E-17	146	2	0.5	2.5	1.666666667	0.166666667	0	0
ENSG00000248383	chr5	140304802	140306801	PCDHAC1	56135	0.5	1	-0.5	-0.5	-0.985786141	1.22E-19	2.06E-17	2253	1	1	2	1.333333333	0.333333333	0	0
ENSG00000182634	chr11	123909218	123911217	OR10G7	390265	0	0.5	-0.5	-0.5	-5.672425342	1.22E-19	2.06E-17	477	1	1	2	2.333333333	1.333333333	0	0
ENSG00000185182	chr15	22715105	22717104	GOLGA8DP	NA	0	0.5	-0.5	-0.5	-5.672425342	1.22E-19	2.06E-17	477	1	2	1	0.666666667	1.333333333	0	0
ENSG00000087586	chr20	54966894	54968893	AURKA	6790	0.5	1	-0.5	-0.5	-3.329105741	3.28E-19	5.28E-17	565	2	1	1.5	1.5	0.666666667	0.5	0
ENSG00000104517	chr8	103424570	103426569	UBR5	51366	0.5	1	-0.5	-0.5	-3.329105741	1.21E-18	1.53E-16	565	2	1.5	0.5	0.666666667	0.833333333	0	0
ENSG00000082515	chr5	154319130	154321129	MRPL22	29093	0.5	1	-0.5	-0.5	-0.985786141	1.96E-17	1.42E-15	2253	1	2	1	0.666666667	1.333333333	0	0
ENSG00000238464	chr6	74103237	74105236	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	1.96E-17	1.42E-15	2253	1	2	1	1.333333333	0.666666667	0	0
ENSG00000235298	chr9	86585648	86587647	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	1.96E-17	1.42E-15	2253	1	2	1	0.666666667	1	0	0
ENSG00000271631	chr9	115645938	115647937	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	1.96E-17	1.42E-15	2253	1	2	1	0.666666667	0.666666667	0	0
ENSG00000256400	chr12	11249374	11251373	NA	NA	0.5	1	-0.5	-0.5	-0.985786141	1.96E-17	1.42E-15	2253	1	2	1	0.666666667	0.666666667	0	0
ENSG00000264837	chr17	25382925	25384924	VN1R71P	NA	0.5	1	-0.5	-0.5	-0.985786141	1.96E-17	1.42E-15	2253	1	2	1	0.666666667	0.666666667	0	0
