id	Chromosome	Start	End	strand
1	chr1	110428800	110429400	1
2	chr11	83160000	83160400	1
3	chr17	1284000	1284600	1
4	chr1	153706000	153707000	1
5	chr1	204775800	204776200	1
6	chr1	229688400	229689400	1
7	chr2	85123800	85124000	1
8	chr3	53785200	53786400	1
9	chr3	107352400	107353000	1
10	chr3	129296400	129297400	1
11	chr3	193462400	193462800	1
12	chr5	67561200	67564200	1
13	chr5	158106600	158106800	1
14	chr5	172115800	172116200	1
15	chr5	179110600	179111600	1
16	chr6	32212000	32212400	1
17	chr6	41975000	41975600	1
18	chr8	23193400	23194000	1
19	chr8	28413000	28415200	1
20	chr8	103809400	103810200	1
21	chr8	126429800	126430600	1
22	chr9	35660800	35661600	1
23	chr9	95890400	95891000	1
24	chr9	135869800	135870600	1
25	chr10	13841200	13841400	1
26	chr10	63754000	63754400	1
27	chr12	24330600	24330800	1
28	chr12	24330800	24331200	1
29	chr12	131578600	131578800	1
30	chr14	63902000	63903400	1
31	chr14	105162000	105162200	1
32	chr15	64189600	64190000	1
33	chr16	29703000	29703400	1
34	chr16	30426800	30427800	1
35	chr16	68403800	68404400	1
36	chr16	68796000	68796200	1
37	chr17	31888600	31888800	1
38	chr17	33358400	33360600	1
39	chr17	45317800	45318200	1
40	chr18	74778000	74779200	1
41	chr19	50351400	50352800	1
42	chr22	35544000	35544600	1
43	chr14	68844000	68845200	1
44	chr14	96112200	96112800	1
45	chr16	69564400	69565000	1
46	chr17	8100000	8100200	1
47	chr17	9203600	9204200	1
48	chr17	29265400	29265600	1
49	chr1	85319600	85320000	1
50	chr1	232733200	232733400	1
51	chr3	5037200	5037800	1
52	chr3	10273200	10273800	1
53	chr3	190335600	190336000	1
54	chr3	190963400	190963800	1
55	chr4	10731000	10735200	1
56	chr6	167503800	167504200	1
57	chr7	127460000	127460800	1
58	chr9	126079400	126079800	1
59	chr9	136006800	136007200	1
60	chr10	11189400	11189600	1
61	chr10	11667400	11667800	1
62	chr10	125118400	125119800	1
63	chr11	118783200	118786000	1
64	chr12	671400	672200	1
65	chr12	14410800	14411200	1
