id	Chromosome	Start	End	strand
1	chr12	53643535	53645534	1
2	chr8	22296832	22298831	1
3	chr14	77817403	77819402	1
4	chr5	50263994	50265993	1
5	chr4	29214520	29216519	1
6	chr10	96304047	96306046	1
7	chr2	99224479	99226478	1
8	chr7	5936856	5938855	1
9	chr15	20961013	20963012	1
10	chr1	54702210	54704209	1
11	chr14	19337905	19339904	1
12	chr12	53643535	53645534	0
13	chr8	22296832	22298831	0
14	chr14	77817403	77819402	0
15	chr5	50263994	50265993	0
16	chr4	29214520	29216519	0
17	chr10	96304047	96306046	0
18	chr2	99224479	99226478	0
19	chr7	5936856	5938855	0
20	chr15	20961013	20963012	0
21	chr1	54702210	54704209	0
22	chr14	19337905	19339904	0
